time,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,
0.00715942,-0.843689,0.720971,-0.295578,0.294473,0.505283,-0.505876,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00104311,-0.698023,-0.825282,0.710233,-0.30066,0.302194,0.500078,-0.507748,0.0122718,-0.0153398,0.0214757,-0.0230097,-0.628932,0.627398,0.97101,-0.967942,0.541495,-0.544563,0.0322136,-0.0337476,0.00306796,-0.403437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.24868,-0.00426436,9.57064,-8.76704e-06,0.000147144,1.53011e-07,3.33049,4.39618,-15.2696,-0.267387,0.261815,0.221353,2.49079,1.76638,-12.3474,-0.208359,-0.0584972,0.0150653,-0.205999,-0.547247,0.0237071,-0.205999,-0.547247,0.0237071,0.0452117,0.0418025,0.36369,0.0671498,0.00860579,0.31852,-0.00224939,-0.0664414,0.383029,-0.0411057,0.0416456,0.319448,0.0446102,-0.0579113,0.366604,0.0672985,-0.0331931,0.320328,-0.0621261,-0.0911739,0.0269688,-0.205999,-0.547247,0.0237071,-0.0903479,-0.0253479,-0.0223329,0.0351336,0.0589194,0.0154395,-0.11296,-0.0475779,0.252145,0.0395185,-0.126125,0.244929,0.0462755,0.0895532,0.268959,0.0627986,0.0946263,0.240205,-1,-1,7.18575,4,6.24016,4,4.32309,4,3.82624,-1,8.78403,4,9.40623,4,7.20591,4,
0.0148665,-0.843689,0.720971,-0.295578,0.294473,0.505283,-0.505876,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00104311,-0.698023,-0.825282,0.711767,-0.302194,0.302194,0.500078,-0.507748,0.0122718,-0.0153398,0.0214757,-0.0230097,-0.628932,0.625864,0.97101,-0.967942,0.541495,-0.544563,0.0322136,-0.0337476,0.00460194,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.26274,0.0218042,9.65805,0.00105021,7.35721e-05,-1.83294e-05,3.32632,4.3822,-15.2525,-0.266521,0.259704,0.22107,2.49979,1.73119,-12.2518,-0.205431,-0.0559336,0.0144948,-0.205999,-0.547247,0.0237071,-0.205999,-0.547247,0.0237071,0.0452099,0.0418235,0.363671,0.0672083,0.008562,0.31851,-0.00224367,-0.0664527,0.383002,-0.0410963,0.0416706,0.319438,0.044712,-0.0579238,0.366663,0.0672815,-0.0331613,0.320313,-0.062142,-0.091161,0.0269565,-0.205999,-0.547247,0.0237071,-0.0903853,-0.0253227,-0.0223471,0.0351451,0.058932,0.0154542,-0.113021,-0.0475846,0.25213,0.0397077,-0.12598,0.245006,0.0462083,0.0895948,0.268937,0.0627997,0.0946301,0.240198,-1,-1,7.18581,4,6.23998,4,4.32292,4,3.82621,-1,8.7842,4,9.40646,4,17.9074,4,
0.0218901,-0.843689,0.720971,-0.295578,0.294473,0.505283,-0.505876,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00104311,-0.698023,-0.825282,0.710233,-0.30066,0.302194,0.501612,-0.507748,0.0122718,-0.0153398,0.0230097,-0.0230097,-0.628932,0.627398,0.97101,-0.967942,0.541495,-0.544563,0.0322136,-0.0337476,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.27497,0.0438147,9.66584,0.00193121,-0.00119356,-3.37054e-05,3.29145,4.43181,-15.3359,-0.269952,0.257794,0.221272,2.50011,1.74418,-12.397,-0.2084,-0.0560933,0.0142982,-0.205999,-0.547247,0.0237071,-0.205999,-0.547247,0.0237071,0.045211,0.0418213,0.363657,0.0672114,0.00856234,0.318512,-0.00224975,-0.0664493,0.383002,-0.0411053,0.0417022,0.319453,0.0445464,-0.0578735,0.366578,0.0673151,-0.033178,0.32032,-0.062148,-0.0911737,0.0269373,-0.205999,-0.547247,0.0237071,-0.0903815,-0.0253217,-0.0223678,0.0350688,0.0589594,0.0153438,-0.113002,-0.0475666,0.252122,0.0395541,-0.126118,0.244896,0.0461841,0.0895594,0.269008,0.062856,0.0946052,0.240214,-1,-1,4,40.2188,4,7.9121,4,3.71557,4,-1,4,3.72327,4,6.16644,4,3.62369,
0.0288679,-0.843689,0.720971,-0.295578,0.294473,0.505283,-0.505876,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00104311,-0.698023,-0.825282,0.710233,-0.30066,0.302194,0.500078,-0.507748,0.0107379,-0.0153398,0.0214757,-0.0230097,-0.628932,0.625864,0.969476,-0.967942,0.541495,-0.544563,0.0306796,-0.0337476,0.00460194,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.26279,0.00621133,9.56311,0.00483249,0.00151241,-8.43415e-05,3.29925,4.35803,-15.2977,-0.266804,0.257746,0.221808,2.52057,1.76795,-12.3813,-0.208036,-0.055697,0.0140813,-0.205999,-0.547247,0.0237071,-0.205999,-0.547247,0.0237071,0.0452052,0.0418227,0.363665,0.0671133,0.00863561,0.318506,-0.00224208,-0.0664489,0.383014,-0.0411039,0.0416855,0.319474,0.0444398,-0.0577754,0.366462,0.0672998,-0.0331727,0.32033,-0.0621455,-0.0911586,0.0269588,-0.205999,-0.547247,0.0237071,-0.090427,-0.0252908,-0.0223653,0.0350754,0.0589302,0.0153343,-0.113053,-0.047534,0.252115,0.0395685,-0.126121,0.244887,0.0463014,0.0895689,0.268918,0.0627902,0.0946036,0.240207,-1,-1,4,40.2178,4,7.91206,4,3.71559,4,-1,4,3.72328,4,6.16641,4,3.62371,
0.0358813,-0.843689,0.720971,-0.295578,0.294473,0.505283,-0.505876,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00104311,-0.698023,-0.823748,0.710233,-0.302194,0.302194,0.500078,-0.507748,0.0107379,-0.0153398,0.0214757,-0.0230097,-0.628932,0.625864,0.97101,-0.967942,0.541495,-0.544563,0.0322136,-0.0337476,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2466,0.0390103,9.62284,0.00224049,0.00233806,-3.91033e-05,3.32826,4.40673,-15.2513,-0.269125,0.26105,0.220948,2.47454,1.75158,-12.4398,-0.207825,-0.0593773,0.015073,-0.205999,-0.547247,0.0237071,-0.205999,-0.547247,0.0237071,0.0451948,0.0418209,0.363694,0.0671097,0.00862195,0.318507,-0.00222532,-0.0664856,0.383032,-0.0411026,0.0416093,0.319468,0.0444982,-0.0579423,0.366552,0.0673339,-0.0332073,0.320346,-0.0621102,-0.0911931,0.0269702,-0.205999,-0.547247,0.0237071,-0.0904976,-0.0252967,-0.0223553,0.0350776,0.0589319,0.015362,-0.113106,-0.0475243,0.252125,0.0395031,-0.126217,0.2448,0.0462515,0.0895407,0.268989,0.0628474,0.0945711,0.240241,-1,-1,7.18577,4,6.24026,4,4.9686,4,3.82623,-1,8.78441,4,9.40668,4,17.9084,4,
0.0431228,-0.843689,0.720971,-0.295578,0.294473,0.505283,-0.505876,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00104311,-0.698023,-0.825282,0.710233,-0.302194,0.302194,0.500078,-0.507748,0.0122718,-0.0153398,0.0214757,-0.0230097,-0.628932,0.625864,0.97101,-0.967942,0.541495,-0.544563,0.0322136,-0.0337476,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.23551,0.00788028,9.57977,-0.00239505,-0.00111592,4.18008e-05,3.32206,4.41991,-15.3317,-0.269473,0.259361,0.222346,2.49419,1.72264,-12.4441,-0.206809,-0.0569616,0.0158367,-0.205999,-0.547247,0.0237071,-0.205999,-0.547247,0.0237071,0.0452282,0.0417806,0.363731,0.0669609,0.00870726,0.318491,-0.00218547,-0.0665596,0.383037,-0.0411296,0.0416725,0.319558,0.0444192,-0.0579134,0.366557,0.0673359,-0.0331818,0.320359,-0.062068,-0.0912418,0.0270131,-0.205999,-0.547247,0.0237071,-0.0904925,-0.0253068,-0.0223483,0.0351055,0.0588848,0.0154123,-0.112989,-0.0475531,0.252144,0.0394584,-0.126283,0.244797,0.0463329,0.089505,0.268983,0.0628481,0.0945666,0.240281,-1,-1,7.18591,4,6.2404,4,4.96883,4,3.82629,-1,8.7843,4,9.40634,4,14.5849,4,
0.0508103,-0.843689,0.720971,-0.295578,0.294473,0.505283,-0.505876,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00104311,-0.698023,-0.825282,0.710233,-0.302194,0.302194,0.500078,-0.507748,0.0122718,-0.0153398,0.0214757,-0.0230097,-0.628932,0.627398,0.969476,-0.967942,0.541495,-0.546097,0.0322136,-0.0337476,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.26547,0.0207643,9.62298,-0.00277938,-0.0024914,4.85085e-05,3.29548,4.39292,-15.2205,-0.269199,0.256368,0.222533,2.53361,1.73593,-12.3567,-0.206717,-0.0535139,0.0149468,-0.205999,-0.547247,0.0237071,-0.205999,-0.547247,0.0237071,0.0452472,0.0417762,0.363751,0.0670282,0.00866821,0.318508,-0.00220188,-0.0665344,0.383023,-0.0411202,0.0416771,0.319558,0.0446749,-0.0579275,0.366675,0.0673356,-0.0332064,0.32035,-0.0620547,-0.0912489,0.0270521,-0.205999,-0.547247,0.0237071,-0.090445,-0.0253149,-0.0223205,0.0351011,0.0589005,0.0153867,-0.11304,-0.047547,0.252125,0.0395012,-0.126262,0.244822,0.0463196,0.089522,0.268995,0.0628603,0.0945718,0.240311,-1,-1,4,40.2157,4,7.91162,4,3.71554,4,-1,4,3.72332,4,5.33757,4,3.6236,
0.0578411,-0.843689,0.720971,-0.295578,0.294473,0.505283,-0.505876,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00104311,-0.698023,-0.825282,0.710233,-0.30066,0.302194,0.500078,-0.507748,0.0122718,-0.0153398,0.0214757,-0.0230097,-0.628932,0.625864,0.969476,-0.967942,0.541495,-0.544563,0.0322136,-0.0337476,0.00460194,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.25353,0.0343185,9.63183,-0.00543233,-0.000718446,9.48104e-05,3.27531,4.42791,-15.2407,-0.270439,0.253741,0.223227,2.5251,1.73174,-12.4446,-0.206281,-0.0522009,0.0157784,-0.205999,-0.547247,0.0237071,-0.205999,-0.547247,0.0237071,0.0452756,0.0417655,0.363742,0.0670307,0.00864929,0.318497,-0.00217284,-0.0665876,0.383036,-0.0411183,0.0417021,0.319615,0.0447004,-0.057923,0.366689,0.067324,-0.0331825,0.320354,-0.0620427,-0.0912492,0.0270628,-0.205999,-0.547247,0.0237071,-0.0904542,-0.0253148,-0.0223118,0.0351035,0.0589195,0.0154378,-0.113041,-0.0475459,0.252125,0.0394859,-0.126247,0.244825,0.0463365,0.0895085,0.26899,0.0628832,0.0945609,0.240337,-1,-1,7.18628,4,6.24046,4,4.9685,4,3.82634,-1,8.78405,4,9.40651,4,14.5848,4,
0.0647737,-0.843689,0.720971,-0.295578,0.294473,0.505283,-0.505876,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00104311,-0.698023,-0.825282,0.710233,-0.302194,0.302194,0.500078,-0.507748,0.0122718,-0.0153398,0.0230097,-0.0230097,-0.628932,0.627398,0.97101,-0.967942,0.541495,-0.544563,0.0322136,-0.0337476,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.23485,-0.00344173,9.60261,-0.00166157,0.00122263,2.89993e-05,3.28637,4.40148,-15.2877,-0.269438,0.252616,0.222671,2.54675,1.73407,-12.4198,-0.206723,-0.0510239,0.0147981,-0.205999,-0.547247,0.0237071,-0.205999,-0.547247,0.0237071,0.0452912,0.0417442,0.363744,0.066999,0.00870654,0.318472,-0.00218284,-0.0665746,0.383042,-0.0411004,0.0416906,0.319629,0.0447078,-0.0579216,0.366694,0.0672984,-0.0331737,0.320342,-0.0620271,-0.0912378,0.027096,-0.205999,-0.547247,0.0237071,-0.0903895,-0.0253232,-0.022329,0.0351545,0.0588846,0.0154604,-0.112941,-0.0475582,0.252128,0.0394741,-0.126238,0.244816,0.0463822,0.0894946,0.269007,0.0628453,0.0945915,0.240327,-1,-1,7.18628,4,6.2405,4,4.96852,4,3.82635,-1,8.78392,4,9.40617,4,17.9096,4,
0.0718562,-0.843689,0.720971,-0.295578,0.294473,0.505283,-0.505876,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00104311,-0.698023,-0.825282,0.710233,-0.302194,0.302194,0.501612,-0.507748,0.0107379,-0.0153398,0.0214757,-0.0230097,-0.628932,0.627398,0.969476,-0.967942,0.541495,-0.544563,0.0322136,-0.0337476,0.00460194,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.24048,0.0230003,9.61119,0.00075107,0.000787067,-1.31084e-05,3.30181,4.39623,-15.2662,-0.269828,0.253539,0.221606,2.51282,1.75361,-12.4915,-0.208334,-0.0526495,0.0150093,-0.205999,-0.547247,0.0237071,-0.205999,-0.547247,0.0237071,0.0452988,0.0417425,0.363741,0.0670839,0.00865848,0.318494,-0.002216,-0.0665153,0.38302,-0.0410893,0.0416796,0.319565,0.0444468,-0.0578839,0.366578,0.0672578,-0.0331651,0.320319,-0.0620014,-0.0912685,0.0270853,-0.205999,-0.547247,0.0237071,-0.0904477,-0.0253165,-0.0223533,0.0352273,0.0588253,0.0155107,-0.113001,-0.0475414,0.252122,0.0395118,-0.126272,0.244812,0.0464615,0.0894217,0.269031,0.0628458,0.0945985,0.240288,-1,-1,4,40.2186,4,7.91158,4,3.71564,4,-1,4,3.72334,4,5.33755,4,3.62363,
