time,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,
0.00717065,-0.843689,0.720971,-0.295936,0.29477,0.50468,-0.504946,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-6.13592e-05,-0.698513,-0.814544,0.705631,-0.302194,0.302194,0.506214,-0.507748,-0.00613592,-0.00460194,0.00613592,-0.00153398,-0.625864,0.627398,0.997088,-0.995554,0.549165,-0.549165,0.00920388,-0.0122718,0.00306796,-0.289922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.04176,-0,9.62645,0.000632427,-0.000843678,-0.000456989,2.87544,-2.84985,-19.5868,-0.0603261,-0.236135,0.110833,-2.31272,0.0863242,-15.3355,-0.0130819,0.0191468,0.116838,-0.307478,0.568069,0.327214,6.7272,-0.280367,0.466396,0.294301,4,-0.270407,0.603614,0.332759,3.34613,-0.24375,0.610378,0.296979,4,-0.247662,0.503531,0.356752,13.1075,-0.367753,0.539294,0.29397,4,-0.228561,0.544649,0.339753,4.1048,-0.217674,0.58076,0.299807,4,-0.271334,0.444863,-0.00459607,4.64773,-0.339867,0.528764,-0.0378899,4,-0.204718,0.521494,-0.00918469,3.73277,-0.314137,0.612707,-0.0125105,4,-0.155108,0.511847,0.263903,5.48398,-0.172978,0.502384,0.21938,4,-0.311072,0.649447,0.254396,6.74477,-0.329693,0.660112,0.209375,4,
0.0143059,-0.843689,0.720971,-0.295936,0.29477,0.50468,-0.504946,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-6.13592e-05,-0.698513,-0.814544,0.705631,-0.303728,0.302194,0.506214,-0.507748,-0.00613592,-0.00306796,0.00613592,-0.00153398,-0.62433,0.625864,0.997088,-0.995554,0.549165,-0.549165,0.00920388,-0.0107379,0.00306796,-0.289922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.97436,-0.0097119,9.77988,0.00039819,-0.00049214,-3.51503e-05,2.87178,-2.87496,-19.4433,-0.0626286,-0.232933,0.110808,-2.32125,0.0893255,-15.2359,-0.0146507,0.0209436,0.115999,-0.307631,0.568046,0.327294,4,-0.280166,0.466512,0.294232,8.46244,-0.27044,0.603537,0.332781,4,-0.243727,0.610371,0.296989,3.91717,-0.247575,0.503529,0.356778,4,-0.367773,0.539288,0.294002,11.9838,-0.228558,0.544642,0.339772,4,-0.21768,0.580771,0.299826,3.90959,-0.271296,0.444855,-0.00459241,4,-0.339842,0.528763,-0.0378534,7.33721,-0.204736,0.521451,-0.00917676,4,-0.314116,0.612686,-0.0125087,3.34538,-0.155094,0.511844,0.263923,4,-0.173019,0.502373,0.219382,6.53761,-0.311082,0.649418,0.254399,4,-0.329672,0.660118,0.209398,3.90211,
0.0215212,-0.843689,0.720971,-0.295936,0.29477,0.50468,-0.504946,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-6.13592e-05,-0.698513,-0.814544,0.705631,-0.302194,0.302194,0.506214,-0.506214,-0.00613592,-0.00306796,0.00613592,-0.00153398,-0.62433,0.625864,0.997088,-0.995554,0.549165,-0.549165,0.00920388,-0.0107379,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.03273,-0.0216801,9.6138,0.000327924,-0.0011952,0,2.81549,-2.88692,-19.5495,-0.0639073,-0.22926,0.111025,-2.34224,0.0732376,-15.3714,-0.0151223,0.0226095,0.115781,-0.307629,0.568073,0.327335,4,-0.280195,0.466477,0.29426,8.46259,-0.270436,0.603563,0.332816,4,-0.24372,0.610372,0.297002,3.91717,-0.247684,0.503511,0.356754,4,-0.367733,0.539292,0.293989,11.9841,-0.228539,0.544636,0.339785,4,-0.217671,0.580773,0.29985,3.90958,-0.271311,0.444841,-0.00459436,4,-0.339834,0.52877,-0.0378397,7.33716,-0.204702,0.521509,-0.00917114,4,-0.314149,0.612719,-0.0125184,3.34537,-0.155103,0.511836,0.263923,4,-0.173029,0.50238,0.219391,6.53763,-0.31103,0.649463,0.254442,4,-0.329608,0.660138,0.209425,3.90207,
0.0291089,-0.843689,0.720971,-0.295936,0.29477,0.50468,-0.504946,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-6.13592e-05,-0.698513,-0.814544,0.705631,-0.302194,0.303728,0.506214,-0.506214,-0.00613592,-0.00460194,0.00613592,-0.00153398,-0.62433,0.625864,0.997088,-0.995554,0.549165,-0.549165,0.00920388,-0.0107379,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.97289,-0.012753,9.63774,0.000562144,0,-0.00049214,2.83477,-2.85122,-19.5374,-0.0628418,-0.232019,0.110002,-2.3294,0.0942083,-15.3319,-0.0140256,0.0192001,0.115246,-0.30761,0.568083,0.327331,6.72621,-0.280287,0.466422,0.294306,4,-0.270386,0.603641,0.332776,3.34611,-0.243735,0.61039,0.29702,4,-0.247593,0.503536,0.356806,13.1085,-0.367757,0.539282,0.294011,4,-0.228544,0.54463,0.339799,4.10494,-0.217635,0.580769,0.299865,4,-0.271362,0.44484,-0.00459644,4.64774,-0.339874,0.52874,-0.0379169,4,-0.20471,0.52151,-0.00917749,3.73276,-0.314122,0.612687,-0.0124764,4,-0.15508,0.51186,0.263929,5.48387,-0.173007,0.502354,0.21939,4,-0.31107,0.649437,0.254406,6.74488,-0.329565,0.660154,0.209453,4,
0.0361348,-0.843689,0.720971,-0.295936,0.29477,0.50468,-0.504946,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-6.13592e-05,-0.698513,-0.814544,0.705631,-0.302194,0.302194,0.506214,-0.506214,-0.00613592,-0.00306796,0.00613592,-0.00306796,-0.62433,0.625864,0.997088,-0.995554,0.549165,-0.549165,0.00920388,-0.0122718,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.97593,-0.0494424,9.65422,0.000374768,-0.000421839,-0.000175769,2.86189,-2.86552,-19.5774,-0.0622252,-0.235285,0.108853,-2.30236,0.102554,-15.4078,-0.0128312,0.0150457,0.115105,-0.307442,0.568105,0.327232,6.72714,-0.280243,0.466443,0.29428,4,-0.270366,0.603641,0.332766,3.34613,-0.243714,0.610377,0.297032,4,-0.247647,0.503516,0.356761,13.1082,-0.367751,0.539288,0.293997,4,-0.228546,0.544641,0.339777,4.10491,-0.217626,0.580768,0.299872,4,-0.271329,0.444835,-0.00460754,4.64777,-0.339895,0.528719,-0.0379773,4,-0.204696,0.521489,-0.00914673,3.73278,-0.314156,0.612727,-0.0124943,4,-0.155136,0.511813,0.263907,5.48414,-0.173054,0.502375,0.2194,4,-0.311036,0.649443,0.254425,6.74481,-0.329579,0.660157,0.209457,4,
0.0431533,-0.843689,0.720971,-0.295936,0.29477,0.50468,-0.504946,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-6.13592e-05,-0.698513,-0.814544,0.705631,-0.303728,0.303728,0.506214,-0.507748,-0.00613592,-0.00306796,0.00613592,-0.00153398,-0.625864,0.627398,0.995554,-0.99402,0.549165,-0.549165,0.00920388,-0.0107379,0.00460194,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99761,-0.0216801,9.64146,0.000491878,-0.000562458,0,2.87217,-2.84769,-19.6046,-0.0605998,-0.237788,0.108544,-2.28993,0.118502,-15.3249,-0.0119594,0.0140645,0.114967,-0.307387,0.568116,0.327204,4,-0.280318,0.466399,0.294321,8.46295,-0.270369,0.603667,0.33276,4,-0.243746,0.610374,0.297022,3.91714,-0.247638,0.503534,0.356769,4,-0.367706,0.539305,0.293976,11.9845,-0.228538,0.544648,0.339775,4,-0.217665,0.580768,0.299853,3.90957,-0.271363,0.444832,-0.00461255,4,-0.339863,0.528747,-0.0379404,7.33784,-0.204687,0.521505,-0.00917664,4,-0.314132,0.612702,-0.0125225,3.3454,-0.155049,0.511861,0.263946,4,-0.173042,0.502382,0.219387,6.53767,-0.310992,0.649482,0.254442,4,-0.329589,0.660163,0.209453,3.90203,
0.0502187,-0.843689,0.720971,-0.295936,0.29477,0.50468,-0.504946,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-6.13592e-05,-0.698513,-0.814544,0.705631,-0.302194,0.302194,0.506214,-0.507748,-0.00613592,-0.00306796,0.00613592,-0.00306796,-0.62433,0.625864,0.997088,-0.995554,0.549165,-0.549165,0.00920388,-0.0107379,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.01036,-0.0045126,9.68335,0.000562144,-0.000913979,0.000421839,2.848,-2.8543,-19.5603,-0.0591998,-0.23741,0.108806,-2.3019,0.106637,-15.2619,-0.0107231,0.0155912,0.114276,-0.307472,0.568078,0.327235,4,-0.28033,0.466405,0.294339,8.46274,-0.270394,0.603638,0.332773,4,-0.243749,0.610372,0.296989,3.91714,-0.247608,0.503537,0.356753,4,-0.36772,0.539306,0.29399,11.9843,-0.228472,0.54466,0.339775,4,-0.217634,0.58077,0.299834,3.90956,-0.27134,0.444847,-0.00462207,4,-0.33989,0.52874,-0.0379506,7.33786,-0.204712,0.521505,-0.00917249,4,-0.314172,0.612728,-0.0125264,3.34536,-0.155092,0.511831,0.263922,4,-0.17301,0.502385,0.219382,6.53756,-0.311003,0.649462,0.254413,4,-0.3296,0.660141,0.209417,3.90209,
0.0574006,-0.843689,0.720971,-0.295936,0.29477,0.50468,-0.504946,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-6.13592e-05,-0.698513,-0.814544,0.705631,-0.302194,0.302194,0.506214,-0.507748,-0.00460194,-0.00306796,0.00613592,-0.00153398,-0.62433,0.625864,0.997088,-0.995554,0.549165,-0.549165,0.00920388,-0.0107379,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.02832,-0.0239364,9.63774,0.000210815,-0.000105451,0.00028122,2.82447,-2.84972,-19.6943,-0.0580924,-0.238022,0.109898,-2.32562,0.0964888,-15.2789,-0.0104058,0.0175944,0.115031,-0.307456,0.56809,0.327217,6.72722,-0.280197,0.466491,0.294283,4,-0.270394,0.603641,0.33276,3.34613,-0.243729,0.61036,0.296967,4,-0.247512,0.503541,0.356774,13.1082,-0.367729,0.539304,0.294004,4,-0.228467,0.54466,0.339758,3.69887,-0.217661,0.580771,0.299811,4,-0.271357,0.444857,-0.00461475,4.6477,-0.339829,0.528769,-0.0378939,4,-0.204717,0.521532,-0.0090979,3.73276,-0.314197,0.612742,-0.012502,4,-0.155119,0.51181,0.263891,5.48416,-0.173048,0.502385,0.219355,4,-0.311026,0.649469,0.254421,6.74462,-0.329607,0.660142,0.209396,4,
0.0646323,-0.843689,0.720971,-0.295936,0.29477,0.50468,-0.504946,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-6.13592e-05,-0.698513,-0.814544,0.705631,-0.302194,0.303728,0.506214,-0.507748,-0.00613592,-0.00460194,0.00613592,-0.00153398,-0.62433,0.625864,0.997088,-0.99402,0.549165,-0.549165,0.00920388,-0.0107379,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.01409,0.0216801,9.65196,-0.000585566,0.000175769,7.03007e-05,2.86276,-2.86382,-19.6713,-0.0578958,-0.243442,0.109886,-2.30134,0.108816,-15.2152,-0.00860817,0.0155556,0.115685,-0.307544,0.567961,0.327281,4,-0.280158,0.466507,0.294247,8.46242,-0.270384,0.603631,0.332746,4,-0.243754,0.61037,0.296986,3.91716,-0.247584,0.503532,0.356735,4,-0.367752,0.539283,0.293997,11.9839,-0.228599,0.544583,0.339698,4,-0.217668,0.580774,0.299827,3.90958,-0.27136,0.444851,-0.00461572,4,-0.33992,0.528721,-0.0379767,7.33794,-0.204737,0.521514,-0.00914172,4,-0.314166,0.612719,-0.0125161,3.34537,-0.155055,0.511847,0.263916,4,-0.173042,0.502389,0.219364,6.53769,-0.311071,0.649429,0.254389,4,-0.329682,0.660104,0.209395,3.90212,
0.0721047,-0.843689,0.720971,-0.295936,0.29477,0.50468,-0.504946,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-6.13592e-05,-0.698513,-0.814544,0.705631,-0.302194,0.302194,0.506214,-0.507748,-0.00613592,-0.00306796,0.00613592,-0.00306796,-0.62433,0.627398,0.997088,-0.995554,0.549165,-0.549165,0.00920388,-0.0122718,0.00306796,-0.289922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.00055,-0.0164808,9.65422,-0.000562144,-0.000105451,0.000175769,2.86945,-2.87446,-19.8569,-0.057578,-0.24596,0.110465,-2.31156,0.103113,-15.4137,-0.00766345,0.0143916,0.117244,-0.307481,0.568117,0.3272,4,-0.280273,0.466436,0.294273,8.46281,-0.270362,0.603583,0.332756,4,-0.243758,0.610368,0.296999,3.91716,-0.247614,0.503537,0.35675,4,-0.367757,0.539268,0.293972,11.984,-0.228676,0.544561,0.339667,4,-0.217667,0.580773,0.299853,3.90958,-0.271354,0.444837,-0.00461389,4,-0.339986,0.528709,-0.0379612,7.33779,-0.204746,0.521472,-0.00918701,4,-0.314149,0.61271,-0.0125066,3.34536,-0.155053,0.511823,0.263926,4,-0.172989,0.502375,0.219355,6.53753,-0.311076,0.649411,0.254404,4,-0.329648,0.660103,0.209419,3.90209,
