time,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,
0.00709644,-0.843689,0.720971,-0.295813,0.294177,0.504475,-0.505344,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698585,-0.79767,0.704097,-0.302194,0.302194,0.50468,-0.507748,-0.00613592,0.0107379,0.00460194,-0.00920388,-0.613592,0.61666,1.0201,-1.02163,0.530757,-0.532291,0.0076699,-0.0138058,0.00306796,-0.289922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.50142,-0.0045126,9.78214,0.00011711,0.000140619,-0.000316371,2.94129,-2.68245,-19.8638,-0.0136899,-0.150318,0.106304,-2.1546,0.00329862,-15.8726,-0.0114191,0.102511,0.174778,-0.138802,0.749185,0.349345,4,-0.233558,0.673705,0.264131,6.05353,-0.120294,0.711756,0.336715,4,0,0,0,-1,-0.203166,0.646284,0.326368,4,-0.162318,0.763634,0.26428,7.33108,-0.185214,0.633976,0.339492,4,-0.147188,0.638847,0.297049,5.44784,-0.258718,0.65186,-0.00841479,4,-0.147462,0.771082,-0.0143409,3.28501,-0.197234,0.599663,-0.0105839,4,-0.0631252,0.723237,0.00241882,6.17181,-0.231855,0.591437,0.243224,4,-0.217598,0.567806,0.218281,4.86699,-0.0875071,0.757098,0.23394,4,-0.0394802,0.750249,0.227644,4.23675,
0.0147065,-0.843689,0.720971,-0.295813,0.294177,0.504475,-0.505344,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698585,-0.79767,0.704097,-0.302194,0.302194,0.50468,-0.506214,-0.00613592,0.0107379,0.00306796,-0.00920388,-0.613592,0.61666,1.0201,-1.02163,0.530757,-0.532291,0.00920388,-0.0138058,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.52683,-0.0426735,9.79568,-0.000234237,-7.03007e-05,-0.000667909,2.93538,-2.66563,-19.8115,-0.0133223,-0.149424,0.106068,-2.17905,-4.53439e-06,-15.793,-0.0124116,0.105088,0.174477,-0.138882,0.749183,0.349422,3.46172,-0.233545,0.673708,0.264123,4,-0.120287,0.71173,0.336724,3.91914,0,0,0,-1,-0.203162,0.645978,0.326018,5.92799,-0.162307,0.763616,0.264256,4,-0.185287,0.633991,0.339569,4.08085,-0.147023,0.639037,0.297261,4,-0.258675,0.651833,-0.00851257,4.25201,-0.147482,0.771063,-0.0143335,4,-0.197233,0.599687,-0.0106399,3.96127,-0.0631251,0.723226,0.00243164,4,-0.231682,0.591333,0.243335,6.79262,-0.217677,0.567842,0.218321,4,-0.0876714,0.757115,0.233809,11.7067,-0.0394886,0.750248,0.227666,4,
0.0226641,-0.843689,0.720971,-0.295813,0.294177,0.504475,-0.505344,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698585,-0.79767,0.705631,-0.302194,0.302194,0.50468,-0.506214,-0.0076699,0.0107379,0.00306796,-0.00920388,-0.613592,0.61666,1.0201,-1.0201,0.530757,-0.532291,0.00920388,-0.0138058,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.57323,0.0164808,9.7066,2.34219e-05,0.000421839,-0.000562458,2.91278,-2.69576,-19.9702,-0.0146661,-0.147934,0.106448,-2.16518,0.0123817,-16.0048,-0.0107651,0.104377,0.174441,-0.139344,0.748979,0.349166,4,-0.23355,0.673697,0.264115,6.05366,-0.12145,0.711637,0.336098,4,0,0,0,-1,-0.20312,0.645989,0.326032,4,-0.162312,0.763608,0.264254,7.33122,-0.18542,0.634063,0.33964,4,-0.14722,0.638848,0.297056,5.44782,-0.258693,0.651849,-0.00845508,4,-0.147483,0.771046,-0.0143363,3.28499,-0.197251,0.599693,-0.0106432,4,-0.0631386,0.723226,0.00242786,6.17191,-0.232164,0.591618,0.243045,4,-0.21764,0.567853,0.218224,4.86665,-0.088387,0.757016,0.233345,4,-0.0394761,0.750252,0.227659,4.23673,
0.0306331,-0.843689,0.720971,-0.295813,0.294177,0.504475,-0.505344,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698585,-0.79767,0.704097,-0.302194,0.302194,0.50468,-0.506214,-0.00613592,0.0107379,0.00306796,-0.00920388,-0.613592,0.61666,1.0201,-1.02163,0.530757,-0.530757,0.0076699,-0.0138058,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.52379,-0.0381609,9.74545,0,0.000456989,0,2.94008,-2.66195,-19.7649,-0.0123585,-0.148639,0.10559,-2.16018,0.020453,-15.8174,-0.0109746,0.10377,0.173974,-0.138905,0.749132,0.349353,4,-0.233557,0.673672,0.26408,6.05385,-0.120322,0.711715,0.336718,4,0,0,0,-1,-0.203157,0.646221,0.326334,4,-0.162326,0.763596,0.264227,7.33134,-0.185383,0.634078,0.339564,4,-0.147225,0.638846,0.297042,5.44784,-0.258741,0.651872,-0.00848425,4,-0.147468,0.771047,-0.0143363,3.285,-0.197265,0.599582,-0.0105699,4,-0.0631272,0.723231,0.00242078,6.17189,-0.231914,0.591435,0.243192,4,-0.217647,0.567843,0.218189,4.86655,-0.0881417,0.757004,0.233543,4,-0.0394734,0.750216,0.227651,4.23672,
0.0386177,-0.843689,0.720971,-0.295813,0.294177,0.504475,-0.505344,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698585,-0.79767,0.705631,-0.302194,0.302194,0.50468,-0.506214,-0.0076699,0.0107379,0.00306796,-0.00920388,-0.613592,0.61666,1.0201,-1.02163,0.530757,-0.532291,0.00920388,-0.0138058,0.00306796,-0.289922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.55302,-0.0007848,9.79185,0.00011711,-0.00073821,-7.03007e-05,2.95461,-2.66133,-19.885,-0.0127061,-0.14978,0.105455,-2.12972,0.000966199,-15.8976,-0.0110112,0.102702,0.174485,-0.138887,0.749157,0.349379,3.46166,-0.233598,0.673669,0.26409,4,-0.120358,0.711717,0.336699,3.91914,0,0,0,-1,-0.203126,0.646171,0.326335,5.9267,-0.162306,0.763534,0.264159,4,-0.185373,0.63405,0.33958,4.08068,-0.147346,0.638701,0.296908,4,-0.258743,0.651861,-0.00849194,4.25195,-0.147466,0.771035,-0.0143357,4,-0.197271,0.599651,-0.0105934,3.81515,-0.0631258,0.723229,0.00242896,4,-0.231717,0.591331,0.24331,6.79262,-0.217603,0.56785,0.218116,4,-0.087545,0.757137,0.233929,11.7049,-0.0394858,0.750222,0.227654,4,
0.0465796,-0.843689,0.720971,-0.295813,0.294177,0.504475,-0.505344,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698585,-0.79767,0.705631,-0.302194,0.302194,0.50468,-0.506214,-0.0076699,0.0107379,0.00460194,-0.00920388,-0.613592,0.61666,1.0201,-1.02163,0.530757,-0.532291,0.0076699,-0.0138058,0.00306796,-0.289922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.54027,-0.0104967,9.69159,-2.34219e-05,-0.000562458,0.000140619,2.92889,-2.68286,-19.9334,-0.0133875,-0.147622,0.105521,-2.16529,0.0169434,-15.9195,-0.0102437,0.104986,0.173866,-0.138835,0.749179,0.349343,4,-0.233576,0.673665,0.264076,6.05383,-0.12028,0.711737,0.336738,4,0,0,0,-1,-0.203159,0.64622,0.326349,4,-0.162323,0.763583,0.264209,7.33149,-0.185455,0.634056,0.339662,4,-0.147231,0.638849,0.297048,5.44781,-0.258834,0.651817,-0.00842078,4,-0.147481,0.771039,-0.0143302,3.28499,-0.197269,0.59967,-0.0106241,4,-0.0631122,0.723261,0.00250439,5.66829,-0.231924,0.59142,0.243223,4,-0.217486,0.567825,0.218022,4.86619,-0.087509,0.757205,0.233938,4,-0.0394728,0.750236,0.227662,4.2367,
0.0545923,-0.843689,0.720971,-0.295813,0.294177,0.504475,-0.505344,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698585,-0.79767,0.704097,-0.303728,0.302194,0.50468,-0.506214,-0.0076699,0.0107379,0.00306796,-0.0076699,-0.613592,0.61666,1.0201,-1.02163,0.530757,-0.532291,0.00920388,-0.0138058,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.56499,-0.0150093,9.77763,-0.000257659,0,0.000351538,2.92447,-2.65753,-19.8686,-0.011507,-0.147371,0.105397,-2.17184,0.0162107,-15.8235,-0.0102092,0.106159,0.173839,-0.13887,0.749156,0.349292,4,-0.233569,0.673662,0.264076,6.05384,-0.120352,0.71172,0.336693,4,0,0,0,-1,-0.203183,0.646019,0.326066,4,-0.162308,0.76356,0.264176,7.33169,-0.185306,0.63398,0.339538,4,-0.147347,0.638687,0.296866,5.44811,-0.258802,0.651801,-0.00840198,4,-0.147479,0.771047,-0.0143348,3.285,-0.197264,0.599657,-0.0106213,4,-0.0631357,0.723289,0.0024353,5.26705,-0.231834,0.591395,0.243247,4,-0.217353,0.567843,0.217958,4.86606,-0.0878027,0.757145,0.23377,4,-0.0394874,0.750236,0.227658,4.23673,
0.0626172,-0.843689,0.720971,-0.295813,0.294177,0.504475,-0.505344,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698585,-0.79767,0.704097,-0.303728,0.302194,0.50468,-0.507748,-0.0076699,0.0107379,0.00306796,-0.00920388,-0.613592,0.61666,1.0201,-1.02163,0.530757,-0.530757,0.0076699,-0.0138058,0.00306796,-0.289922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.52536,0.0007848,9.74849,-0.000351346,3.51503e-05,-0.000351538,2.93808,-2.674,-19.9763,-0.0122007,-0.148264,0.105692,-2.16777,0.020213,-15.8492,-0.0100318,0.105902,0.174022,-0.138857,0.749157,0.349291,4,-0.233575,0.673681,0.264103,6.05365,-0.120358,0.71171,0.33668,4,0,0,0,-1,-0.20316,0.646154,0.32628,4,-0.162317,0.763564,0.264215,7.33151,-0.185297,0.633921,0.339494,4,-0.147221,0.638819,0.297006,5.44782,-0.258735,0.65183,-0.008427,4,-0.147468,0.771054,-0.0143214,3.285,-0.197251,0.599652,-0.0105991,4,-0.0631432,0.72326,0.00242639,5.26708,-0.231812,0.591386,0.243247,4,-0.21733,0.56783,0.217935,4.86602,-0.088025,0.757159,0.233596,4,-0.039501,0.750231,0.227651,4.23674,
0.0706619,-0.843689,0.720971,-0.295813,0.294177,0.504475,-0.505344,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698585,-0.79767,0.704097,-0.302194,0.303728,0.50468,-0.506214,-0.00613592,0.0107379,0.00306796,-0.00920388,-0.613592,0.61666,1.0201,-1.02163,0.530757,-0.532291,0.0076699,-0.0138058,0.00306796,-0.289922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.55076,-0.0202086,9.72828,-4.68439e-05,7.03007e-05,0.00052729,2.93502,-2.66812,-19.8575,-0.0110761,-0.148179,0.105379,-2.17144,0.0220073,-15.767,-0.00920836,0.106353,0.173562,-0.138851,0.749169,0.34934,3.46168,-0.233568,0.673685,0.264126,4,-0.120318,0.711697,0.336699,3.91919,0,0,0,-1,-0.203098,0.646147,0.326354,5.92666,-0.162321,0.763607,0.264273,4,-0.185311,0.633924,0.339492,4.08079,-0.147249,0.63883,0.296996,4,-0.258711,0.6518,-0.00847681,4.25204,-0.147449,0.771063,-0.0143197,4,-0.197242,0.599673,-0.0106284,3.81516,-0.0631618,0.723283,0.0023916,4,-0.232296,0.591657,0.242979,6.79485,-0.217406,0.567801,0.217992,4,-0.0878102,0.757167,0.233745,11.7065,-0.0395164,0.750222,0.227657,4,
0.0786121,-0.843689,0.720971,-0.295813,0.294177,0.504475,-0.505344,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698585,-0.79767,0.704097,-0.302194,0.302194,0.50468,-0.506214,-0.00613592,0.0107379,0.00306796,-0.00920388,-0.613592,0.61666,1.0201,-1.02163,0.530757,-0.532291,0.00920388,-0.0138058,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.53056,0.0074556,9.75143,-0.000351346,0,-0.000421839,2.93103,-2.65867,-19.9397,-0.0103983,-0.148326,0.106253,-2.17934,0.020467,-15.876,-0.00879926,0.106964,0.174513,-0.138869,0.749178,0.349335,3.46168,-0.233593,0.67371,0.264173,4,-0.12034,0.711741,0.336752,3.9191,0,0,0,-1,-0.203181,0.646255,0.326382,5.92626,-0.162345,0.76365,0.264331,4,-0.185461,0.633992,0.33966,4.08098,-0.147146,0.638959,0.297138,4,-0.258738,0.651834,-0.00842712,4.25211,-0.14742,0.771025,-0.0143798,4,-0.197241,0.599713,-0.0106459,3.96129,-0.0631621,0.723257,0.00244055,4,-0.231877,0.591418,0.243252,6.79325,-0.217367,0.567841,0.218006,4,-0.0878546,0.757182,0.233738,11.7066,-0.0395321,0.750221,0.227678,4,
