time,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,
0.00719458,-0.843689,0.720971,-0.295864,0.294146,0.50513,-0.503943,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698534,-0.799204,0.704097,-0.302194,0.302194,0.50468,-0.507748,-0.00920388,-0.00460194,0.00920388,0,-0.615126,0.618194,1.0155,-1.0155,0.529223,-0.532291,0.0138058,-0.0076699,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49465,-0.0703377,9.78214,0,0.000667909,-0.00021092,2.7732,-2.75802,-19.6677,-0.0544257,-0.121218,0.0961252,-2.2251,-0.120149,-15.8592,-0.0487004,0.11235,0.112153,0.00619934,0.510704,0.349645,4,0.0420826,0.388707,0.296245,14.5027,0.0469799,0.535466,0.339037,4,0.110856,0.538761,0.307394,3.60088,0.0781501,0.419808,0.356148,4,-0.0146862,0.483216,0.282608,14.2516,0.107783,0.461042,0.346553,4,0,0,0,-1,0.0655277,0.37437,-0.00141333,4,-0.0122842,0.476903,0.00837756,3.57591,0.135691,0.444171,-0.0102026,4,0.0389542,0.548056,-0.0121218,4.29275,0,0,0,-1,0.161887,0.416104,0.224997,3.9522,0.0144886,0.573886,0.241223,4,0.0426205,0.580699,0.200034,10.0924,
0.0145566,-0.843689,0.720971,-0.295864,0.294146,0.50513,-0.503943,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698534,-0.799204,0.705631,-0.302194,0.302194,0.506214,-0.506214,-0.0076699,-0.00460194,0.00920388,0,-0.615126,0.61666,1.0155,-1.0155,0.529223,-0.530757,0.0138058,-0.0076699,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.51182,-0.08829,9.73799,-9.36877e-05,0.00021092,0.000386689,2.77243,-2.76715,-19.6649,-0.0555498,-0.122089,0.0947164,-2.19923,-0.123002,-15.9962,-0.0474055,0.108888,0.111612,0.00620215,0.51067,0.349634,3.47552,0.0421562,0.388731,0.29621,4,0.0469859,0.53546,0.339047,3.47067,0.110825,0.538743,0.307405,4,0.0781386,0.419769,0.356118,7.43511,-0.0146954,0.483231,0.282584,4,0.107733,0.46094,0.346414,3.61962,0.124055,0.494205,0.314367,4,0.0655109,0.374358,-0.00146533,3.38782,-0.0122346,0.476906,0.00839001,4,0.135698,0.444159,-0.0102601,3.4907,0.0389978,0.548029,-0.0120878,4,0,0,0,-1,0.161894,0.416103,0.225006,4,0.0144675,0.573884,0.241217,4.69125,0.0425262,0.580661,0.200148,4,
0.0216013,-0.843689,0.720971,-0.295864,0.294146,0.50513,-0.503943,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698534,-0.799204,0.704097,-0.302194,0.302194,0.506214,-0.506214,-0.00920388,-0.00613592,0.00920388,0,-0.615126,0.618194,1.0155,-1.0155,0.529223,-0.530757,0.0138058,-0.0076699,0.00306796,-0.289922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.52232,0.0111834,9.71779,0.00039819,-0.000316371,-0.000105451,2.79971,-2.75656,-19.678,-0.0535784,-0.123327,0.0939472,-2.19418,-0.0943333,-15.9914,-0.0456837,0.106619,0.111171,0.00620886,0.510648,0.349625,3.47551,0.0421185,0.388699,0.296188,4,0.0470082,0.535442,0.33907,3.47067,0.111,0.538665,0.307215,4,0.0782548,0.419732,0.356115,7.43531,-0.0146846,0.48322,0.282561,4,0.107741,0.460982,0.346381,3.61958,0.124078,0.494227,0.314346,4,0.0655253,0.374363,-0.00146301,3.38782,-0.012242,0.476878,0.00836597,4,0.135719,0.44412,-0.0102181,3.49073,0.0390761,0.547958,-0.0121011,4,0,0,0,-1,0.161909,0.416088,0.225016,4,0.0144888,0.573882,0.241237,4.69123,0.0426215,0.580687,0.200037,4,
0.028782,-0.843689,0.720971,-0.295864,0.294146,0.50513,-0.503943,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698534,-0.799204,0.705631,-0.302194,0.302194,0.506214,-0.506214,-0.00920388,-0.00460194,0.00920388,0,-0.615126,0.618194,1.0155,-1.0155,0.529223,-0.530757,0.0138058,-0.00920388,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49691,-0.0973152,9.77763,9.36877e-05,-0.000105451,0,2.79081,-2.73164,-19.5875,-0.0517701,-0.122453,0.0934879,-2.18001,-0.0798178,-15.8667,-0.0449929,0.107612,0.109798,0.00624066,0.510606,0.349706,4,0.0421465,0.388705,0.296192,14.5036,0.0470319,0.535437,0.339087,4,0.110905,0.538759,0.307381,3.60088,0.0781387,0.419752,0.356094,4,-0.0146854,0.483201,0.282575,14.2521,0.107692,0.460953,0.346573,4,0.124046,0.494221,0.314404,3.80325,0.0655071,0.374337,-0.00148596,4,-0.0122909,0.476862,0.00833813,3.57595,0.135705,0.444112,-0.0102537,4,0.0389784,0.548045,-0.0120919,4.29279,0,0,0,-1,0.161907,0.416063,0.224976,3.95219,0.0145638,0.573882,0.241278,4,0.042689,0.580693,0.200084,10.0924,
0.0359521,-0.843689,0.720971,-0.295864,0.294146,0.50513,-0.503943,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698534,-0.799204,0.705631,-0.302194,0.302194,0.50468,-0.506214,-0.0076699,-0.00613592,0.00920388,0,-0.615126,0.618194,1.0155,-1.0155,0.529223,-0.530757,0.0138058,-0.0076699,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.57019,0.0164808,9.78891,0.000632427,-0.00021092,-0.00052729,2.7614,-2.75544,-19.5642,-0.0512675,-0.120703,0.0932942,-2.19052,-0.0979757,-15.82,-0.0446943,0.108634,0.109144,0.00621515,0.510694,0.349672,3.47549,0.0421043,0.388689,0.296185,4,0.0470302,0.535443,0.339087,3.47069,0.110982,0.538683,0.307243,4,0.0781846,0.419717,0.356082,7.43518,-0.0146818,0.483206,0.282568,4,0.107595,0.460803,0.346523,3.61963,0.124024,0.494177,0.314403,4,0.0655439,0.374369,-0.00142078,3.38788,-0.0123091,0.476864,0.00834863,4,0.135738,0.444113,-0.0102144,3.49074,0.0389726,0.548057,-0.0120907,4,0,0,0,-1,0.161913,0.416075,0.225005,4,0.0145692,0.573885,0.241252,4.69128,0.0426696,0.580707,0.200099,4,
0.043603,-0.843689,0.720971,-0.295864,0.294146,0.50513,-0.503943,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698534,-0.799204,0.704097,-0.302194,0.302194,0.506214,-0.507748,-0.0076699,-0.00613592,0.00920388,0,-0.615126,0.61666,1.0155,-1.0155,0.530757,-0.532291,0.0138058,-0.00920388,0.00306796,-0.289922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.50211,-0.0614106,9.70955,0.000445034,0.000562458,-7.03007e-05,2.77937,-2.72454,-19.7244,-0.050073,-0.124121,0.0940916,-2.20185,-0.069437,-15.8602,-0.0426224,0.108408,0.109802,0.00624075,0.510657,0.349725,3.47551,0.0421198,0.388686,0.296217,4,0.0470323,0.535452,0.339118,3.47069,0.110759,0.538757,0.307455,4,0.0782734,0.419782,0.356148,7.43532,-0.0146695,0.483193,0.282615,4,0.107798,0.461006,0.346553,3.61957,0.124053,0.494208,0.314364,4,0.0655612,0.374361,-0.00139893,3.3879,-0.012299,0.476872,0.00837317,4,0.135735,0.444138,-0.0102128,3.49074,0.0390098,0.548041,-0.0120837,4,0,0,0,-1,0.161921,0.416083,0.225005,4,0.0146114,0.573875,0.24127,4.69137,0.0426095,0.580705,0.200158,4,
0.0505964,-0.843689,0.720971,-0.295864,0.294146,0.50513,-0.503943,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698534,-0.799204,0.705631,-0.302194,0.302194,0.506214,-0.506214,-0.00920388,-0.00460194,0.00920388,0,-0.615126,0.618194,1.0155,-1.0155,0.529223,-0.532291,0.0138058,-0.0076699,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.54331,0.0074556,9.73348,2.34219e-05,0.000597608,0.000351538,2.80137,-2.73916,-19.7342,-0.049814,-0.129901,0.0934865,-2.16492,-0.0805345,-15.8286,-0.0414443,0.104023,0.110396,0.00627539,0.510671,0.349695,4,0.042173,0.38872,0.296216,14.5038,0.0470702,0.535472,0.339105,4,0.110838,0.538735,0.307366,3.6009,0.0782249,0.419711,0.356092,4,-0.0146513,0.483193,0.282637,14.2523,0.107833,0.460928,0.346421,4,0.124018,0.49414,0.314363,3.80324,0.0655634,0.374374,-0.00141687,4,-0.0122847,0.476923,0.00837952,3.57592,0.135723,0.444158,-0.0102751,4,0.0389969,0.548059,-0.0120682,4.29278,0,0,0,-1,0.161983,0.416113,0.225038,3.95207,0.0146122,0.573891,0.241263,4,0.0426361,0.580717,0.200098,11.092,
0.057582,-0.843689,0.720971,-0.295864,0.294146,0.50513,-0.503943,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698534,-0.799204,0.705631,-0.302194,0.302194,0.506214,-0.507748,-0.0076699,-0.00460194,0.00920388,0,-0.615126,0.61666,1.01703,-1.0155,0.529223,-0.530757,0.0138058,-0.0076699,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5336,0.0494424,9.74849,-0.000445034,0.00028122,7.03007e-05,2.82449,-2.74228,-19.7969,-0.0491609,-0.133148,0.0948346,-2.16015,-0.0833145,-15.8557,-0.0405155,0.102776,0.111831,0.00627771,0.510659,0.349677,4,0.042194,0.388697,0.296232,14.5038,0.0470291,0.535469,0.339079,4,0.110846,0.538727,0.307357,3.60091,0.0784233,0.419789,0.35616,4,-0.0145979,0.483215,0.28262,14.2531,0.107799,0.460833,0.346417,4,0.124023,0.494135,0.314356,3.80323,0.0655721,0.374379,-0.00140271,4,-0.0122741,0.476936,0.00839844,3.5759,0.135736,0.444152,-0.0102186,4,0.0389585,0.548116,-0.0120647,4.29267,0,0,0,-1,0.16198,0.416116,0.225043,3.95207,0.014537,0.573897,0.241242,4,0.0426487,0.580723,0.200081,11.0922,
0.0647187,-0.843689,0.720971,-0.295864,0.294146,0.50513,-0.503943,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698534,-0.799204,0.705631,-0.302194,0.302194,0.50468,-0.507748,-0.0076699,-0.00460194,0.00920388,0,-0.615126,0.618194,1.0155,-1.0155,0.529223,-0.532291,0.0138058,-0.00920388,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.53428,-0.0643536,9.74918,-0.000585566,0.000421839,0.000351538,2.80437,-2.73498,-19.7033,-0.0474594,-0.131825,0.0957343,-2.20036,-0.0612909,-15.7445,-0.0399455,0.106139,0.111692,0.00623135,0.51069,0.349646,3.47552,0.0423102,0.388719,0.296219,4,0.0470198,0.535462,0.339099,3.47068,0.110679,0.538817,0.307577,4,0.0783314,0.419783,0.356165,7.43549,-0.0145775,0.483197,0.282642,4,0.107824,0.460878,0.346434,3.61968,0.124079,0.494188,0.314361,4,0.0655725,0.37438,-0.001422,3.38791,-0.0122581,0.476953,0.00841809,4,0.135703,0.444144,-0.0102714,3.49072,0.0389559,0.548083,-0.0120889,4,0,0,0,-1,0.161945,0.416101,0.224998,4,0.0145315,0.573892,0.24125,4.69125,0.0426849,0.580715,0.200105,4,
0.0719131,-0.843689,0.720971,-0.295864,0.294146,0.50513,-0.503943,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-5.11327e-05,-0.698534,-0.799204,0.704097,-0.302194,0.302194,0.506214,-0.506214,-0.0076699,-0.00460194,0.00920388,0,-0.615126,0.61666,1.0155,-1.0155,0.529223,-0.530757,0.0138058,-0.00920388,0.00306796,-0.289922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.57019,0.0531702,9.76939,-0.000304502,0.000105451,3.51503e-05,2.77232,-2.75194,-19.76,-0.0478654,-0.128981,0.0967372,-2.22312,-0.0818802,-15.8532,-0.0396894,0.109011,0.111872,0.00627014,0.510668,0.349692,3.47554,0.0422647,0.388701,0.296212,4,0.0470235,0.535464,0.33907,3.47067,0.110683,0.538795,0.307531,4,0.0783737,0.419763,0.356153,6.57272,-0.0145663,0.483193,0.282624,4,0.107805,0.460911,0.3466,3.61962,0.124081,0.494216,0.314349,4,0.0655757,0.374371,-0.00143604,3.38791,-0.0122251,0.476952,0.00842432,4,0.135695,0.444139,-0.0102767,3.49071,0.0390187,0.548048,-0.0120593,4,0,0,0,-1,0.161979,0.416127,0.225021,4,0.0145354,0.573877,0.241235,4.69125,0.0425637,0.580688,0.20022,4,
