time,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,
0.00721631,-0.843689,0.720971,-0.296958,0.294627,0.504618,-0.504669,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0122718,-0.0153398,-9.20388e-05,-0.697511,-0.825282,0.710233,-0.302194,0.302194,0.507748,-0.500078,-0.0122718,0.0107379,-0.0153398,0.0168738,-0.622796,0.642738,0.95567,-0.967942,0.564505,-0.555301,-0.00613592,0.0168738,0.00460194,-0.342078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62555,-0.419868,9.50893,0.00173329,0.00660879,-0.00196858,3.62056,-1.21597,-17.342,0.181874,-0.417121,0.0910311,-2.29772,-2.30218,-17.9844,-0.370045,-0.207208,0.142231,-0.35374,0.534654,0.353848,4,-0.359201,0.40443,0.301844,11.2249,-0.321563,0.552749,0.335387,4,-0.271758,0.538236,0.299892,4.38594,-0.295078,0.437469,0.35578,4,-0.393414,0.505314,0.287136,4.37922,-0.282603,0.465827,0.341878,4,-0.2773,0.499603,0.294528,5.76595,-0.359384,0.380758,0.00235693,4,-0.408083,0.496578,-0.00852393,3.76459,-0.26901,0.438537,0.00236108,4,-0.342732,0.549209,-0.00800684,3.70665,-0.265239,0.406745,0.251439,4,-0.249121,0.404247,0.221572,7.69061,-0.330006,0.593385,0.252386,4,-0.350499,0.60432,0.213052,11.97,
0.0143923,-0.843689,0.720971,-0.296958,0.294627,0.504618,-0.504669,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0122718,-0.0153398,-9.20388e-05,-0.697511,-0.823748,0.710233,-0.302194,0.302194,0.507748,-0.500078,-0.0122718,0.0122718,-0.0153398,0.0168738,-0.622796,0.642738,0.957204,-0.969476,0.562971,-0.555301,-0.00613592,0.0168738,0.00306796,-0.342078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.66891,-0.392204,9.6033,0.00091349,0.00671426,-0.00108975,3.64937,-1.18141,-17.3387,0.184183,-0.42742,0.0907912,-2.26084,-2.2814,-17.7257,-0.363804,-0.218604,0.138494,-0.353705,0.534692,0.353856,4,-0.359103,0.404462,0.30187,11.2255,-0.321508,0.552793,0.335367,4,-0.27168,0.538248,0.299842,4.38588,-0.294965,0.437506,0.355784,4,-0.393331,0.505332,0.287162,4.37929,-0.282404,0.465862,0.341913,4,-0.277168,0.499634,0.294515,5.76556,-0.359398,0.38074,0.002375,4,-0.408198,0.496602,-0.00838562,3.76453,-0.269021,0.438523,0.00237976,4,-0.342739,0.549194,-0.0080033,3.70665,-0.265117,0.406777,0.251456,4,-0.248982,0.404266,0.221596,7.69004,-0.329939,0.593418,0.252389,4,-0.350416,0.604307,0.212999,11.971,
0.0218984,-0.843689,0.720971,-0.296958,0.294627,0.504618,-0.504669,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0122718,-0.0153398,-9.20388e-05,-0.697511,-0.825282,0.710233,-0.302194,0.302194,0.507748,-0.500078,-0.0107379,0.0107379,-0.0153398,0.0168738,-0.622796,0.642738,0.957204,-0.969476,0.564505,-0.555301,-0.00613592,0.0168738,0.00306796,-0.342078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71237,-0.443804,9.53512,0.000281081,0.00583543,-0.000386689,3.64653,-1.15657,-17.589,0.188795,-0.437541,0.0898493,-2.20548,-2.23154,-17.6127,-0.35357,-0.229551,0.13538,-0.353623,0.534682,0.353846,3.28522,-0.359035,0.404504,0.301865,4,-0.321472,0.552817,0.335333,3.46895,-0.271586,0.538247,0.299784,4,-0.294876,0.437499,0.355769,4.18232,-0.393264,0.505377,0.287168,4,-0.282337,0.465856,0.341901,5.08994,-0.277106,0.499675,0.294495,4,-0.359411,0.38075,0.00231189,4.44277,-0.408003,0.496555,-0.00855469,4,-0.269002,0.438541,0.00244751,5.78728,-0.342767,0.549196,-0.00801856,4,-0.265066,0.406769,0.251435,14.8665,-0.248948,0.404282,0.22158,4,-0.32992,0.593411,0.252391,5.21794,-0.350379,0.60432,0.212969,4,
0.0288328,-0.843689,0.720971,-0.296958,0.294627,0.504618,-0.504669,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0122718,-0.0153398,-9.20388e-05,-0.697511,-0.825282,0.710233,-0.302194,0.302194,0.507748,-0.500078,-0.0122718,0.0122718,-0.0153398,0.0153398,-0.622796,0.642738,0.957204,-0.967942,0.564505,-0.555301,-0.00613592,0.0168738,0.00306796,-0.342078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.76622,-0.345802,9.49549,2.34219e-05,0.00499175,3.51503e-05,3.64104,-1.12228,-17.7965,0.198195,-0.447401,0.0865638,-2.14973,-2.15425,-17.4359,-0.340388,-0.239159,0.132061,-0.353403,0.534579,0.353949,3.2852,-0.35901,0.404457,0.301892,4,-0.321491,0.552885,0.335278,3.46905,-0.271543,0.538302,0.299848,4,-0.294771,0.43748,0.355757,4.18224,-0.393196,0.505349,0.287184,4,-0.282277,0.465862,0.341875,5.08979,-0.277044,0.499643,0.294451,4,-0.359443,0.38073,0.00231531,4.44271,-0.408149,0.496564,-0.0085177,4,-0.269014,0.438534,0.00237598,5.78725,-0.342664,0.549216,-0.00798437,4,-0.265,0.406767,0.251426,14.8659,-0.248911,0.404283,0.22155,4,-0.329852,0.593394,0.252411,5.21777,-0.350347,0.604279,0.212968,4,
0.0359001,-0.843689,0.720971,-0.296958,0.294627,0.504618,-0.504669,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0122718,-0.0153398,-9.20388e-05,-0.697511,-0.825282,0.710233,-0.302194,0.302194,0.507748,-0.500078,-0.0122718,0.0122718,-0.0138058,0.0168738,-0.622796,0.642738,0.957204,-0.969476,0.564505,-0.555301,-0.00613592,0.0168738,0.00460194,-0.342078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77152,-0.378666,9.43634,-0.000608988,0.00471051,0.00130067,3.65509,-1.04906,-18.2128,0.209618,-0.457761,0.0846275,-2.09893,-2.08426,-17.3216,-0.327026,-0.245697,0.130657,-0.353383,0.534643,0.353884,4,-0.358991,0.404404,0.301894,11.2258,-0.321296,0.552798,0.335297,4,-0.271491,0.538294,0.29988,4.38549,-0.294708,0.437466,0.355731,4,-0.39316,0.505311,0.287204,4.3794,-0.282278,0.465872,0.34188,4,-0.277001,0.499617,0.294458,5.76509,-0.359466,0.380695,0.00229395,4,-0.408086,0.496558,-0.0084812,5.12371,-0.268987,0.43852,0.00242175,4,-0.342608,0.549219,-0.00794983,3.70659,-0.264926,0.406749,0.251394,4,-0.248801,0.404279,0.221547,7.68931,-0.329786,0.593368,0.252425,4,-0.350367,0.604234,0.213003,11.9716,
0.043144,-0.843689,0.720971,-0.296958,0.294627,0.504618,-0.504669,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-9.20388e-05,-0.697511,-0.825282,0.710233,-0.302194,0.302194,0.507748,-0.500078,-0.0122718,0.0107379,-0.0138058,0.0168738,-0.622796,0.642738,0.957204,-0.967942,0.564505,-0.555301,-0.00613592,0.0168738,0.00306796,-0.342078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.85079,-0.331578,9.46331,-0.000702693,0.00428869,0.00108975,3.64228,-1.00318,-18.4385,0.221565,-0.46343,0.0824178,-2.06153,-2.04011,-16.9939,-0.313742,-0.246064,0.129147,-0.3534,0.534575,0.353835,4,-0.358945,0.404365,0.301864,11.2261,-0.321162,0.552673,0.335322,4,-0.271438,0.538213,0.299844,4.38546,-0.294605,0.437402,0.355724,4,-0.393095,0.505212,0.287217,4.37943,-0.282333,0.465785,0.341845,4,-0.276968,0.499565,0.294437,5.76499,-0.359502,0.380681,0.00228943,4,-0.408001,0.496528,-0.00858667,3.76467,-0.268991,0.438534,0.00242383,4,-0.342612,0.549217,-0.00795789,3.70658,-0.26487,0.406722,0.251371,4,-0.248793,0.404245,0.221517,7.6893,-0.329764,0.593309,0.252419,4,-0.35037,0.604193,0.213016,11.9717,
0.0508301,-0.843689,0.720971,-0.296958,0.294627,0.504618,-0.504669,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-9.20388e-05,-0.697511,-0.825282,0.710233,-0.302194,0.30066,0.507748,-0.500078,-0.0107379,0.0122718,-0.0153398,0.0153398,-0.622796,0.642738,0.957204,-0.967942,0.564505,-0.555301,-0.00613592,0.0168738,0.00306796,-0.342078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.88002,-0.20807,9.53738,-0.00187384,0.00200373,0.00186311,3.63334,-0.944811,-18.7229,0.23467,-0.464681,0.0832759,-2.05897,-1.97434,-16.6784,-0.301237,-0.236783,0.12917,-0.353468,0.534447,0.353888,3.28529,-0.358895,0.4043,0.301846,4,-0.321234,0.552556,0.335362,3.46892,-0.271419,0.538128,0.299803,4,-0.29463,0.437346,0.355716,4.18209,-0.393087,0.505162,0.287241,4,-0.282257,0.465744,0.341817,5.08938,-0.276902,0.499502,0.294431,4,-0.359502,0.380677,0.00228479,3.69026,-0.408176,0.496566,-0.00843079,4,-0.269023,0.438513,0.0023634,5.78728,-0.342765,0.549191,-0.00804541,4,-0.264857,0.406688,0.251337,14.865,-0.248667,0.404222,0.221495,4,-0.329794,0.593263,0.252428,5.21767,-0.350352,0.604158,0.21305,4,
0.057854,-0.843689,0.720971,-0.296958,0.294627,0.504618,-0.504669,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-9.20388e-05,-0.697511,-0.825282,0.710233,-0.302194,0.302194,0.507748,-0.500078,-0.0122718,0.0107379,-0.0153398,0.0168738,-0.622796,0.642738,0.957204,-0.967942,0.564505,-0.555301,-0.00613592,0.0168738,0.00460194,-0.342078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.93241,-0.225238,9.52168,-0.00290444,0.00123037,0.00182796,3.59525,-0.898023,-18.9542,0.246573,-0.461667,0.0841293,-2.09277,-1.91588,-16.3471,-0.290544,-0.221511,0.130084,-0.353502,0.534465,0.35385,3.28528,-0.35881,0.404218,0.30183,4,-0.321061,0.552346,0.335427,3.4688,-0.271372,0.53806,0.299822,4,-0.294581,0.437258,0.355711,4.1821,-0.393079,0.505018,0.287256,4,-0.282255,0.46566,0.341839,5.08959,-0.276874,0.499431,0.294438,4,-0.359476,0.380724,0.00222363,3.69025,-0.408236,0.496567,-0.00845667,4,-0.269037,0.438529,0.00234009,5.78717,-0.342687,0.549202,-0.00801233,4,-0.264807,0.406627,0.251305,14.8648,-0.248608,0.404178,0.221434,4,-0.329785,0.593176,0.252463,5.21762,-0.350404,0.604098,0.213086,4,
0.0648367,-0.843689,0.720971,-0.296958,0.294627,0.504618,-0.504669,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-9.20388e-05,-0.697511,-0.825282,0.710233,-0.302194,0.302194,0.507748,-0.500078,-0.0107379,0.0107379,-0.0153398,0.0168738,-0.622796,0.642738,0.957204,-0.967942,0.564505,-0.555301,-0.00613592,0.0168738,0.00460194,-0.342078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.92416,-0.0531702,9.52473,-0.0034666,0.00021092,0.00147644,3.54671,-0.854397,-19.1409,0.258937,-0.454623,0.0852593,-2.1211,-1.88401,-16.1186,-0.28092,-0.20584,0.131597,-0.353281,0.534218,0.353992,4,-0.358789,0.404152,0.301841,11.2262,-0.321288,0.552458,0.335336,4,-0.271412,0.537996,0.299825,4.38547,-0.294515,0.437161,0.355712,4,-0.393081,0.504947,0.287265,4.37929,-0.282067,0.465579,0.341843,4,-0.276847,0.499414,0.294451,5.76458,-0.359465,0.380734,0.00221204,4,-0.408155,0.49655,-0.00854333,3.76463,-0.269051,0.43852,0.00232593,4,-0.342794,0.5492,-0.00805249,3.70661,-0.264749,0.406576,0.251275,4,-0.248673,0.404137,0.22143,7.68887,-0.329813,0.5931,0.252503,4,-0.350409,0.604053,0.213096,11.9713,
0.0718547,-0.843689,0.720971,-0.296958,0.294627,0.504618,-0.504669,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-9.20388e-05,-0.697511,-0.825282,0.710233,-0.302194,0.302194,0.507748,-0.500078,-0.0122718,0.0107379,-0.0153398,0.0168738,-0.622796,0.642738,0.957204,-0.967942,0.564505,-0.555301,-0.00613592,0.0168738,0.00460194,-0.342078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.85383,-0.0950589,9.48058,-0.00433325,-0.00123037,0.00168736,3.51686,-0.781791,-19.3837,0.270052,-0.446657,0.0862982,-2.12699,-1.81873,-15.96,-0.27205,-0.190504,0.134108,-0.353384,0.534241,0.353947,3.2853,-0.358719,0.40406,0.301813,4,-0.321191,0.552352,0.335388,3.46883,-0.271428,0.53794,0.299865,4,-0.294559,0.437102,0.355729,4.18217,-0.393094,0.50486,0.287265,4,-0.282208,0.465549,0.341838,5.08972,-0.276854,0.499353,0.294458,4,-0.359456,0.380713,0.00223914,3.69027,-0.408106,0.496551,-0.00852319,4,-0.269043,0.43854,0.00233936,5.56663,-0.342644,0.549211,-0.00798791,4,-0.264763,0.406536,0.251271,14.8648,-0.248596,0.404092,0.221413,4,-0.32986,0.593056,0.252507,5.21778,-0.350461,0.60395,0.213166,4,
