time,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,
0.00711304,-0.843689,0.720971,-0.29658,0.29568,0.504608,-0.504506,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000859029,-0.699291,-0.81301,0.704097,-0.30066,0.302194,0.506214,-0.498544,-0.00153398,0,-0.00306796,-0.00306796,-0.642738,0.62433,0.980214,-0.97868,0.558369,-0.581379,0.00920388,-0.00613592,0.00460194,-0.386563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44289,-0.0711225,9.60703,-7.02658e-05,0.00021092,0,2.46915,-2.75324,-19.7532,-0.0463779,-0.266451,0.139685,-1.81625,0.00522099,-14.989,-0.0468983,-0.167169,0.117725,-0.209099,0.652811,0.34657,3.94993,-0.205647,0.52792,0.297,4,-0.166782,0.67226,0.333738,3.27802,-0.128259,0.663107,0.295807,4,-0.14764,0.56016,0.352852,3.6131,-0.226502,0.62324,0.266066,4,-0.130365,0.59262,0.337701,4.14689,-0.127086,0.626587,0.290637,4,-0.203204,0.49992,-0.00604395,5.55233,-0.275117,0.62583,-0.0085531,4,-0.124249,0.55782,-0.0115626,4.23333,-0.20412,0.673137,-0.0131062,4,-0.110834,0.534258,0.246334,13.2308,-0.091592,0.534079,0.218198,4,-0.203721,0.71053,0.240378,3.49324,-0.179402,0.716293,0.185422,4,
0.0145068,-0.843689,0.720971,-0.29658,0.29568,0.504608,-0.504506,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000859029,-0.699291,-0.81301,0.704097,-0.30066,0.302194,0.506214,-0.498544,0,0,-0.00306796,-0.00306796,-0.642738,0.62433,0.980214,-0.97868,0.558369,-0.581379,0.00920388,-0.00613592,0.00460194,-0.386563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45642,-0.100258,9.62724,0.000140532,0.000105451,3.51503e-05,2.40807,-2.76383,-19.9288,-0.047647,-0.263788,0.140316,-1.85998,0.0140537,-15.0847,-0.0458039,-0.164625,0.117814,-0.209192,0.652894,0.346515,3.94992,-0.205674,0.527923,0.297002,4,-0.166734,0.672298,0.333703,3.27802,-0.128264,0.66308,0.295752,4,-0.147651,0.560163,0.352862,3.6131,-0.226508,0.623207,0.266075,4,-0.130369,0.59261,0.337672,4.14687,-0.127124,0.626575,0.29062,4,-0.203234,0.499933,-0.00606812,5.5523,-0.275129,0.625827,-0.00856885,4,-0.124268,0.557811,-0.0115786,4.23331,-0.204146,0.673128,-0.0130721,4,-0.110877,0.534246,0.246332,13.2312,-0.0915509,0.534106,0.218217,4,-0.203771,0.710575,0.240317,3.61544,-0.179442,0.71632,0.185438,4,
0.0215789,-0.843689,0.720971,-0.29658,0.29568,0.504608,-0.504506,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000859029,-0.699291,-0.81301,0.705631,-0.30066,0.302194,0.506214,-0.498544,0,0,-0.00306796,-0.00306796,-0.642738,0.62433,0.980214,-0.97868,0.558369,-0.581379,0.00920388,-0.00613592,0.00460194,-0.386563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.50351,-0.056898,9.51344,0.000140532,0.00021092,0.00021092,2.412,-2.75682,-19.9224,-0.0468285,-0.264224,0.140218,-1.86256,0.014244,-15.0783,-0.0458576,-0.165458,0.117604,-0.208964,0.652818,0.346595,4,-0.205726,0.527893,0.297047,13.0764,-0.166791,0.672267,0.333716,4,-0.12825,0.66307,0.295738,4.15479,-0.147627,0.560164,0.352868,4,-0.22655,0.623226,0.266075,7.30795,-0.130312,0.592608,0.337654,4,-0.127109,0.62657,0.290622,5.3625,-0.203253,0.499933,-0.00608337,4,-0.275138,0.625818,-0.00856812,3.6865,-0.124273,0.557825,-0.0115631,4,-0.204157,0.673121,-0.0131035,3.71472,-0.110859,0.53425,0.24632,4,-0.0916386,0.534087,0.218177,17.8437,-0.203776,0.710543,0.240317,4,-0.179456,0.716313,0.18546,7.66341,
0.0287158,-0.843689,0.720971,-0.29658,0.29568,0.504608,-0.504506,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000859029,-0.699291,-0.81301,0.704097,-0.299126,0.303728,0.506214,-0.498544,0,0,-0.00306796,-0.00153398,-0.642738,0.62433,0.980214,-0.980214,0.558369,-0.581379,0.00920388,-0.00613592,0.00306796,-0.388097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49154,-0.0837774,9.56583,0.000163953,0.00101945,0.000456989,2.45216,-2.75962,-19.7368,-0.0464333,-0.266403,0.140054,-1.82685,0.0118945,-14.9756,-0.0466451,-0.167715,0.117693,-0.208993,0.652889,0.346541,4,-0.205761,0.527893,0.29704,13.0762,-0.16673,0.672299,0.33369,4,-0.128283,0.663112,0.295793,4.15478,-0.14767,0.560177,0.352852,4,-0.226598,0.623234,0.266077,7.30778,-0.130422,0.592646,0.337686,4,-0.127082,0.626604,0.290627,5.36242,-0.203249,0.499926,-0.00610645,4,-0.275143,0.625819,-0.00856934,3.6865,-0.124257,0.55781,-0.0115664,4,-0.204156,0.673128,-0.0130997,3.7147,-0.110832,0.534256,0.246332,4,-0.0916067,0.534087,0.218193,17.8433,-0.203739,0.71052,0.240354,4,-0.17944,0.716293,0.185443,7.66356,
0.035866,-0.843689,0.720971,-0.29658,0.29568,0.504608,-0.504506,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000859029,-0.699291,-0.81301,0.704097,-0.30066,0.302194,0.506214,-0.498544,-0.00153398,0,-0.00153398,-0.00306796,-0.642738,0.62433,0.980214,-0.980214,0.558369,-0.581379,0.0076699,-0.00613592,0.00460194,-0.386563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46535,-0.0905463,9.60997,-0.00011711,0.000632759,0.00049214,2.44812,-2.75795,-19.8965,-0.0476918,-0.266747,0.140058,-1.8375,0.0206858,-15.1196,-0.0464177,-0.167759,0.118166,-0.209016,0.652886,0.346533,3.94993,-0.205802,0.527886,0.297043,4,-0.16673,0.672294,0.333695,3.27802,-0.128286,0.663101,0.295802,4,-0.147676,0.560173,0.352851,3.61308,-0.22655,0.623201,0.266031,4,-0.130339,0.592591,0.337629,4.14681,-0.127018,0.626645,0.290649,4,-0.203261,0.499938,-0.00607959,5.55229,-0.275136,0.625802,-0.00855896,4,-0.124267,0.557806,-0.0115637,4.47119,-0.204139,0.673122,-0.0131023,4,-0.110871,0.534226,0.246328,13.2312,-0.0916176,0.534068,0.218195,4,-0.203734,0.710548,0.240363,3.61534,-0.179434,0.716278,0.185416,4,
0.0434514,-0.843689,0.720971,-0.29658,0.29568,0.504608,-0.504506,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000859029,-0.699291,-0.81301,0.704097,-0.30066,0.302194,0.506214,-0.498544,0,0,-0.00306796,-0.00306796,-0.642738,0.62433,0.980214,-0.980214,0.558369,-0.581379,0.00920388,-0.00613592,0.00460194,-0.386563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.50283,-0.0554265,9.52021,-0.000234237,-0.00049214,0.00024607,2.42287,-2.75504,-19.8126,-0.0477929,-0.263679,0.13969,-1.85099,0.0094966,-15.1137,-0.0465031,-0.166191,0.117441,-0.209126,0.652814,0.346521,4,-0.205821,0.527872,0.297035,13.0756,-0.166781,0.672253,0.333718,4,-0.128227,0.663083,0.295762,4.15473,-0.14769,0.560163,0.352837,4,-0.226624,0.623225,0.266045,7.30789,-0.130412,0.592607,0.337676,4,-0.127063,0.626612,0.29063,5.36237,-0.203224,0.499937,-0.00606409,4,-0.275116,0.625806,-0.00856226,3.68648,-0.124227,0.557735,-0.0116281,4,-0.20416,0.673131,-0.0131212,3.71469,-0.110825,0.534259,0.246341,4,-0.0916262,0.534071,0.21818,13.1809,-0.203673,0.710481,0.24044,4,-0.179396,0.716256,0.185372,7.66408,
0.0504666,-0.843689,0.720971,-0.29658,0.29568,0.504608,-0.504506,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000859029,-0.699291,-0.81301,0.704097,-0.30066,0.302194,0.506214,-0.498544,0,0,-0.00306796,-0.00306796,-0.642738,0.62433,0.980214,-0.97868,0.559903,-0.581379,0.00920388,-0.00613592,0.00460194,-0.386563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4886,-0.11154,9.56887,-0.000304502,-0.00021092,0.00028122,2.41339,-2.75526,-19.9103,-0.0489031,-0.261193,0.140575,-1.86724,-0.00206147,-15.1517,-0.0479595,-0.163447,0.118187,-0.20917,0.652925,0.34644,4,-0.205808,0.527883,0.29702,13.0758,-0.166727,0.672266,0.333693,4,-0.128286,0.663157,0.295886,4.15468,-0.147656,0.560157,0.352839,4,-0.226602,0.623239,0.266012,7.30818,-0.130407,0.592606,0.337642,4,-0.127078,0.626608,0.290643,5.3624,-0.203251,0.499927,-0.00611609,4,-0.275165,0.625802,-0.0085968,3.68649,-0.12425,0.55782,-0.0115424,4,-0.204165,0.673126,-0.0131342,3.71467,-0.110826,0.534264,0.246346,4,-0.0916217,0.53407,0.218202,13.1807,-0.20374,0.710584,0.240314,4,-0.179392,0.716251,0.185379,7.66414,
0.0574636,-0.843689,0.720971,-0.29658,0.29568,0.504608,-0.504506,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000859029,-0.699291,-0.81301,0.704097,-0.30066,0.302194,0.506214,-0.498544,0,0,-0.00306796,-0.00306796,-0.642738,0.625864,0.980214,-0.97868,0.558369,-0.581379,0.00920388,-0.00613592,0.00460194,-0.386563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.50057,-0.0554265,9.58535,-0.000327924,0,-0.000140619,2.42869,-2.77452,-19.7518,-0.0498055,-0.260037,0.1404,-1.84374,-0.0173646,-15.0157,-0.0497198,-0.162907,0.118017,-0.209046,0.652919,0.346494,4,-0.205767,0.527902,0.297003,13.0764,-0.16675,0.672269,0.333693,4,-0.128307,0.663134,0.295877,4.15471,-0.147663,0.560156,0.352834,4,-0.226581,0.623258,0.26601,7.30831,-0.130408,0.592613,0.337672,4,-0.127073,0.626602,0.290662,5.36237,-0.203242,0.499902,-0.00605493,4,-0.275141,0.625814,-0.00857861,3.68649,-0.12423,0.557777,-0.0115399,4,-0.204176,0.67312,-0.0131089,3.71469,-0.110869,0.534228,0.246344,4,-0.0917859,0.533917,0.218156,15.3643,-0.203721,0.710535,0.240363,4,-0.179398,0.716264,0.185382,7.66412,
0.0646367,-0.843689,0.720971,-0.29658,0.29568,0.504608,-0.504506,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000859029,-0.699291,-0.81301,0.704097,-0.30066,0.302194,0.506214,-0.498544,0,0,-0.00153398,-0.00306796,-0.642738,0.62433,0.980214,-0.97868,0.558369,-0.581379,0.00920388,-0.00613592,0.00306796,-0.386563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48703,-0.0890748,9.57858,-0.000163953,0.00024607,3.51503e-05,2.44759,-2.76776,-19.6873,-0.0488597,-0.258571,0.140202,-1.84021,-0.00863179,-15.0389,-0.0503092,-0.162427,0.118088,-0.2091,0.652851,0.346568,3.94988,-0.20575,0.527908,0.297007,4,-0.166812,0.672248,0.333717,3.27803,-0.12828,0.663118,0.29584,4,-0.147635,0.560162,0.352862,3.61309,-0.226669,0.62326,0.266097,4,-0.130422,0.592616,0.33774,4.14687,-0.127063,0.626619,0.290671,4,-0.203224,0.499924,-0.00604993,5.55237,-0.275163,0.625822,-0.00858032,4,-0.124201,0.557791,-0.0115253,4.47117,-0.204169,0.673143,-0.0131237,4,-0.110837,0.534254,0.246357,13.2308,-0.0917038,0.534004,0.218198,4,-0.203739,0.710521,0.240369,3.61531,-0.17939,0.716278,0.18538,4,
0.0718057,-0.843689,0.720971,-0.29658,0.29568,0.504608,-0.504506,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000859029,-0.699291,-0.81301,0.704097,-0.30066,0.302194,0.506214,-0.498544,-0.00153398,0,-0.00306796,-0.00306796,-0.642738,0.62433,0.980214,-0.97868,0.558369,-0.581379,0.00920388,-0.00613592,0.00306796,-0.386563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46015,-0.0876033,9.57554,0.000187375,-0.00028122,-0.000140619,2.42716,-2.7596,-19.8391,-0.050237,-0.25769,0.140127,-1.86476,0.0245667,-15.2287,-0.0484188,-0.162057,0.118244,-0.209044,0.652887,0.346557,4,-0.20576,0.527903,0.297034,13.0762,-0.166763,0.672294,0.333706,4,-0.12829,0.663106,0.2958,4.15477,-0.147662,0.560177,0.35286,4,-0.226634,0.623254,0.266081,7.30779,-0.130372,0.592581,0.337676,4,-0.127091,0.62659,0.290654,5.36243,-0.203244,0.499937,-0.00609766,4,-0.275137,0.625823,-0.00856885,3.68649,-0.124223,0.557796,-0.0115594,4,-0.204142,0.673141,-0.0131229,3.71468,-0.11087,0.534233,0.246352,4,-0.0916277,0.534046,0.218207,17.8432,-0.203747,0.710532,0.240344,4,-0.179407,0.716278,0.185375,7.66411,
