time,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,
0.00712915,-0.843689,0.720971,-0.295537,0.294442,0.5047,-0.50378,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-3.06796e-05,-0.698565,-0.80534,0.704097,-0.302194,0.303728,0.506214,-0.506214,-0.00613592,-0.00613592,0.00460194,-0.00153398,-0.62433,0.625864,1.00169,-1.00169,0.546097,-0.547631,0.00920388,-0.0107379,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.92354,0.0509139,9.77988,2.34219e-05,-0.000105451,0,2.93438,-2.80866,-19.5148,-0.0435893,-0.228242,0.120282,-2.38153,0.013505,-15.6155,-0.0237403,0.0360753,0.0989386,-0.178102,0.728958,0.312642,6.94609,0,0,0,-1,-0.134129,0.757932,0.32008,3.45175,-0.107039,0.767843,0.293777,4,-0.112513,0.662218,0.350214,3.75945,0,0,0,-1,-0.100657,0.699007,0.33734,4.8947,-0.101488,0.732845,0.290952,4,-0.153208,0.611378,-0.0091886,3.29612,-0.196567,0.748333,0.0393235,4,-0.0797383,0.668288,-0.00816956,7.46206,-0.17651,0.779434,-0.0161664,4,-0.0579937,0.648852,0.249417,12.709,-0.0506631,0.650019,0.215618,4,-0.184786,0.807554,0.238355,3.61307,-0.185027,0.826682,0.199828,4,
0.0143567,-0.843689,0.720971,-0.295537,0.294442,0.5047,-0.50378,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-3.06796e-05,-0.698565,-0.80534,0.704097,-0.302194,0.302194,0.506214,-0.507748,-0.00613592,-0.00613592,0.00460194,0,-0.62433,0.625864,1.00169,-1.00169,0.547631,-0.547631,0.0076699,-0.00920388,0.00306796,-0.289922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.90775,-0.0816192,9.61596,-0.00107746,0.00028122,0,2.94979,-2.83514,-19.5122,-0.0441873,-0.229931,0.121382,-2.36845,0.0171997,-15.7374,-0.0233716,0.0349581,0.100791,-0.178034,0.728922,0.312588,4,0,0,0,-1,-0.134137,0.757961,0.320062,4,-0.106888,0.767888,0.293717,3.84844,-0.112506,0.662231,0.350223,4,0,0,0,-1,-0.100633,0.699031,0.337394,4,-0.101455,0.732889,0.290981,5.67059,-0.153212,0.611397,-0.00925684,4,-0.196571,0.748343,0.0393201,15.9276,-0.0797778,0.668303,-0.0082561,4,-0.176533,0.779444,-0.0161483,4.56091,-0.0579526,0.648874,0.249422,4,-0.0506884,0.650016,0.215624,6.13344,-0.184768,0.80755,0.238364,4,-0.18501,0.826672,0.19983,7.7658,
0.022146,-0.843689,0.720971,-0.295537,0.294442,0.5047,-0.50378,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-3.06796e-05,-0.698565,-0.80534,0.705631,-0.303728,0.303728,0.506214,-0.507748,-0.00613592,-0.00460194,0.00306796,-0.00153398,-0.62433,0.625864,1.00322,-1.00169,0.547631,-0.547631,0.00920388,-0.00920388,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.92874,0.0396324,9.72083,-0.000468456,-3.51503e-05,-0.000808528,3.01786,-2.77101,-19.2393,-0.0408306,-0.232268,0.121618,-2.34328,0.0402229,-15.4584,-0.023709,0.0354473,0.100559,-0.178061,0.728729,0.312332,4,0,0,0,-1,-0.1341,0.757963,0.320091,4,-0.10689,0.767865,0.293705,3.84845,-0.112476,0.662218,0.350236,4,0,0,0,-1,-0.100692,0.698958,0.337299,4,-0.101534,0.732828,0.290947,5.67084,-0.153233,0.611361,-0.00916895,4,-0.196604,0.748325,0.0392903,15.928,-0.0797379,0.668302,-0.00826807,4,-0.176534,0.779455,-0.0161278,4.56089,-0.0580019,0.648853,0.249412,4,-0.0506674,0.649959,0.215609,6.13339,-0.184753,0.807535,0.238353,4,-0.185011,0.826684,0.199852,7.76564,
0.0291677,-0.843689,0.720971,-0.295537,0.294442,0.5047,-0.50378,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-3.06796e-05,-0.698565,-0.80534,0.704097,-0.302194,0.302194,0.506214,-0.507748,-0.00613592,-0.00613592,0.00460194,-0.00153398,-0.62433,0.625864,1.00169,-1.00169,0.547631,-0.547631,0.0076699,-0.00920388,0.00306796,-0.289922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.88234,-0.0748503,9.78518,-0.000585566,-0.000667909,-0.00028122,2.99291,-2.81204,-19.3898,-0.04118,-0.231092,0.121808,-2.3298,0.046089,-15.5824,-0.0219836,0.035056,0.100584,-0.178009,0.728702,0.312277,4,0,0,0,-1,-0.134092,0.757971,0.320083,4,-0.106912,0.76784,0.293692,3.84849,-0.112432,0.662202,0.350233,4,0,0,0,-1,-0.100706,0.69891,0.337238,4,-0.101461,0.73286,0.290982,5.67061,-0.153179,0.611396,-0.00917786,4,-0.196547,0.748353,0.0393199,15.9267,-0.0797389,0.668298,-0.00824695,4,-0.17654,0.779451,-0.0161163,4.56085,-0.0580115,0.648816,0.249398,4,-0.0506348,0.649961,0.215623,6.13327,-0.184736,0.807543,0.238343,4,-0.185005,0.826687,0.199847,7.76567,
0.0361782,-0.843689,0.720971,-0.295537,0.294442,0.5047,-0.50378,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-3.06796e-05,-0.698565,-0.806874,0.704097,-0.303728,0.303728,0.506214,-0.506214,-0.00613592,-0.00460194,0.00306796,-0.00153398,-0.62433,0.625864,1.00169,-1.00169,0.546097,-0.547631,0.00920388,-0.00920388,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.94895,-0.0030411,9.61674,-0.000304502,-0.000808528,0.000140619,2.9795,-2.76234,-19.3975,-0.036709,-0.23159,0.119795,-2.35354,0.0866191,-15.4896,-0.0179611,0.0348619,0.0984415,-0.177877,0.728595,0.312169,6.94939,0,0,0,-1,-0.134071,0.757935,0.320109,3.4518,-0.106964,0.767873,0.293797,4,-0.112421,0.662181,0.350226,3.75954,0,0,0,-1,-0.100698,0.698899,0.337246,4.89505,-0.101398,0.732889,0.290992,4,-0.153196,0.611361,-0.00922632,3.29617,-0.19652,0.748344,0.0393379,4,-0.0797549,0.668328,-0.00828748,7.4624,-0.176562,0.779459,-0.0161406,4,-0.0579853,0.648847,0.2494,12.7086,-0.0506512,0.649989,0.215625,4,-0.184732,0.807549,0.238341,3.61309,-0.185038,0.826669,0.199831,4,
0.0441523,-0.843689,0.720971,-0.295537,0.294442,0.5047,-0.50378,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-3.06796e-05,-0.698565,-0.80534,0.704097,-0.302194,0.303728,0.506214,-0.507748,-0.00613592,-0.00613592,0.00306796,0,-0.62433,0.625864,1.00169,-1.00169,0.546097,-0.547631,0.00920388,-0.0107379,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.92423,0.015696,9.64372,0.000281081,0,-0.000105451,3.00681,-2.74655,-19.517,-0.0331974,-0.236658,0.117734,-2.30226,0.0984906,-15.4241,-0.0140973,0.0299965,0.0967374,-0.178005,0.728985,0.31269,6.94644,0,0,0,-1,-0.134071,0.757996,0.320082,3.45179,-0.106872,0.767903,0.293803,4,-0.112446,0.6622,0.350229,3.75953,0,0,0,-1,-0.100702,0.698895,0.33723,4.89503,-0.101465,0.732854,0.290946,4,-0.153191,0.61136,-0.00913745,3.29614,-0.196565,0.74832,0.0392317,4,-0.0797398,0.668337,-0.00822046,7.4622,-0.176548,0.779449,-0.0161381,4,-0.0579574,0.648845,0.249388,12.7083,-0.0506623,0.649953,0.215597,4,-0.184717,0.807547,0.238346,3.61309,-0.185004,0.826661,0.199812,4,
0.0521309,-0.843689,0.720971,-0.295537,0.294442,0.5047,-0.50378,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-3.06796e-05,-0.698565,-0.806874,0.704097,-0.302194,0.302194,0.506214,-0.506214,-0.00613592,-0.00613592,0.00460194,-0.00153398,-0.62433,0.625864,1.00322,-1.00169,0.546097,-0.547631,0.00920388,-0.0107379,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.85242,-0.0808344,9.6602,0.000210815,0.000667909,-3.51503e-05,3.00454,-2.76563,-19.6993,-0.0315041,-0.242103,0.116135,-2.28524,0.109723,-15.3673,-0.010091,0.0248682,0.0952944,-0.178224,0.729245,0.313195,4,0,0,0,-1,-0.133992,0.757937,0.320108,4,-0.10685,0.767839,0.293686,3.84844,-0.112411,0.662175,0.350216,4,0,0,0,-1,-0.100709,0.698873,0.337199,4,-0.101439,0.732872,0.290954,5.6706,-0.153166,0.611339,-0.00914307,4,-0.196609,0.748303,0.0392107,15.9279,-0.0797359,0.668334,-0.00817456,4,-0.176558,0.779447,-0.0161355,4.56091,-0.0579294,0.648852,0.249383,4,-0.0506553,0.650013,0.215623,5.8194,-0.184718,0.807559,0.238351,4,-0.184991,0.826656,0.199828,7.7658,
0.0591475,-0.843689,0.720971,-0.295537,0.294442,0.5047,-0.50378,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-3.06796e-05,-0.698565,-0.80534,0.704097,-0.302194,0.302194,0.506214,-0.506214,-0.00613592,-0.00613592,0.00460194,-0.00153398,-0.62433,0.625864,1.00322,-1.00169,0.547631,-0.547631,0.0076699,-0.00920388,0.00306796,-0.291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9415,0.0800496,9.64372,0.000632427,0,0.00028122,3.00769,-2.72649,-19.6821,-0.0274583,-0.24625,0.116054,-2.29619,0.115099,-15.2097,-0.00751134,0.0241191,0.095054,-0.178133,0.728808,0.312552,6.94654,0,0,0,-1,-0.134028,0.757941,0.320119,3.45182,-0.106837,0.767853,0.293685,4,-0.112434,0.662199,0.350205,3.75949,0,0,0,-1,-0.100727,0.69887,0.337244,4.89508,-0.10145,0.732846,0.290942,4,-0.15318,0.611339,-0.0091593,3.29614,-0.196615,0.748306,0.0391971,4,-0.079747,0.668339,-0.00824707,7.46229,-0.176548,0.779459,-0.0161569,4,-0.0579501,0.648843,0.249366,12.7082,-0.0506299,0.649966,0.21559,4,-0.184711,0.807557,0.238351,3.6131,-0.184991,0.826674,0.199823,4,
0.0661768,-0.843689,0.720971,-0.295537,0.294442,0.5047,-0.50378,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-3.06796e-05,-0.698565,-0.80534,0.704097,-0.302194,0.302194,0.506214,-0.506214,-0.00613592,-0.00613592,0.00306796,-0.00153398,-0.62433,0.625864,1.00169,-1.00169,0.546097,-0.547631,0.00920388,-0.00920388,0.00306796,-0.289922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.91678,-0.0247212,9.6706,-0.000140532,0.00021092,0.000984279,2.98844,-2.75247,-19.7554,-0.0279508,-0.24784,0.118136,-2.30844,0.0950704,-15.2964,-0.00834972,0.0245124,0.0965572,-0.178306,0.729259,0.313156,6.94296,0,0,0,-1,-0.134077,0.758001,0.320073,3.4518,-0.106841,0.767829,0.293627,4,-0.112441,0.662205,0.350191,3.75947,0,0,0,-1,-0.100654,0.698938,0.337265,4.89485,-0.101441,0.73285,0.290942,4,-0.153186,0.611378,-0.00923999,3.29614,-0.196659,0.748265,0.0391517,4,-0.079777,0.668335,-0.00826208,7.46242,-0.17658,0.779443,-0.0161539,4,-0.0579696,0.648835,0.249338,12.7084,-0.0506429,0.649984,0.215576,4,-0.184756,0.807545,0.238344,3.61307,-0.184938,0.826669,0.199813,4,
0.0741699,-0.843689,0.720971,-0.295537,0.294442,0.5047,-0.50378,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-3.06796e-05,-0.698565,-0.80534,0.704097,-0.303728,0.303728,0.506214,-0.506214,-0.00613592,-0.00613592,0.00460194,-0.00153398,-0.62433,0.625864,1.00322,-1.00169,0.546097,-0.547631,0.00920388,-0.0107379,0.00306796,-0.289922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99231,0.121252,9.68482,-0.000374768,0.000913979,-3.51503e-05,2.98746,-2.77697,-19.7005,-0.0296223,-0.249932,0.12067,-2.34033,0.113207,-15.3185,-0.00853786,0.0260916,0.0987863,-0.177993,0.728711,0.312435,4,0,0,0,-1,-0.134048,0.757996,0.320049,4,-0.1068,0.767816,0.293581,3.84844,-0.112397,0.662176,0.350174,4,0,0,0,-1,-0.100662,0.69892,0.337194,4,-0.101483,0.732838,0.29092,5.67078,-0.15321,0.611375,-0.00925928,4,-0.196666,0.74826,0.0391475,15.9284,-0.0797718,0.668347,-0.0082959,4,-0.176574,0.779465,-0.0161713,4.56085,-0.0579645,0.648843,0.249331,4,-0.0506364,0.650022,0.215585,5.81941,-0.184764,0.807529,0.238328,4,-0.185,0.826669,0.199798,7.76576,
