time,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,
0.00714526,-0.843689,0.720971,-0.294882,0.296079,0.505365,-0.505079,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000593139,-0.697931,-0.808408,0.704097,-0.30066,0.30066,0.49701,-0.501612,-0.0076699,-0.00613592,-0.00306796,0.00460194,-0.638136,0.63967,0.972544,-0.97868,0.564505,-0.573709,0.00460194,0,0.00460194,-0.388097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.56188,0.0030411,9.60105,-0.000281081,0,-3.51503e-05,2.84873,-2.5449,-19.27,-0.0149691,-0.327336,0.106782,-2.19788,-0.272462,-15.4183,-0.0978411,-0.117493,0.0905241,-0.204912,0.663025,0.350563,3.07181,-0.208448,0.533826,0.29741,4,-0.159291,0.676025,0.333999,3.5377,-0.123404,0.665623,0.295273,4,-0.147897,0.5647,0.355212,3.52759,-0.245786,0.644419,0.280671,4,-0.131052,0.595233,0.337427,4.64603,-0.12426,0.627845,0.290189,4,-0.20701,0.505087,-0.00465173,3.96817,-0.256521,0.630739,-0.0121493,4,-0.127751,0.558746,-0.0113899,4.47216,-0.197552,0.678703,-0.0130681,4,-0.11387,0.534541,0.2454,13.2596,0,0,0,-1,-0.195961,0.717066,0.240062,3.61074,-0.165978,0.706904,0.161891,4,
0.0147729,-0.843689,0.720971,-0.294882,0.296079,0.505365,-0.505079,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000593139,-0.697931,-0.808408,0.704097,-0.299126,0.30066,0.495476,-0.501612,-0.0076699,-0.00613592,-0.00306796,0.00460194,-0.638136,0.63967,0.972544,-0.97868,0.564505,-0.573709,0.00460194,0,0.00306796,-0.388097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54099,-0.153428,9.56357,0.000327924,-0.000456989,0.000175769,2.78498,-2.58645,-19.3344,-0.0170759,-0.32367,0.106509,-2.20646,-0.305577,-15.5491,-0.0980159,-0.117071,0.0896556,-0.204912,0.663021,0.350569,3.07181,-0.208494,0.533805,0.297443,4,-0.15931,0.67602,0.333981,3.5377,-0.123392,0.665574,0.295194,4,-0.147875,0.564698,0.355215,3.52761,-0.245892,0.644438,0.280673,4,-0.131055,0.595243,0.337393,4.6459,-0.12429,0.62782,0.290175,4,-0.207022,0.5051,-0.00464893,3.96817,-0.256493,0.630704,-0.0122029,4,-0.127728,0.558758,-0.0113651,4.47212,-0.197567,0.678722,-0.0131289,4,-0.113879,0.534545,0.245396,13.2597,0,0,0,-1,-0.195925,0.717003,0.240103,3.61066,-0.166008,0.706935,0.161913,4,
0.0217222,-0.843689,0.720971,-0.294882,0.296079,0.505365,-0.505079,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000593139,-0.697931,-0.808408,0.704097,-0.30066,0.30066,0.49701,-0.501612,-0.0076699,-0.00613592,-0.00306796,0.00460194,-0.638136,0.638136,0.972544,-0.97868,0.564505,-0.573709,0.00460194,0,0.00306796,-0.388097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.59337,-0.0509139,9.47381,-9.36877e-05,-0.000175769,-3.51503e-05,2.82171,-2.5556,-19.3854,-0.0157005,-0.327421,0.105859,-2.21233,-0.273411,-15.5668,-0.096918,-0.119798,0.0898668,-0.204904,0.663019,0.350557,3.07182,-0.208516,0.533804,0.297446,4,-0.159449,0.676117,0.333933,3.53783,-0.123385,0.665652,0.295268,4,-0.147885,0.564697,0.355201,3.5276,-0.245898,0.644424,0.280699,4,-0.131025,0.5952,0.337389,4.6461,-0.124284,0.627827,0.290156,4,-0.207042,0.505104,-0.00464502,3.96815,-0.256431,0.630671,-0.0123293,4,-0.127772,0.558742,-0.0114165,4.47215,-0.197581,0.678713,-0.0131044,4,-0.113834,0.534575,0.245406,13.2591,0,0,0,-1,-0.195966,0.717052,0.240035,3.61076,-0.16601,0.706937,0.161951,4,
0.0287471,-0.843689,0.720971,-0.294882,0.296079,0.505365,-0.505079,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000593139,-0.697931,-0.808408,0.704097,-0.30066,0.30066,0.49701,-0.501612,-0.0076699,-0.00613592,-0.00306796,0.00460194,-0.638136,0.638136,0.972544,-0.97868,0.564505,-0.573709,0.00460194,0,0.00306796,-0.388097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5043,-0.0890748,9.56063,0.000655849,0.000105451,0,2.86107,-2.5643,-19.2697,-0.0155386,-0.332405,0.104937,-2.16272,-0.279059,-15.5057,-0.0965375,-0.125478,0.0890645,-0.204888,0.663036,0.35056,4,-0.208503,0.533818,0.297437,13.0878,-0.159363,0.676077,0.333944,4,-0.123395,0.665641,0.29526,4.14818,-0.147916,0.564704,0.355194,4,-0.245876,0.644444,0.280679,5.57186,-0.131309,0.595277,0.337418,4,-0.124254,0.627835,0.290166,5.35516,-0.207037,0.505108,-0.00461401,4,-0.256422,0.630674,-0.0122887,3.79852,-0.12775,0.558732,-0.0113929,4,-0.197573,0.678703,-0.0130743,3.61452,-0.113879,0.534544,0.245382,4,0,0,0,-1,-0.195944,0.717055,0.240028,4,-0.166008,0.706935,0.161931,23.6238,
0.0358726,-0.843689,0.720971,-0.294882,0.296079,0.505365,-0.505079,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000593139,-0.697931,-0.808408,0.704097,-0.30066,0.30066,0.49701,-0.501612,-0.0076699,-0.00613592,-0.00306796,0.00460194,-0.638136,0.638136,0.972544,-0.97868,0.564505,-0.573709,0.00460194,0,0.00306796,-0.386563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49527,-0.179621,9.5262,0.000655849,0.000456989,7.03007e-05,2.83015,-2.57122,-19.4007,-0.0154669,-0.333973,0.105175,-2.17517,-0.287984,-15.5882,-0.0956653,-0.127001,0.0890216,-0.204966,0.663053,0.350517,3.07182,-0.208498,0.533819,0.297424,4,-0.15928,0.676039,0.333986,3.53771,-0.123383,0.66563,0.295224,4,-0.147871,0.564707,0.355195,3.52759,-0.245863,0.644459,0.280653,4,-0.131338,0.595328,0.337412,4.64546,-0.124269,0.627844,0.290164,4,-0.207021,0.505119,-0.00464832,3.96818,-0.25645,0.630696,-0.0122827,4,-0.127743,0.558728,-0.0113922,4.47211,-0.197582,0.678719,-0.013124,4,-0.113828,0.534576,0.245403,13.2591,0,0,0,-1,-0.195916,0.717053,0.240048,3.61074,-0.165991,0.706937,0.161902,4,
0.0430767,-0.843689,0.720971,-0.294882,0.296079,0.505365,-0.505079,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000593139,-0.697931,-0.808408,0.704097,-0.30066,0.30066,0.495476,-0.501612,-0.0076699,-0.0076699,-0.00306796,0.00460194,-0.638136,0.638136,0.972544,-0.980214,0.564505,-0.573709,0.00460194,0,0.00306796,-0.388097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.61584,0.0134397,9.52992,0.000327924,0.000140619,-0.000562458,2.8278,-2.5523,-19.3936,-0.0156459,-0.335898,0.105665,-2.20245,-0.274012,-15.4857,-0.0951142,-0.126441,0.0892963,-0.204991,0.66301,0.350561,3.07184,-0.208472,0.533845,0.297407,4,-0.159311,0.676015,0.33401,3.53772,-0.123366,0.665626,0.295209,4,-0.147894,0.564714,0.355174,3.52758,-0.24577,0.644455,0.280648,4,-0.131328,0.595351,0.337415,4.64542,-0.124298,0.627819,0.290159,4,-0.207022,0.505117,-0.0046311,3.96821,-0.256354,0.630688,-0.0123701,4,-0.127763,0.558762,-0.0113906,4.23402,-0.197575,0.678729,-0.013078,4,-0.113832,0.534591,0.245397,13.2591,0,0,0,-1,-0.195896,0.717012,0.240089,3.61064,-0.165951,0.706941,0.161882,4,
0.0506697,-0.843689,0.720971,-0.294882,0.296079,0.505365,-0.505079,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000593139,-0.697931,-0.808408,0.704097,-0.30066,0.30066,0.495476,-0.501612,-0.0076699,-0.00613592,-0.00306796,0.00460194,-0.638136,0.638136,0.972544,-0.97868,0.564505,-0.573709,0.00613592,0,0.00306796,-0.388097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54167,-0.160197,9.51197,9.36877e-05,0.00073821,7.03007e-05,2.80115,-2.575,-19.3887,-0.0163579,-0.335445,0.106798,-2.18987,-0.323058,-15.5447,-0.0970223,-0.126477,0.0898987,-0.204889,0.663054,0.350576,4,-0.208453,0.533842,0.29743,13.0884,-0.159289,0.676055,0.333987,4,-0.12335,0.66562,0.295202,4.14818,-0.147845,0.564731,0.355181,4,-0.245661,0.644421,0.280645,5.57266,-0.130994,0.595257,0.337411,4,-0.1243,0.62781,0.290164,5.35529,-0.206984,0.505138,-0.00468909,4,-0.256334,0.630683,-0.012413,3.79868,-0.12776,0.558758,-0.0113855,4,-0.197543,0.678715,-0.0130917,3.61452,-0.113874,0.534576,0.245385,4,0,0,0,-1,-0.19593,0.717053,0.240054,4,-0.16595,0.706905,0.161844,23.6262,
0.0576802,-0.843689,0.720971,-0.294882,0.296079,0.505365,-0.505079,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000593139,-0.697931,-0.808408,0.704097,-0.30066,0.30066,0.495476,-0.501612,-0.0076699,-0.00613592,-0.00306796,0.00460194,-0.638136,0.638136,0.972544,-0.97868,0.564505,-0.573709,0.00460194,0,0.00306796,-0.388097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62633,-0.0247212,9.57113,-0.000655849,0.000984279,-0.000386689,2.83493,-2.57183,-19.3673,-0.0167139,-0.337422,0.107348,-2.19959,-0.286136,-15.4953,-0.0964465,-0.126595,0.0907457,-0.204886,0.663063,0.350575,4,-0.208439,0.533852,0.297433,13.0886,-0.159401,0.67612,0.333962,4,-0.123378,0.665588,0.295191,4.14824,-0.147832,0.564721,0.35518,4,-0.245681,0.644403,0.28068,5.57244,-0.131066,0.595275,0.337451,4,-0.124314,0.627803,0.290157,5.35534,-0.20699,0.505119,-0.00466833,4,-0.256456,0.630712,-0.0122585,3.79849,-0.127777,0.55878,-0.0113643,4,-0.19757,0.678728,-0.0131271,3.61452,-0.11383,0.534593,0.245401,4,0,0,0,-1,-0.195973,0.717077,0.239995,4,-0.165911,0.706846,0.161754,23.6292,
0.0647173,-0.843689,0.720971,-0.294882,0.296079,0.505365,-0.505079,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000593139,-0.697931,-0.808408,0.704097,-0.30066,0.30066,0.49701,-0.501612,-0.0076699,-0.0076699,-0.00306796,0.00460194,-0.638136,0.63967,0.972544,-0.97868,0.564505,-0.573709,0.00460194,0,0.00460194,-0.388097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.55295,-0.108499,9.55013,-0.000562144,0.000632759,-0.000140619,2.84424,-2.57007,-19.3765,-0.0172086,-0.33779,0.107631,-2.18566,-0.294721,-15.6241,-0.0970081,-0.126796,0.0918307,-0.20489,0.663049,0.350565,3.07181,-0.208427,0.533846,0.297431,4,-0.159334,0.676069,0.333966,3.53772,-0.123357,0.665613,0.295201,4,-0.147883,0.564721,0.355188,3.52759,-0.24577,0.644425,0.280674,4,-0.13127,0.595342,0.337367,4.64545,-0.124324,0.627809,0.290135,4,-0.20699,0.505091,-0.00465222,3.96817,-0.256446,0.630704,-0.0122347,4,-0.127787,0.55876,-0.0113794,4.23399,-0.197571,0.6787,-0.01308,4,-0.113877,0.534585,0.245399,13.2595,0,0,0,-1,-0.195966,0.717059,0.240021,3.61075,-0.165956,0.706861,0.1618,4,
0.0718384,-0.843689,0.720971,-0.294882,0.296079,0.505365,-0.505079,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000593139,-0.697931,-0.808408,0.704097,-0.30066,0.30066,0.495476,-0.501612,-0.0076699,-0.0076699,-0.00306796,0.00460194,-0.638136,0.638136,0.972544,-0.980214,0.564505,-0.573709,0.00460194,0,0.00460194,-0.388097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54324,-0.176678,9.52767,-0.000351346,0.00021092,0.000386689,2.83395,-2.59036,-19.4178,-0.0184649,-0.334234,0.107964,-2.20234,-0.307873,-15.7057,-0.0977854,-0.12476,0.0917772,-0.204915,0.663049,0.35057,3.07181,-0.208454,0.533832,0.297429,4,-0.159353,0.676058,0.333971,3.53772,-0.123419,0.665609,0.295242,4,-0.147905,0.564707,0.355184,3.5276,-0.245811,0.644428,0.280648,4,-0.13107,0.595248,0.33745,4.64612,-0.124288,0.627849,0.290171,4,-0.207017,0.505094,-0.00462573,3.96819,-0.256563,0.630717,-0.0121046,4,-0.127775,0.558773,-0.0113516,4.23401,-0.197579,0.678699,-0.0130587,4,-0.113861,0.534575,0.24541,13.2594,0,0,0,-1,-0.195964,0.717055,0.240039,3.61076,-0.165979,0.706857,0.161821,4,
