time,qpos,qpos,qvel,qvel,ctrl,snsr,snsr,snsr,est_p,est_p,est_v,est_v,est_c,est_s,est_s,est_s,stddev_p,stddev_p,stddev_v,stddev_v,stddev_c,stddev_s,stddev_s,stddev_s,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-06,1e-06,1e-06,1e-06,0,0,0,0,
0.00125,-1.53281e-05,0,-0.0122625,0,0,0,0,-1.53281e-05,-1.39349e-06,2.26766e-19,-0.0122626,2.3248e-21,0,0,0,-1.53281e-05,1,1,1,1,0,1.1e-06,1e-07,1.09998e-06,
0.0025,-4.59842e-05,0,-0.0245249,0,0,0,0,-4.59842e-05,-1.53281e-05,-1.32825e-15,-0.0245252,4.38707e-19,0,2.26769e-19,0,-3.20499e-05,1,1,2.00002,2,0,1,1e-07,0.999978,
0.00375,-9.19678e-05,0,-0.0367869,0,0,0,0,-9.19678e-05,-4.59842e-05,-2.6779e-16,-0.0367877,2.14077e-18,0,-1.32825e-15,0,-6.13126e-05,1,1,3.00006,2.99999,0,1,1e-07,0.999979,
0.005,-0.000153279,0,-0.0490485,0,0,0,0,-0.000153279,-9.19678e-05,7.63278e-17,-0.0490499,-1.42147e-14,0,-2.67787e-16,0,-0.000107296,1,1,4.00012,3.99998,0,1,1e-07,0.999981,
0.00625,-0.000229915,0,-0.0613096,0,0,0,0,-0.000229915,-0.000153279,4.01025e-15,-0.0613115,-2.84323e-14,0,5.85595e-17,0,-0.000168607,1,1,5.00019,4.99995,0,1.00001,1e-07,0.999983,
0.0075,-0.000321878,0,-0.0735699,0,0,0,0,-0.000321878,-0.000229915,-1.45749e-15,-0.0735726,-4.26485e-14,0,3.97471e-15,0,-0.000245244,1,1,6.00027,5.99992,0,1.00001,1e-07,0.999984,
0.00875,-0.000429164,0,-0.0858293,0,0,0,0,-0.000429164,-0.000321878,4.09561e-15,-0.085833,-3.54648e-14,0,-1.5108e-15,0,-0.000337207,1,1,7.00036,6.99986,0,1.00001,1e-07,0.999986,
0.01,-0.000551774,0,-0.0980877,0,0,0,0,-0.000551774,-0.000429164,-4.11511e-16,-0.0980924,-4.25769e-14,0,4.05128e-15,0,-0.000444493,1,1,8.00045,7.99978,0,1.00001,1e-07,0.999987,
0.01125,-0.000689705,0,-0.110345,0,0,0,0,-0.000689705,-0.000551774,-2.81351e-15,-0.110351,-2.84056e-14,0,-4.64732e-16,0,-0.000567103,1,1,9.00054,8.99968,0,1.00001,1e-07,0.999989,
0.0125,-0.000842956,0,-0.122601,0,0,0,0,-0.000842956,-0.000689705,4.50839e-16,-0.122608,-5.68455e-14,0,-2.84902e-15,0,-0.000705034,1,1,10.0006,9.99956,0,1.00001,1e-07,0.99999,
0.01375,-0.00101153,0,-0.134855,0,0,0,0,-0.00101153,-0.000842956,-1.765e-15,-0.134864,-4.27098e-14,0,3.79782e-16,0,-0.000858285,1,1,11.0007,10.9994,0,1.00002,1e-07,0.999992,
0.015,-0.00119541,0,-0.147108,0,0,0,0,-0.00119541,-0.00101153,2.19603e-16,-0.147118,-5.6769e-14,0,-1.81839e-15,0,-0.00102685,1,1,12.0008,11.9992,0,1.00002,1e-07,0.999994,
0.01625,-0.00139461,0,-0.159359,0,0,0,0,-0.00139461,-0.00119541,2.75887e-15,-0.159371,-5.67388e-14,0,1.48642e-16,0,-0.00121074,1,1,13.0008,12.999,0,1.00002,1e-07,0.999995,
0.0175,-0.00160912,0,-0.171608,0,0,0,0,-0.00160912,-0.00139461,3.04382e-15,-0.171622,-4.26544e-14,0,2.68794e-15,0,-0.00140994,1,1,14.0009,13.9987,0,1.00002,1e-07,0.999997,
0.01875,-0.00183894,0,-0.183856,0,0,0,0,-0.00183894,-0.00160912,1.80118e-15,-0.183871,-7.10203e-14,0,2.9905e-15,0,-0.00162445,1,1,15.0009,14.9984,0,1.00002,1e-07,0.999998,
0.02,-0.00208407,0,-0.1961,0,0,0,0,-0.00208407,-0.00183894,1.27788e-15,-0.196118,-8.52118e-14,0,1.7124e-15,0,-0.00185427,1,1,16.0009,15.9981,0,1.00002,1e-07,1,
0.02125,-0.00234449,0,-0.208343,0,0,0,0,-0.00234449,-0.00208407,-4.8218e-15,-0.208363,-7.09895e-14,0,1.17136e-15,0,-0.00209939,1,1,17.0009,16.9977,0,1.00003,1e-07,1,
0.0225,-0.00262022,0,-0.220583,0,0,0,0,-0.00262022,-0.00234449,6.14932e-16,-0.220605,-5.66281e-14,0,-4.91054e-15,0,-0.00235982,1,1,18.0009,17.9972,0,1.00003,1e-07,1,
0.02375,-0.00291125,0,-0.232821,0,0,0,0,-0.00291125,-0.00262022,-4.96836e-16,-0.232845,-4.2537e-14,0,5.44147e-16,0,-0.00263555,1,1,19.0008,18.9967,0,1.00003,1e-07,1,
0.025,-0.00321757,0,-0.245055,0,0,0,0,-0.00321757,-0.00291125,-4.29432e-15,-0.245082,-5.69296e-14,0,-5.50007e-16,0,-0.00292658,1,1,20.0007,19.9961,0,1.00003,1e-07,1.00001,
0.02625,-0.00353918,0,-0.257287,0,0,0,0,-0.00353918,-0.00321757,-5.02969e-16,-0.257317,-7.09094e-14,0,-4.36548e-15,0,-0.0032329,1,1,21.0005,20.9955,0,1.00003,1e-07,1.00001,
0.0275,-0.00387607,0,-0.269516,0,0,0,0,-0.00387607,-0.00353918,5.38829e-16,-0.269548,-8.53369e-14,0,-5.91606e-16,0,-0.0035545,1,1,22.0003,21.9948,0,1.00003,1e-07,1.00001,
0.02875,-0.00422825,0,-0.281741,0,0,0,0,-0.00422825,-0.00387607,2.3982e-15,-0.281777,-5.68156e-14,0,4.32158e-16,0,-0.0038914,1,1,23.0001,22.9941,0,1.00003,1e-07,1.00001,
0.03,-0.0045957,0,-0.293963,0,0,0,0,-0.0045957,-0.00422825,9.08118e-17,-0.294002,-7.10939e-14,0,2.32718e-15,0,-0.00424357,1,1,23.9998,23.9932,0,1.00004,1e-07,1.00001,
0.03125,-0.00497843,0,-0.306182,0,0,0,0,-0.00497843,-0.0045957,1.07665e-15,-0.306224,-7.1181e-14,0,1.94434e-18,0,-0.00461103,1,1,24.9995,24.9923,0,1.00004,1e-07,1.00001,
0.0325,-0.00537643,0,-0.318397,0,0,0,0,-0.00537643,-0.00497843,1.69854e-15,-0.318442,-5.69837e-14,0,9.87673e-16,0,-0.00499376,1,1,25.9991,25.9914,0,1.00004,1e-07,1.00002,
0.03375,-0.00578969,0,-0.330608,0,0,0,0,-0.00578969,-0.00537643,4.55037e-15,-0.330657,-4.29572e-14,0,1.62732e-15,0,-0.00539175,1,1,26.9987,26.9903,0,1.00004,1e-07,1.00002,
0.035,-0.00621821,0,-0.342815,0,0,0,0,-0.00621821,-0.00578969,-4.51666e-15,-0.342868,-4.67935e-16,0,4.49667e-15,0,-0.00580501,1,1,27.9982,27.9892,0,1.00004,1e-07,1.00002,
0.03625,-0.00666198,0,-0.355019,0,0,0,0,-0.00666198,-0.00621821,-2.87777e-15,-0.355074,-5.67654e-14,0,-4.51725e-15,0,-0.00623353,1,1,28.9976,28.988,0,1.00004,1e-07,1.00002,
0.0375,-0.007121,0,-0.367217,0,0,0,0,-0.007121,-0.00666198,3.00753e-15,-0.367277,-5.69637e-14,0,-2.94873e-15,0,-0.0066773,1,1,29.997,29.9866,0,1.00005,1e-07,1.00002,
0.03875,-0.00759527,0,-0.379412,0,0,0,0,-0.00759527,-0.007121,-2.03857e-16,-0.379476,-5.70508e-14,0,2.93632e-15,0,-0.00713632,1,1,30.9963,30.9852,0,1.00005,1e-07,1.00002,
0.04,-0.00808477,0,-0.391602,0,0,0,0,-0.00808477,-0.00759527,2.59377e-15,-0.39167,-2.82224e-14,0,-2.7517e-16,0,-0.00761059,1,1,31.9956,31.9837,0,1.00005,1e-07,1.00002,
0.04125,-0.0085895,0,-0.403787,0,0,0,0,-0.0085895,-0.00808477,-4.16155e-15,-0.403859,-5.69055e-14,0,2.55849e-15,0,-0.00810009,1,1,32.9947,32.9821,0,1.00005,1e-07,1.00003,
0.0425,-0.00910946,0,-0.415968,0,0,0,0,-0.00910946,-0.0085895,4.09898e-15,-0.416044,-2.84118e-14,0,-4.23268e-15,0,-0.00860482,1,1,33.9938,33.9804,0,1.00005,1e-07,1.00003,
0.04375,-0.00964464,0,-0.428143,0,0,0,0,-0.00964464,-0.00910946,1.08035e-15,-0.428224,-2.85904e-14,0,4.06346e-15,0,-0.00912478,1,1,34.9928,34.9786,0,1.00005,1e-07,1.00003,
0.045,-0.010195,0,-0.440314,0,0,0,0,-0.010195,-0.00964464,3.3806e-15,-0.440399,2.28127e-17,0,1.04462e-15,0,-0.00965996,1,1,35.9917,35.9767,0,1.00005,1e-07,1.00003,
0.04625,-0.0107606,0,-0.452479,0,0,0,0,-0.0107606,-0.010195,1.39638e-15,-0.452569,1.68883e-16,0,3.38063e-15,0,-0.0102104,1,1,36.9906,36.9747,0,1.00006,1e-07,1.00003,
0.0475,-0.0113414,0,-0.464638,0,0,0,0,-0.0113414,-0.0107606,1.71431e-15,-0.464733,-2.81193e-14,0,1.39659e-15,0,-0.010776,1,1,37.9893,37.9726,0,1.00006,1e-07,1.00003,
0.04875,-0.0119374,0,-0.476793,0,0,0,0,-0.0119374,-0.0113414,1.26866e-15,-0.476892,-5.69795e-14,0,1.67916e-15,0,-0.0113567,1,1,38.988,38.9703,0,1.00006,1e-07,1.00004,
0.05,-0.0125486,0,-0.488941,0,0,0,0,-0.0125486,-0.0119374,3.07264e-17,-0.489046,-5.70542e-14,0,1.19743e-15,0,-0.0119527,1,1,39.9865,39.9679,0,1.00006,1e-07,1.00004,
