time,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,
0.00717041,-0.843689,0.720971,-0.296263,0.29479,0.5047,-0.504005,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000286343,-0.697982,-0.825282,0.711767,-0.30066,0.302194,0.49701,-0.500078,-0.00613592,0.00306796,0.00920388,-0.00613592,-0.633534,0.635068,0.958738,-0.964874,0.541495,-0.549165,0.0168738,-0.00920388,0.00153398,0.590583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44429,-0.0716603,9.56435,0.003827,0.0128473,-6.67925e-05,3.15815,2.67283,-19.5134,-0.0325021,0.338695,0.130788,2.02282,0.00844497,-14.4659,0.023522,-0.114401,0.14305,-0.0854492,0.0155311,0.376102,-0.0167099,-0.0943322,0.313619,-0.04845,0.0440542,0.360247,-0.0153511,0.0353198,0.31201,0.00301811,-0.0672714,0.37549,0.445813,0.0180206,0.012199,0.0238044,-0.0226589,0.36161,-0.0152899,-0.131571,0.285526,0.445813,0.0180206,0.012199,0.445813,0.0180206,0.012199,0.0439958,-0.0573883,0.0127254,-0.0651188,0.0385223,0.00917523,0.0603555,-0.0705612,0.268857,0.286259,0.0520204,0.257978,-0.0946698,0.0650177,0.25819,-0.0926337,0.0833794,0.231309,19.1966,4,19.8279,4,4.53637,-1,5.39489,4,-1,-1,6.08185,4,6.31987,4,7.25042,4,
0.0147571,-0.843689,0.720971,-0.296263,0.29479,0.5047,-0.504005,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000286343,-0.697982,-0.825282,0.710233,-0.30066,0.302194,0.498544,-0.498544,-0.00613592,0.00460194,0.00920388,-0.00613592,-0.633534,0.635068,0.958738,-0.964874,0.543029,-0.549165,0.0168738,-0.00920388,0,0.590583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44849,-0.0575593,9.59805,0.0019135,0.0118724,-3.33963e-05,3.13786,2.70474,-19.647,-0.0346476,0.339835,0.130743,2.03059,-0.0120265,-14.5998,0.022781,-0.116598,0.143118,-0.0854279,0.0155967,0.376106,-0.0167077,-0.0943037,0.313619,-0.0484584,0.0440899,0.36025,-0.0153183,0.0353509,0.311997,0.00303922,-0.0672467,0.375494,0.445813,0.0180206,0.012199,0.0237364,-0.0226392,0.361632,-0.0152523,-0.131506,0.285522,0.445813,0.0180206,0.012199,0.445813,0.0180206,0.012199,0.0440049,-0.0573973,0.0127314,-0.0651974,0.0385398,0.00929986,0.0603765,-0.0705586,0.268865,0.286422,0.0521076,0.257993,-0.0946449,0.0650526,0.258197,-0.0925981,0.08344,0.231286,19.1971,4,19.8278,4,4.53646,-1,5.39478,4,-1,-1,6.08193,4,6.31982,4,7.25027,4,
0.0218181,-0.843689,0.720971,-0.296263,0.29479,0.5047,-0.504005,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000286343,-0.697982,-0.826816,0.711767,-0.30066,0.302194,0.498544,-0.498544,-0.00613592,0.00460194,0.00920388,-0.0076699,-0.633534,0.635068,0.957204,-0.964874,0.543029,-0.549165,0.0168738,-0.00920388,0.00153398,0.590583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45059,-0.0759167,9.54265,-0.00115245,0.00997883,2.01136e-05,3.14643,2.67726,-19.5314,-0.0334533,0.340395,0.130492,2.04009,0.0152336,-14.5811,0.0219601,-0.118362,0.142929,-0.0854337,0.0156121,0.376115,-0.016707,-0.0943235,0.313639,-0.0484097,0.0441549,0.360233,-0.0152619,0.0354311,0.312009,0.00307351,-0.0671701,0.375474,0.445813,0.0180206,0.012199,0.0238083,-0.0224947,0.36168,-0.0152401,-0.131536,0.285516,0.445813,0.0180206,0.012199,0.445813,0.0180206,0.012199,0.0440104,-0.0574242,0.0127304,-0.0652611,0.0384848,0.0093045,0.0603786,-0.0705518,0.268877,0.286387,0.0520567,0.257969,-0.0946363,0.0650315,0.258191,-0.092563,0.0835018,0.231318,4,4.38222,4,6.65775,4,-1489.28,4,10.8422,-1,-117.002,4,5.9252,4,11.1476,4,34.3346,
0.0298206,-0.843689,0.720971,-0.296263,0.29479,0.5047,-0.504005,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000286343,-0.697982,-0.825282,0.711767,-0.30066,0.302194,0.49701,-0.498544,-0.00613592,0.00460194,0.00920388,-0.0076699,-0.633534,0.635068,0.957204,-0.964874,0.541495,-0.549165,0.0168738,-0.00920388,0.00153398,0.590583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45611,-0.0645434,9.5872,-0.00250967,0.0134262,4.38012e-05,3.16354,2.68142,-19.5684,-0.0339061,0.342334,0.131207,2.03874,0.0132663,-14.607,0.0231364,-0.119901,0.143156,-0.0854337,0.0156121,0.376115,-0.016707,-0.0943235,0.313639,-0.0484097,0.0441549,0.360233,-0.0152619,0.0354311,0.312009,0.00307351,-0.0671701,0.375474,0.445813,0.0180206,0.012199,0.0238083,-0.0224947,0.36168,-0.0152401,-0.131536,0.285516,0.445813,0.0180206,0.012199,0.445813,0.0180206,0.012199,0.0440104,-0.0574242,0.0127304,-0.0652611,0.0384848,0.0093045,0.0603786,-0.0705518,0.268877,0.286387,0.0520567,0.257969,-0.0946363,0.0650315,0.258191,-0.092563,0.0835018,0.231318,4,4.38222,4,6.65775,4,-1489.28,4,10.8422,-1,-117.002,4,5.9252,4,11.1476,4,34.3346,
0.0378037,-0.843689,0.720971,-0.296263,0.29479,0.5047,-0.504005,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000286343,-0.697982,-0.825282,0.710233,-0.30066,0.302194,0.49701,-0.498544,-0.00613592,0.00460194,0.00920388,-0.00613592,-0.633534,0.636602,0.957204,-0.964874,0.541495,-0.550699,0.0168738,-0.0076699,0,0.589049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44351,-0.0782806,9.56195,-0.00283669,0.0140953,4.95087e-05,3.15583,2.70299,-19.5105,-0.0359133,0.343257,0.130512,2.01846,-0.0200335,-14.5753,0.0245982,-0.122823,0.142705,-0.0854337,0.0156121,0.376115,-0.016707,-0.0943235,0.313639,-0.0484097,0.0441549,0.360233,-0.0152619,0.0354311,0.312009,0.00307351,-0.0671701,0.375474,0.445813,0.0180206,0.012199,0.0238083,-0.0224947,0.36168,-0.0152401,-0.131536,0.285516,0.445813,0.0180206,0.012199,0.445813,0.0180206,0.012199,0.0440104,-0.0574242,0.0127304,-0.0652611,0.0384848,0.0093045,0.0603786,-0.0705518,0.268877,0.286387,0.0520567,0.257969,-0.0946363,0.0650315,0.258191,-0.092563,0.0835018,0.231318,4,4.38222,4,6.65775,4,-1489.28,4,10.8422,-1,-117.002,4,5.9252,4,11.1476,4,34.3346,
0.0456628,-0.843689,0.720971,-0.296263,0.29479,0.5047,-0.504005,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000286343,-0.697982,-0.825282,0.710233,-0.30066,0.302194,0.49701,-0.498544,-0.00613592,0.00460194,0.00920388,-0.00613592,-0.633534,0.635068,0.957204,-0.964874,0.541495,-0.549165,0.0168738,-0.00920388,0,0.590583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46307,-0.0690608,9.57586,-0.00458214,0.0100357,7.9972e-05,3.17154,2.68292,-19.6074,-0.0356599,0.34586,0.130846,2.01377,0.0110296,-14.6882,0.0236697,-0.125141,0.143267,-0.0854337,0.0156121,0.376115,-0.016707,-0.0943235,0.313639,-0.0484097,0.0441549,0.360233,-0.0152619,0.0354311,0.312009,0.00307351,-0.0671701,0.375474,0.445813,0.0180206,0.012199,0.0238083,-0.0224947,0.36168,-0.0152401,-0.131536,0.285516,0.445813,0.0180206,0.012199,0.445813,0.0180206,0.012199,0.0440104,-0.0574242,0.0127304,-0.0652611,0.0384848,0.0093045,0.0603786,-0.0705518,0.268877,0.286387,0.0520567,0.257969,-0.0946363,0.0650315,0.258191,-0.092563,0.0835018,0.231318,4,4.38222,4,6.65775,4,-1489.28,4,10.8422,-1,-117.002,4,5.9252,4,11.1476,4,34.3346,
0.0527749,-0.843689,0.720971,-0.296263,0.29479,0.5047,-0.504005,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000286343,-0.697982,-0.825282,0.711767,-0.30066,0.302194,0.49701,-0.500078,-0.00613592,0.00460194,0.00920388,-0.00613592,-0.633534,0.635068,0.958738,-0.964874,0.541495,-0.549165,0.0168738,-0.00920388,0.00153398,0.590583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45038,-0.0558672,9.5989,-0.00510336,0.00818163,8.90689e-05,3.18488,2.69769,-19.4908,-0.0370118,0.346461,0.130469,1.99746,-0.0144775,-14.5772,0.0258528,-0.127216,0.142843,-0.0854419,0.0155505,0.376092,-0.0167054,-0.0942998,0.31362,-0.0484395,0.0440692,0.360205,-0.0152652,0.0353912,0.31199,0.00305571,-0.0672155,0.375482,0.445813,0.0180206,0.012199,0.0237573,-0.022609,0.361589,-0.0152461,-0.131573,0.285519,0.445813,0.0180206,0.012199,0.445813,0.0180206,0.012199,0.0440077,-0.057436,0.0127556,-0.06525,0.0384477,0.00926568,0.0603653,-0.0705416,0.268885,0.286396,0.052088,0.25799,-0.0946487,0.0650577,0.258214,-0.0925327,0.083492,0.231277,4,4.38229,4,6.65788,4,-1487.34,4,10.8424,-1,-116.983,4,5.92498,4,11.1479,4,34.3353,
0.0606462,-0.843689,0.720971,-0.296263,0.29479,0.5047,-0.504005,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000286343,-0.697982,-0.825282,0.711767,-0.30066,0.302194,0.498544,-0.500078,-0.00613592,0.00460194,0.0076699,-0.00613592,-0.633534,0.635068,0.957204,-0.964874,0.541495,-0.549165,0.0168738,-0.00920388,0.00153398,0.590583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46385,-0.0941511,9.57564,-0.00325477,0.00690311,5.68055e-05,3.16556,2.71799,-19.4928,-0.0383531,0.344485,0.13079,2.00942,-0.0286388,-14.5907,0.0271845,-0.126476,0.142835,-0.0854419,0.0154675,0.376058,-0.0167296,-0.0942809,0.313565,-0.0484476,0.0440207,0.360181,-0.0152541,0.0354568,0.312022,0.00303661,-0.0672693,0.37546,0.445813,0.0180206,0.012199,0.0238283,-0.02257,0.361585,-0.0152703,-0.131609,0.285507,0.445813,0.0180206,0.012199,0.445813,0.0180206,0.012199,0.0440073,-0.0574458,0.0127354,-0.0653112,0.0383251,0.00925872,0.0603819,-0.0705618,0.26888,0.286385,0.0520911,0.257984,-0.0946476,0.0650389,0.258198,-0.0925708,0.0835103,0.231324,4,4.38242,4,6.65766,4,-1485,4,10.8425,-1,-116.978,4,5.9246,4,11.1479,4,34.3348,
0.0676917,-0.843689,0.720971,-0.296263,0.29479,0.5047,-0.504005,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000286343,-0.697982,-0.825282,0.711767,-0.30066,0.302194,0.49701,-0.500078,-0.00613592,0.00460194,0.00920388,-0.00613592,-0.635068,0.636602,0.957204,-0.964874,0.541495,-0.549165,0.0168738,-0.00920388,0.00153398,0.590583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46534,-0.0624282,9.57559,0.000130305,0.00854879,-2.27422e-06,3.16975,2.69756,-19.4603,-0.0377125,0.344753,0.130853,2.02022,0.00264655,-14.6767,0.0263191,-0.126893,0.142633,-0.0855056,0.0153626,0.376051,-0.0167251,-0.0943241,0.313579,-0.0485081,0.0439336,0.360166,-0.0152701,0.0354597,0.312005,0.00302562,-0.067261,0.37543,0.445813,0.0180206,0.012199,0.023704,-0.02265,0.361559,-0.0152575,-0.131577,0.285486,0.445813,0.0180206,0.012199,0.445813,0.0180206,0.012199,0.0440312,-0.0573788,0.0127289,-0.0653746,0.0381744,0.00924359,0.0603927,-0.070504,0.268872,0.286416,0.0520959,0.257933,-0.0946024,0.0651246,0.258212,-0.0925969,0.0833921,0.231279,19.1943,4,19.8256,4,4.53615,-1,5.39445,4,-1,-1,6.08198,4,6.31964,4,7.24993,4,
0.0747471,-0.843689,0.720971,-0.296263,0.29479,0.5047,-0.504005,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000286343,-0.697982,-0.825282,0.711767,-0.30066,0.302194,0.49701,-0.498544,-0.00613592,0.00460194,0.00920388,-0.00613592,-0.633534,0.636602,0.957204,-0.964874,0.541495,-0.549165,0.0168738,-0.00920388,0,0.589049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4571,-0.0974316,9.56659,6.51527e-05,0.0107777,-1.13711e-06,3.16834,2.71515,-19.3962,-0.0394317,0.344615,0.130712,2.00156,-0.0378122,-14.6218,0.0282808,-0.12864,0.14261,-0.0854966,0.0153582,0.376048,-0.0167494,-0.0943112,0.313665,-0.0484975,0.043918,0.360133,-0.0152916,0.0354116,0.311983,0.0030225,-0.0672296,0.375467,0.445813,0.0180206,0.012199,0.0238103,-0.0224721,0.361589,-0.0152324,-0.131468,0.285498,0.445813,0.0180206,0.012199,0.445813,0.0180206,0.012199,0.0439244,-0.0576519,0.0125659,-0.0651593,0.0383478,0.00907599,0.0603693,-0.0705034,0.268856,0.286212,0.0520108,0.257946,-0.0946296,0.0650807,0.258206,-0.0926437,0.0833137,0.231273,4,4.38217,4,6.65786,4,-1484.28,4,10.842,-1,-116.941,4,5.92432,4,11.1467,4,34.3359,
