time,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,
0.014373,-0.843689,0.720971,-0.295619,0.29523,0.504179,-0.504056,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000112492,-0.697869,-0.825282,0.711767,-0.30066,0.302194,0.49701,-0.498544,-0.0076699,0.00306796,0.0107379,-0.00153398,-0.621262,0.633534,0.961806,-0.964874,0.544563,-0.539961,0.0122718,-0.0076699,0,0.309864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.35673,-0.0304658,9.70831,-0.000888747,-0.000850964,1.55113e-05,3.1245,2.70277,-20.1609,-0.0387333,0.289658,0.0967653,2.45948,-0.0662293,-16.1283,0.0484449,0.0237166,0.126178,-0.0181912,0.0673714,0.377065,-0.0757668,-0.0546494,0.317312,0.023586,0.0533825,0.361277,0.0398106,0.0233121,0.313706,-0.0302582,-0.0539515,0.376433,0.321757,-0.413212,0.0152686,0.0187525,-0.0425261,0.361797,0.0397832,-0.0155227,0.316308,-0.0772991,-0.0845771,0.0214462,-0.0688434,0.0658921,0.0103832,0.0051346,-0.0806723,0.0136127,0.0113173,0.0643656,0.00899005,0.00355203,-0.101027,0.269885,0.0197425,-0.11521,0.239529,0.0166648,0.104708,0.260472,0.0318982,0.11404,0.233763,18.6279,4,14.7071,4,4.75311,-1,5.05889,4,9.53659,4,4.78535,4,6.34685,4,7.28392,4,
0.0219194,-0.843689,0.720971,-0.295619,0.29523,0.504179,-0.504056,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000112492,-0.697869,-0.825282,0.711767,-0.30066,0.302194,0.49701,-0.498544,-0.00613592,0.00460194,0.0107379,-0.00153398,-0.619728,0.633534,0.960272,-0.964874,0.544563,-0.538427,0.0138058,-0.00920388,0,0.309864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3744,-0.0358339,9.4496,0.00447702,0.00221097,-7.81375e-05,3.25043,2.61414,-19.591,-0.029876,0.2913,0.0951862,2.37335,-0.0976535,-15.7372,0.0522665,0.0238314,0.125834,-0.0181584,0.0673888,0.37709,-0.0757848,-0.0546543,0.317363,0.0236241,0.0533958,0.361252,0.039794,0.0233135,0.313691,-0.0301868,-0.0539283,0.376435,0.321757,-0.413212,0.0152686,0.0187547,-0.0425544,0.361809,0.0397801,-0.0155283,0.316295,-0.0772727,-0.0845727,0.0214975,-0.0687908,0.065911,0.0103773,0.00520453,-0.0806577,0.0136423,0.0114179,0.0643566,0.00889178,0.00354111,-0.101008,0.269864,0.0196854,-0.11516,0.239485,0.0166801,0.104704,0.260469,0.0319113,0.114068,0.233766,18.6283,4,14.707,4,5.33494,-1,5.05899,4,9.53663,4,4.7854,4,6.3469,4,7.28389,4,
0.0288992,-0.843689,0.720971,-0.295619,0.29523,0.504179,-0.504056,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000112492,-0.697869,-0.825282,0.711767,-0.30066,0.302194,0.49701,-0.498544,-0.0076699,0.00306796,0.0107379,-0.00153398,-0.619728,0.633534,0.960272,-0.964874,0.544563,-0.539961,0.0122718,-0.0076699,0,0.309864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29902,-0.0369974,9.70646,0.00223851,0.00497237,-3.90687e-05,3.30974,2.64547,-19.7689,-0.0343582,0.292573,0.0958126,2.34934,-0.183353,-15.6978,0.0593948,0.0276074,0.130237,-0.0180539,0.067425,0.377103,-0.0757449,-0.0546383,0.317331,0.0236327,0.0534142,0.361274,0.0397583,0.0233413,0.31372,-0.0301864,-0.0539348,0.376455,0.321757,-0.413212,0.0152686,0.0187251,-0.0425588,0.361819,0.0397778,-0.015499,0.316309,-0.0772917,-0.0845681,0.0215374,-0.068784,0.0659275,0.0103638,0.0052195,-0.0806426,0.0136513,0.0114622,0.0643951,0.00892047,0.00350693,-0.101026,0.269858,0.0196853,-0.115161,0.239443,0.0167439,0.104725,0.260492,0.0320496,0.114121,0.233801,4,10.7588,4,16.8958,4,-1,4,6.74995,4,11.2912,4,6.08798,4,21.2868,4,38.0338,
0.0359055,-0.843689,0.720971,-0.295619,0.29523,0.504179,-0.504056,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000112492,-0.697869,-0.825282,0.711767,-0.30066,0.302194,0.49701,-0.500078,-0.0076699,0.00306796,0.0107379,-0.00153398,-0.619728,0.633534,0.961806,-0.964874,0.544563,-0.539961,0.0138058,-0.00920388,0,0.309864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29689,-0.0218831,9.67396,-0.00169303,-0.00401715,2.95485e-05,3.2124,2.71471,-19.7176,-0.0377006,0.280104,0.0962641,2.41002,-0.147908,-15.658,0.0574416,0.0378475,0.127486,-0.018068,0.0674619,0.37712,-0.0756762,-0.0546424,0.317341,0.0236512,0.0534325,0.361299,0.0397441,0.0233398,0.31373,-0.0302681,-0.0539266,0.376455,0.321757,-0.413212,0.0152686,0.0186948,-0.0425504,0.361845,0.0397748,-0.0155083,0.316314,-0.077159,-0.0846424,0.0216338,-0.0687134,0.065939,0.0103227,0.00522967,-0.08065,0.0136421,0.0115229,0.064427,0.00893988,0.00353479,-0.101037,0.269879,0.0197344,-0.115207,0.239514,0.0167199,0.104734,0.260501,0.0321193,0.114183,0.233841,18.629,4,14.7075,4,4.47374,-1,5.05919,4,10.8131,4,4.09021,4,6.34692,4,7.28369,4,
0.0430864,-0.843689,0.720971,-0.295619,0.29523,0.504179,-0.504056,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000112492,-0.697869,-0.825282,0.711767,-0.30066,0.302194,0.495476,-0.500078,-0.0076699,0.00306796,0.0107379,-0.00153398,-0.619728,0.633534,0.961806,-0.964874,0.544563,-0.539961,0.0138058,-0.0076699,0,0.309864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.28944,-0.0618555,9.65884,0.00266878,-0.0123787,-4.65782e-05,3.23515,2.62603,-19.5249,-0.0326795,0.272625,0.0955709,2.41663,-0.13341,-15.6242,0.057642,0.0449283,0.126969,-0.0179816,0.0674791,0.377123,-0.0756673,-0.0546417,0.317364,0.0237193,0.0534335,0.361268,0.0396498,0.0233281,0.313737,-0.030215,-0.053917,0.376466,0.321757,-0.413212,0.0152686,0.0186941,-0.0425558,0.36186,0.0397208,-0.0154964,0.31634,-0.0771264,-0.0846402,0.0216277,-0.068652,0.0659568,0.0103101,0.00524307,-0.0806521,0.0136583,0.0115818,0.0644341,0.00895037,0.00347072,-0.101015,0.269859,0.0197883,-0.115204,0.239571,0.0167021,0.104723,0.260492,0.0321321,0.11419,0.233833,18.63,4,14.7078,4,4.47387,-1,5.05929,4,10.8132,4,4.09026,4,6.34714,4,7.28377,4,
0.0502646,-0.843689,0.720971,-0.295619,0.29523,0.504179,-0.504056,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000112492,-0.697869,-0.825282,0.711767,-0.30066,0.302194,0.49701,-0.498544,-0.0076699,0.00306796,0.0107379,-0.00153398,-0.621262,0.633534,0.961806,-0.964874,0.544563,-0.539961,0.0138058,-0.0076699,0,0.309864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.25355,-0.041032,9.67036,0.00291624,-0.0135715,-5.08972e-05,3.22338,2.62919,-19.5046,-0.033598,0.265964,0.0958049,2.41578,-0.149226,-15.4957,0.0622532,0.0499736,0.126843,-0.0179726,0.0674889,0.377116,0.321757,-0.413212,0.0152686,0.0237289,0.0534377,0.361258,0.0396825,0.0233266,0.313765,-0.0302739,-0.0539195,0.376478,0.321757,-0.413212,0.0152686,0.0186729,-0.042552,0.361869,0.0397425,-0.0155229,0.316346,-0.0771405,-0.084649,0.0216619,-0.0668037,0.0658163,0.00791986,0.00521954,-0.0806495,0.0136598,0.0116534,0.0643802,0.00887091,0.00347792,-0.101036,0.269893,0.321757,-0.413212,0.0152686,0.0166724,0.104736,0.260498,0.0321504,0.114196,0.233837,18.6299,-1,14.7079,4,4.47381,-1,5.05927,4,10.8129,4,4.09025,4,6.34708,-1,7.28388,4,
0.0577954,-0.843689,0.720971,-0.295619,0.29523,0.504179,-0.504056,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000112492,-0.697869,-0.825282,0.711767,-0.299126,0.302194,0.495476,-0.498544,-0.0076699,0.00306796,0.0107379,-0.00153398,-0.619728,0.633534,0.961806,-0.964874,0.544563,-0.538427,0.0138058,-0.00920388,0,0.309864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.23295,-0.061669,9.60986,-0.00117833,-0.0106527,2.05654e-05,3.22912,2.67488,-19.4651,-0.0352856,0.268005,0.0930769,2.37525,-0.13765,-15.6227,0.0589755,0.0431577,0.124765,-0.0179564,0.0675132,0.377133,-0.0757546,-0.054618,0.317335,0.0236541,0.0535092,0.361583,0.0397085,0.0233284,0.313757,-0.0302531,-0.0539099,0.376481,0.321757,-0.413212,0.0152686,0.0187372,-0.0425386,0.36187,0.0397789,-0.0155224,0.316357,-0.0771675,-0.0846507,0.0216926,-0.0686941,0.0659284,0.0103174,0.00525524,-0.080661,0.0136739,0.0115904,0.0643954,0.00895245,0.00352216,-0.101037,0.269932,0.0197955,-0.115206,0.239587,0.0166837,0.104749,0.260508,0.03221,0.114195,0.233838,4,10.7589,4,16.8961,4,-1,4,6.7499,4,11.292,4,6.08825,4,21.2838,4,38.0349,
0.0648445,-0.843689,0.720971,-0.295619,0.29523,0.504179,-0.504056,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000112492,-0.697869,-0.825282,0.711767,-0.30066,0.302194,0.49701,-0.498544,-0.0076699,0.00460194,0.0107379,-0.00153398,-0.619728,0.633534,0.961806,-0.964874,0.544563,-0.538427,0.0138058,-0.00920388,0,0.309864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.23467,-0.0353471,9.56091,-0.00111642,-0.00989622,1.94849e-05,3.32004,2.60056,-19.6748,-0.0329806,0.280923,0.091484,2.3116,-0.1029,-15.8739,0.0556561,0.0301907,0.125951,-0.0180266,0.0674927,0.377109,-0.075794,-0.0546322,0.317359,0.0237113,0.0534481,0.361303,0.0396994,0.0233205,0.313756,-0.0302518,-0.053916,0.376466,0.321757,-0.413212,0.0152686,0.0187187,-0.0425418,0.361868,0.0397738,-0.0155136,0.316371,-0.0772206,-0.0846525,0.0216817,-0.0689732,0.0659296,0.0105879,0.0052185,-0.0806678,0.0136563,0.0115314,0.064402,0.00894854,0.00348224,-0.101035,0.269896,0.0197505,-0.115204,0.239587,0.0166911,0.104718,0.260478,0.0322866,0.114181,0.233811,18.629,4,14.7076,4,4.47379,-1,5.05913,4,10.813,4,4.09022,4,6.34706,4,7.28382,4,
0.0728445,-0.843689,0.720971,-0.295619,0.29523,0.504179,-0.504056,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000112492,-0.697869,-0.825282,0.711767,-0.30066,0.302194,0.495476,-0.498544,-0.0076699,0.00306796,0.0107379,-0.00153398,-0.619728,0.633534,0.961806,-0.964874,0.544563,-0.538427,0.0138058,-0.0076699,0,0.309864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.21679,-0.0505861,9.56116,-0.00108546,-0.0105726,1.89446e-05,3.30491,2.65282,-19.4665,-0.0367558,0.28503,0.0923878,2.30865,-0.165627,-15.4183,0.0623884,0.0273635,0.125492,-0.0180978,0.0674568,0.377096,-0.0757505,-0.0546723,0.317382,0.0236246,0.0534487,0.361386,0.0397502,0.0233186,0.313756,-0.0303265,-0.0539422,0.376454,0.321757,-0.413212,0.0152686,0.018626,-0.0425463,0.361843,0.0397768,-0.0155226,0.31636,-0.077258,-0.0846667,0.0216502,-0.0689675,0.0658818,0.0105053,0.00517464,-0.0806855,0.013632,0.011463,0.0643578,0.00894598,0.0034891,-0.101031,0.2699,0.0198465,-0.1152,0.239575,0.0167199,0.104725,0.260502,0.032297,0.11416,0.233824,18.6281,4,14.7071,4,4.47364,-1,5.05897,4,10.8127,4,4.09013,4,6.34703,4,7.28369,4,
0.0807424,-0.843689,0.720971,-0.295619,0.29523,0.504179,-0.504056,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000112492,-0.697869,-0.825282,0.711767,-0.30066,0.302194,0.49701,-0.498544,-0.0076699,0.00306796,0.0107379,-0.00153398,-0.619728,0.633534,0.961806,-0.964874,0.546097,-0.538427,0.0138058,-0.0076699,0,0.309864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.26136,-0.0234291,9.56801,-0.00106999,-0.00511055,1.86745e-05,3.22877,2.69334,-19.6312,-0.0397732,0.286488,0.0943176,2.3604,-0.16285,-15.6158,0.0626547,0.0243583,0.125939,-0.0181888,0.0674019,0.377077,-0.0758113,-0.0546491,0.317332,0.0235743,0.0534151,0.361341,0.0398078,0.0233054,0.313742,-0.0303096,-0.0539342,0.376415,0.321757,-0.413212,0.0152686,0.0186787,-0.0425329,0.361831,0.0397861,-0.015519,0.316349,-0.0773053,-0.0846692,0.0216274,-0.0689489,0.0658356,0.0103527,0.00513726,-0.0806898,0.013621,0.0113216,0.0643601,0.00900579,0.00353873,-0.101042,0.269914,0.0199141,-0.115258,0.239643,0.016726,0.104729,0.260475,0.0322192,0.114144,0.233823,18.6274,4,14.7067,4,4.47353,-1,5.05884,4,10.8127,4,4.09008,4,6.34686,4,7.28369,4,
