time,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,
0.00716602,-0.843689,0.720971,-0.290168,0.290781,0.4952,-0.494269,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000122718,-0.698074,-0.794602,0.699495,-0.291456,0.29299,0.493942,-0.495476,0,-0.0122718,0.00153398,0.00306796,-0.62433,0.63967,0.974078,-0.980214,0.555301,-0.546097,0.0076699,-0.00613592,0.00306796,-0.401903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36057,-0.00509569,9.62629,0.000246557,-7.10496e-05,-4.30315e-06,3.98962,2.6185,-19.5538,0.00199373,0.498457,0.146028,2.501,-0.0387088,-15.4647,0.0476967,-0.0341921,0.0731682,-0.0423164,0.0746869,0.37433,0.289678,-0.472415,0.0153043,0.00308495,0.0628124,0.358867,0.0186434,0.0325213,0.311171,-0.0489879,-0.0450224,0.376471,0.289678,-0.472415,0.0153043,-0.00311581,-0.03584,0.359408,0.0186921,-0.0065028,0.313538,0.289678,-0.472415,0.0153043,-0.0972549,0.0740552,0.0144799,-0.0176122,-0.0699981,0.0121157,-0.00758387,0.074526,0.00845849,-0.0161835,-0.0924598,0.266584,0.255604,-0.226446,0.256314,-0.00466225,0.11304,0.261407,0.00977522,0.122795,0.231041,4.53994,-1,18.8637,4,4.80781,-1,4.73712,4,-1,4,4.10168,4,6.31691,4,6.96642,4,
0.0149619,-0.843689,0.720971,-0.290168,0.290781,0.4952,-0.494269,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000122718,-0.698074,-0.794602,0.699495,-0.291456,0.291456,0.493942,-0.495476,0,-0.0122718,0,0.00306796,-0.62433,0.63967,0.975612,-0.980214,0.556835,-0.547631,0.00920388,-0.00613592,0.00306796,-0.401903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.35572,-0.0736703,9.61406,0.00152938,0.000315979,-2.66923e-05,3.9451,2.58445,-19.5939,0.00364019,0.494732,0.145893,2.55769,0.00710962,-15.47,0.0453361,-0.0285239,0.0729611,-0.0423289,0.0746913,0.374328,0.289678,-0.472415,0.0153043,0.00306212,0.0628196,0.358847,0.0186685,0.0325231,0.311177,-0.0489891,-0.0450265,0.376471,0.289678,-0.472415,0.0153043,-0.00299183,-0.0358261,0.359411,0.0186603,-0.00650926,0.313521,0.289678,-0.472415,0.0153043,-0.0972512,0.0740597,0.0144498,-0.0176028,-0.0699824,0.0121085,-0.0076653,0.0745733,0.00856054,-0.0161335,-0.0924526,0.266577,0.255564,-0.226469,0.256318,-0.00468682,0.11307,0.261352,0.00978519,0.122797,0.231039,12.406,-1,18.8635,4,4.8078,-1,4.73731,4,-1,4,4.10167,4,6.31677,4,6.96655,4,
0.0220706,-0.843689,0.720971,-0.290168,0.290781,0.4952,-0.494269,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000122718,-0.698074,-0.794602,0.699495,-0.291456,0.291456,0.493942,-0.493942,0,-0.0122718,0,0.00306796,-0.62433,0.63967,0.975612,-0.980214,0.555301,-0.547631,0.00920388,-0.00613592,0.00306796,-0.401903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.37237,-0.00652227,9.58994,0.00217079,0.00209143,-3.78868e-05,3.93706,2.60314,-19.6448,0.00403967,0.492992,0.1463,2.51011,-0.0422618,-15.5182,0.0461012,-0.0282329,0.0731766,-0.0422788,0.0746943,0.374335,0.289678,-0.472415,0.0153043,0.00312804,0.0628322,0.358856,0.018661,0.0325169,0.311164,-0.0491532,-0.0449621,0.376582,0.289678,-0.472415,0.0153043,-0.0030371,-0.0358297,0.359372,0.0186103,-0.00653533,0.313495,0.289678,-0.472415,0.0153043,-0.0972118,0.0740802,0.0144655,-0.0176001,-0.0699773,0.0121029,-0.00755503,0.0745484,0.00845556,-0.0161993,-0.0924822,0.26654,0.255689,-0.226506,0.256345,-0.00468866,0.113078,0.261341,0.00971641,0.122805,0.231036,4,-1,4,6.64124,4,-1,4,19.1612,-1,5.97559,4,6.2851,4,11.4158,4,20.6389,
0.0300481,-0.843689,0.720971,-0.290168,0.290781,0.4952,-0.494269,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000122718,-0.698074,-0.794602,0.699495,-0.291456,0.29299,0.493942,-0.495476,0,-0.0122718,0.00153398,0.00306796,-0.62433,0.63967,0.974078,-0.980214,0.555301,-0.546097,0.00920388,-0.00613592,0.00306796,-0.401903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3242,-0.0650151,9.5981,0.00231574,0.000869965,-4.04167e-05,3.98093,2.59589,-19.589,0.00376739,0.495717,0.14592,2.52168,-0.0101446,-15.3718,0.045338,-0.0276533,0.0734692,-0.0422998,0.0746762,0.374326,0.289678,-0.472415,0.0153043,0.00308882,0.0628294,0.358856,0.0185579,0.0325207,0.311177,-0.0491882,-0.0449401,0.376627,0.289678,-0.472415,0.0153043,-0.00309821,-0.0358524,0.3594,0.0185758,-0.00654746,0.313499,0.289678,-0.472415,0.0153043,-0.0972533,0.0741043,0.0145081,-0.0175732,-0.069974,0.0121102,-0.00753646,0.0745531,0.00845813,-0.0161938,-0.0924739,0.266538,0.255643,-0.226501,0.256326,-0.00464086,0.11307,0.261346,0.00977139,0.122804,0.231051,4,-1,4,6.64155,4,-1,4,19.1615,-1,5.9756,4,6.28516,4,11.4154,4,20.6381,
0.0379683,-0.843689,0.720971,-0.290168,0.290781,0.4952,-0.494269,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000122718,-0.698074,-0.794602,0.699495,-0.291456,0.291456,0.493942,-0.495476,0,-0.0122718,0,0.00306796,-0.62433,0.63967,0.974078,-0.981748,0.556835,-0.547631,0.0076699,-0.00613592,0.00306796,-0.401903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.35661,-0.0130347,9.59996,0.00203672,-0.00413491,-3.55468e-05,3.97606,2.59038,-19.7712,0.00432049,0.495076,0.14579,2.51046,-0.0217648,-15.5227,0.0450603,-0.0265856,0.0743169,-0.0423288,0.0746715,0.374342,0.289678,-0.472415,0.0153043,0.0031029,0.0628141,0.358872,0.0185774,0.0325107,0.31119,-0.0491224,-0.0449608,0.376621,0.289678,-0.472415,0.0153043,-0.00313092,-0.0358538,0.359427,0.0185771,-0.00657054,0.313494,0.289678,-0.472415,0.0153043,-0.0972362,0.0741082,0.0145311,-0.0175566,-0.0699763,0.0121344,-0.00749855,0.0745592,0.00847717,-0.016147,-0.092463,0.266567,0.255632,-0.226486,0.256334,-0.00461746,0.113056,0.261395,0.00974066,0.122808,0.23105,12.4066,-1,18.8641,4,4.82233,-1,4.73721,4,-1,4,4.10177,4,6.31683,4,6.96631,4,
0.0449846,-0.843689,0.720971,-0.290168,0.290781,0.4952,-0.494269,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000122718,-0.698074,-0.794602,0.699495,-0.291456,0.291456,0.493942,-0.495476,0,-0.0122718,0.00153398,0.00306796,-0.62433,0.641204,0.974078,-0.981748,0.555301,-0.547631,0.00920388,-0.00613592,0.00306796,-0.401903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.32941,-0.0432067,9.59786,0.00101836,-0.00558275,-1.77734e-05,3.96164,2.59927,-19.6207,0.00500621,0.491882,0.145898,2.54238,-0.0277354,-15.4131,0.0452654,-0.02307,0.073583,-0.0423386,0.074662,0.374359,0.289678,-0.472415,0.0153043,0.00312416,0.0628078,0.358892,0.0185718,0.0325074,0.311188,-0.0491083,-0.0449643,0.376652,0.289678,-0.472415,0.0153043,-0.00310097,-0.0358538,0.359432,0.0186067,-0.00654603,0.313527,0.289678,-0.472415,0.0153043,-0.0971911,0.0740925,0.0145553,-0.0178208,-0.0699176,0.0120669,-0.0074621,0.0745454,0.00849304,-0.0162047,-0.0924769,0.266563,0.255503,-0.226424,0.256333,-0.00470664,0.113028,0.261411,0.00974496,0.122794,0.231059,4,-1,4,6.64151,4,-1,4,19.1608,-1,5.97578,4,6.28539,4,11.4148,4,20.6381,
0.0529258,-0.843689,0.720971,-0.290168,0.290781,0.4952,-0.494269,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000122718,-0.698074,-0.794602,0.699495,-0.291456,0.291456,0.495476,-0.495476,0,-0.0122718,0,0.00153398,-0.62433,0.63967,0.975612,-0.980214,0.556835,-0.546097,0.00920388,-0.00613592,0.00306796,-0.401903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.32292,-0.0822292,9.5972,-0.00072117,-0.00490057,1.25866e-05,3.95467,2.57726,-19.6359,0.00613011,0.489124,0.146598,2.54602,0.00266365,-15.3732,0.0444008,-0.0196653,0.0736813,-0.0422943,0.0746459,0.37438,0.289678,-0.472415,0.0153043,0.0031594,0.0628021,0.358919,0.0186167,0.0325043,0.311187,-0.0490401,-0.0449832,0.376674,0.289678,-0.472415,0.0153043,-0.00290304,-0.0358566,0.359461,0.0186433,-0.00654458,0.31353,0.289678,-0.472415,0.0153043,-0.0971513,0.0740725,0.0145414,-0.0175639,-0.0699982,0.0121669,-0.00750864,0.0745926,0.00860119,-0.0162026,-0.0924897,0.266595,0.255617,-0.226459,0.25633,-0.00466357,0.113036,0.261406,0.00973858,0.12277,0.231039,4,-1,4,6.64137,4,-1,4,19.1602,-1,5.97576,4,6.2856,4,11.4153,4,20.6381,
0.0599546,-0.843689,0.720971,-0.290168,0.290781,0.4952,-0.494269,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000122718,-0.698074,-0.794602,0.699495,-0.291456,0.291456,0.493942,-0.495476,0,-0.0122718,0.00153398,0.00306796,-0.62433,0.63967,0.974078,-0.980214,0.555301,-0.547631,0.0076699,-0.00613592,0.00306796,-0.401903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.35146,-0.0186497,9.60471,-0.00299704,0.000186165,5.23073e-05,3.94407,2.59111,-19.6451,0.00647546,0.489347,0.146156,2.53555,-0.0409644,-15.4363,0.0456992,-0.0204267,0.0735282,-0.0423291,0.0746487,0.374366,0.289678,-0.472415,0.0153043,0.00312017,0.0627981,0.358911,0.0186773,0.0325027,0.311196,-0.0490402,-0.044985,0.376658,0.289678,-0.472415,0.0153043,-0.00289453,-0.0358445,0.359458,0.0186077,-0.00655223,0.313518,0.289678,-0.472415,0.0153043,-0.0971055,0.0740564,0.0145721,-0.0175312,-0.0699954,0.0121664,-0.00743938,0.0745537,0.00856286,-0.0161431,-0.0924742,0.266592,0.255443,-0.226396,0.256312,-0.00464543,0.113048,0.261378,0.00977287,0.122774,0.231054,12.4071,-1,18.8646,4,4.82252,-1,4.73769,4,-1,4,4.10185,4,6.31679,4,6.9664,4,
0.067947,-0.843689,0.720971,-0.290168,0.290781,0.4952,-0.494269,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000122718,-0.698074,-0.794602,0.699495,-0.291456,0.291456,0.493942,-0.495476,0,-0.0122718,0,0.00306796,-0.62433,0.63967,0.975612,-0.980214,0.555301,-0.546097,0.00920388,-0.00613592,0.00306796,-0.401903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.30403,-0.0591106,9.56585,-0.000619672,-0.00148877,1.08151e-05,3.98296,2.60713,-19.6534,0.00403593,0.494063,0.146499,2.52022,-0.00789113,-15.4384,0.0443854,-0.0239388,0.0748199,-0.0423358,0.0746494,0.374364,0.289678,-0.472415,0.0153043,0.00315693,0.0627989,0.358895,0.0185787,0.0325184,0.311172,-0.0490479,-0.0449729,0.376664,0.289678,-0.472415,0.0153043,-0.00291982,-0.0358499,0.359464,0.0185582,-0.00656203,0.313479,0.289678,-0.472415,0.0153043,-0.0971908,0.0741024,0.0145924,-0.0175555,-0.0699761,0.0121282,-0.00740368,0.0745323,0.0085061,-0.0161858,-0.092463,0.266564,0.255468,-0.2264,0.256312,-0.00465506,0.113065,0.261353,0.00977461,0.12278,0.231064,12.4069,-1,18.8653,4,4.82247,-1,4.73768,4,-1,4,4.10177,4,6.31694,4,6.96646,4,
0.0749839,-0.843689,0.720971,-0.290168,0.290781,0.4952,-0.494269,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000122718,-0.698074,-0.794602,0.699495,-0.291456,0.291456,0.493942,-0.495476,0,-0.0122718,0,0.00306796,-0.62433,0.63967,0.975612,-0.981748,0.556835,-0.547631,0.00920388,-0.00613592,0.00306796,-0.401903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.32818,-0.003755,9.58904,0.000393258,-0.00179898,-6.86354e-06,3.98719,2.60523,-19.695,0.00382182,0.495353,0.147282,2.5117,-0.0258301,-15.4254,0.0473756,-0.0252141,0.075457,-0.0423674,0.0746526,0.37435,0.289678,-0.472415,0.0153043,0.00307158,0.062789,0.358883,0.0185877,0.0325315,0.311178,-0.0490984,-0.0449627,0.376654,0.289678,-0.472415,0.0153043,-0.00300523,-0.0358564,0.359418,0.0186421,-0.00651423,0.313515,0.289678,-0.472415,0.0153043,-0.0971521,0.0740803,0.0145312,-0.0175192,-0.0699764,0.012124,-0.00743239,0.0745309,0.00850805,-0.0161252,-0.0924445,0.26656,0.255486,-0.226376,0.256308,-0.00465111,0.113064,0.26134,0.00974075,0.122783,0.231047,4,-1,4,6.64146,4,-1,4,6.72672,-1,5.97574,4,6.28544,4,11.4145,4,20.638,
