time,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,
0.00713037,-0.843689,0.720971,-0.300149,0.298881,0.477129,-0.480167,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000347702,-0.698503,-0.806874,0.704097,-0.302194,0.303728,0.495476,-0.49701,-0.00613592,-0.00306796,-0.00153398,0,-0.621262,0.62433,0.97101,-0.974078,0.536893,-0.538427,0.00460194,-0.00460194,0.00460194,-0.406505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11469,0.000260019,9.62854,0.00109859,0.00101749,-1.91738e-05,3.50099,2.29866,-14.8689,0.0280984,0.229891,0.117,2.69139,-0.482669,-12.679,0.113846,-0.00527545,0.103695,-0.0203782,0.0614674,0.374439,-0.301199,-0.203058,0.0139116,0.0220649,0.0504523,0.360147,0.0412958,0.0206524,0.314089,-0.0280336,-0.0536284,0.378271,-0.0668799,0.0594835,0.315643,0.019289,-0.04644,0.363089,0.0415774,-0.0205061,0.316067,-0.0841347,-0.0725018,0.0186965,-0.0742923,0.067215,0.0152067,0.000643383,-0.0756636,0.0139272,0.013522,0.0638081,0.00922351,0.000573134,-0.102284,0.268566,0.016196,-0.115272,0.240577,0.0212163,0.102321,0.261926,0.0412971,0.105036,0.230935,3.59143,-1,6.63189,4,6.09151,4,5.20218,4,3.47456,4,14.3135,4,12.0459,4,7.1391,4,
0.014312,-0.843689,0.720971,-0.300149,0.298881,0.477129,-0.480167,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000347702,-0.698503,-0.806874,0.704097,-0.302194,0.302194,0.495476,-0.495476,-0.00613592,-0.00306796,-0.00153398,0,-0.622796,0.625864,0.97101,-0.974078,0.536893,-0.539961,0.00460194,-0.00460194,0.00306796,-0.406505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.12536,-0.0395514,9.62715,0.0009008,0.00173909,-1.57217e-05,3.45883,2.29552,-14.9738,0.0280349,0.229048,0.117279,2.69236,-0.491074,-12.7925,0.113755,-0.00518957,0.103882,-0.0206908,0.0612779,0.37439,-0.301199,-0.203058,0.0139116,0.0220124,0.0505027,0.360132,0.0418448,0.0204092,0.314177,-0.0281701,-0.0532879,0.37812,-0.0668795,0.0595004,0.315622,0.0192461,-0.0464027,0.363119,0.0417639,-0.0204521,0.315915,-0.0841486,-0.0724739,0.0187025,-0.0742789,0.0672114,0.0152129,0.000632177,-0.0756611,0.0139075,0.0135137,0.0638195,0.00924291,0.000541579,-0.102263,0.268554,0.0162355,-0.115301,0.240598,0.0212873,0.102315,0.261944,0.0412813,0.105027,0.230949,3.59133,-1,6.6318,4,6.09279,4,4.73979,4,3.47456,4,14.3136,4,12.0463,4,7.13943,4,
0.0215334,-0.843689,0.720971,-0.300149,0.298881,0.477129,-0.480167,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000347702,-0.698503,-0.806874,0.704097,-0.303728,0.302194,0.495476,-0.495476,-0.0076699,-0.00153398,-0.00153398,0,-0.622796,0.625864,0.97101,-0.974078,0.536893,-0.538427,0.00460194,-0.00460194,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11461,0.0116653,9.62156,-0.000604197,0.00122105,1.05451e-05,3.46624,2.30741,-14.927,0.0277317,0.229602,0.116978,2.68989,-0.509065,-12.7975,0.11374,-0.00565817,0.104082,-0.020881,0.0612482,0.374262,-0.301199,-0.203058,0.0139116,0.022031,0.050482,0.360142,0.0427073,0.02002,0.314295,-0.0280855,-0.053518,0.378233,-0.0668727,0.0595339,0.315616,0.0192653,-0.0463885,0.363132,0.0416589,-0.0204717,0.315996,-0.0841376,-0.0724689,0.0187219,-0.0742902,0.0672271,0.0152187,0.000677713,-0.0756844,0.0139598,0.0135128,0.0638254,0.00924255,0.00053734,-0.102261,0.268555,0.0162273,-0.115276,0.240581,0.021374,0.102226,0.261976,0.0412639,0.10506,0.230971,4,-1,4,29.5228,4,4.94349,4,3.3317,4,3.67615,4,4.42306,4,5.31303,4,18.4288,
0.0292185,-0.843689,0.720971,-0.300149,0.298881,0.477129,-0.480167,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000347702,-0.698503,-0.806874,0.704097,-0.303728,0.302194,0.495476,-0.495476,-0.00613592,-0.00153398,-0.00306796,0,-0.622796,0.625864,0.97101,-0.974078,0.536893,-0.538427,0.00460194,-0.00460194,0.00306796,-0.406505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11521,-0.0581776,9.59968,0.000400995,0.00113778,-6.99857e-06,3.49406,2.28038,-15.0098,0.0277045,0.230707,0.118073,2.7027,-0.469885,-12.7969,0.113776,-0.00469584,0.104914,-0.0208,0.0612578,0.374324,-0.301199,-0.203058,0.0139116,0.0220439,0.050454,0.360126,0.0425794,0.0200654,0.314257,-0.0282183,-0.053235,0.378057,-0.0668954,0.0595241,0.315615,0.0192112,-0.0463482,0.363113,0.0417846,-0.0204539,0.315903,-0.0841335,-0.0724636,0.0187063,-0.0742837,0.0672357,0.0152063,0.000827047,-0.0755874,0.0141221,0.0135209,0.0638428,0.00920922,0.000543854,-0.10227,0.268538,0.0162256,-0.115262,0.240575,0.0212682,0.102412,0.261815,0.0412424,0.1051,0.230922,4,-1,4,29.5225,4,4.94348,4,3.33173,4,3.67616,4,4.42301,4,5.31307,4,18.4284,
0.0362114,-0.843689,0.720971,-0.300149,0.298881,0.477129,-0.480167,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000347702,-0.698503,-0.806874,0.704097,-0.303728,0.302194,0.495476,-0.495476,-0.00613592,-0.00153398,-0.00153398,0,-0.622796,0.625864,0.97101,-0.974078,0.536893,-0.539961,0.00460194,-0.00460194,0.00460194,-0.406505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11929,0.0113284,9.65648,0.000200498,0.000217387,-3.49929e-06,3.4631,2.32321,-14.8171,0.0269897,0.228044,0.117193,2.68241,-0.530961,-12.6623,0.116167,-0.00405204,0.103669,-0.0208665,0.0611244,0.37437,-0.301199,-0.203058,0.0139116,0.0220118,0.050482,0.360126,0.0413195,0.020613,0.314092,-0.0282066,-0.0532474,0.378066,-0.0668739,0.0595451,0.31562,0.019232,-0.0463817,0.363129,0.0418982,-0.0204753,0.315889,-0.0841293,-0.0724872,0.0186726,-0.0742967,0.0672457,0.0151862,0.000669297,-0.0756922,0.0139286,0.0135126,0.0638392,0.00921166,0.000552051,-0.102272,0.268536,0.016232,-0.115289,0.24057,0.0214218,0.102108,0.262047,0.0412273,0.105126,0.230925,3.59128,-1,6.63169,4,6.09294,4,5.20225,4,3.47454,4,14.3132,4,12.0844,4,7.14003,4,
0.0431992,-0.843689,0.720971,-0.300149,0.298881,0.477129,-0.480167,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000347702,-0.698503,-0.806874,0.704097,-0.302194,0.302194,0.492408,-0.493942,-0.00613592,-0.00153398,-0.00153398,0,-0.622796,0.625864,0.97101,-0.974078,0.536893,-0.539961,0.00460194,-0.00460194,0.00306796,-0.406505,0,0,0,0,-0.0921534,0.0921534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11197,-0.0130238,9.64299,0.00256095,0.00292098,-4.46962e-05,3.48108,2.24298,-14.9839,0.0297929,0.230141,0.11646,2.63844,-0.469595,-12.7796,0.113456,-0.00860226,0.103989,-0.0206809,0.0612831,0.374397,-0.301199,-0.203058,0.0139116,0.0220296,0.0504902,0.360137,0.0422405,0.0202101,0.314213,-0.0282035,-0.0532562,0.378072,-0.0668755,0.0595221,0.315618,0.0192591,-0.0463955,0.363156,0.0418744,-0.0204841,0.315905,-0.084116,-0.072504,0.0187134,-0.0742911,0.0672229,0.0151787,0.000754501,-0.0757202,0.0140117,0.0135279,0.0638287,0.00921533,0.000520018,-0.102338,0.268429,0.0161379,-0.115317,0.240488,0.021442,0.102198,0.261897,0.0412619,0.10518,0.230761,3.59133,-1,6.63183,4,6.09288,4,5.20224,4,3.47456,4,14.3121,4,12.0847,4,7.14002,4,
0.050271,-0.843689,0.720971,-0.300149,0.298881,0.477129,-0.480167,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000347702,-0.698503,-0.806874,0.704097,-0.303728,0.302194,0.490874,-0.492408,-0.00613592,-0.00153398,-0.00153398,0,-0.622796,0.625864,0.97101,-0.974078,0.536893,-0.538427,0.00460194,-0.00460194,0.00306796,-0.404971,0,0,0,0,-0.13823,0.0921534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1083,-0.0506569,9.61716,0.00233507,0.00146049,-4.0754e-05,3.52059,2.36166,-14.9673,0.0220466,0.231194,0.118679,2.745,-0.509833,-12.8772,0.116471,-0.00243486,0.105564,-0.0206802,0.0612875,0.374388,-0.301199,-0.203058,0.0139116,0.0220239,0.0504997,0.360141,0.0409212,0.0208102,0.314047,-0.0282173,-0.0532179,0.378045,-0.0668911,0.0594995,0.315624,0.0192528,-0.0464049,0.363172,0.0417775,-0.0204638,0.315939,-0.0841149,-0.0725143,0.0186807,-0.0742878,0.0672179,0.0151788,0.000674763,-0.0756928,0.0139352,0.0135219,0.0638482,0.00921691,0.000486447,-0.10235,0.268361,0.0160194,-0.115363,0.240373,0.0212962,0.102319,0.261789,0.0411879,0.105174,0.230654,4,-1,4,29.5139,4,4.94353,4,3.3317,4,3.67616,4,4.42309,4,5.31346,4,18.4293,
0.0574297,-0.843689,0.720971,-0.300149,0.298881,0.477129,-0.480167,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000347702,-0.698503,-0.806874,0.704097,-0.302194,0.302194,0.490874,-0.492408,-0.0076699,-0.00153398,-0.00153398,0,-0.622796,0.625864,0.97101,-0.974078,0.536893,-0.538427,0.00460194,-0.00460194,0.00306796,-0.404971,0,0,0,0,-0.184307,0.0921534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.10573,-0.0492649,9.57428,0.00222213,-0.0015547,-3.87829e-05,3.36012,2.28583,-14.8538,0.027427,0.217628,0.117868,2.69301,-0.530908,-12.7859,0.116965,-0.00244586,0.103558,-0.0204936,0.0613017,0.374502,-0.301199,-0.203058,0.0139116,0.0220524,0.0504878,0.360134,0.0415529,0.0205312,0.314125,-0.0281899,-0.0532865,0.378104,-0.0668846,0.0594999,0.315633,0.0193568,-0.0464399,0.363157,0.041843,-0.0204826,0.315946,-0.0841338,-0.0725075,0.0186938,-0.0742849,0.0672164,0.0151954,0.00067759,-0.0756718,0.0139431,0.0135347,0.0638135,0.0092163,0.000416455,-0.102396,0.26824,0.0159408,-0.11546,0.240269,0.0212641,0.102362,0.261715,0.0411741,0.105144,0.230595,4,-1,4,29.5171,4,4.94352,4,3.33172,4,3.67616,4,4.42311,4,5.31354,4,18.4303,
0.064718,-0.843689,0.720971,-0.300149,0.298881,0.477129,-0.480167,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000347702,-0.698503,-0.806874,0.704097,-0.302194,0.302194,0.48934,-0.490874,-0.0076699,-0.00306796,-0.00153398,0,-0.622796,0.625864,0.97101,-0.974078,0.536893,-0.538427,0.00460194,-0.00460194,0.00306796,-0.406505,0,0,0,0,-0.230383,0.13823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11455,-0.0762821,9.59703,0.00111107,0.000452999,-1.93914e-05,3.52471,2.28738,-14.8874,0.0255099,0.229311,0.117638,2.7281,-0.47994,-12.8392,0.116112,-0.0017631,0.104508,-0.0204112,0.0613289,0.374548,-0.301199,-0.203058,0.0139116,0.0220623,0.0504945,0.360154,0.0427111,0.0200194,0.31427,-0.0281958,-0.0532441,0.378065,-0.0668824,0.0595112,0.315642,0.0193421,-0.0464117,0.363142,0.0416646,-0.020466,0.316007,-0.0841301,-0.0725078,0.0186936,-0.0742529,0.0671959,0.0152075,0.000594,-0.0757539,0.0138218,0.0135402,0.063812,0.00920629,0.000380071,-0.102394,0.268176,0.0158075,-0.115495,0.240153,0.021195,0.102483,0.261592,0.0411437,0.105181,0.230519,3.59147,-1,6.63205,4,6.09282,4,5.20214,4,3.47461,4,14.3142,4,12.0863,4,7.1384,4,
0.072177,-0.843689,0.720971,-0.300149,0.298881,0.477129,-0.480167,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000347702,-0.698503,-0.806874,0.704097,-0.302194,0.302194,0.487806,-0.48934,-0.00613592,-0.00306796,-0.00153398,0,-0.622796,0.625864,0.97101,-0.974078,0.536893,-0.539961,0.00460194,-0.00460194,0.00306796,-0.406505,0,0,0,0,-0.230383,0.13823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11259,-0.00782814,9.62749,0.000379782,-0.00170694,-6.62833e-06,3.44786,2.31182,-14.8213,0.0250169,0.223499,0.116178,2.6572,-0.511697,-12.7802,0.116568,-0.00628874,0.102807,-0.0207928,0.0611303,0.374427,-0.301199,-0.203058,0.0139116,0.0220769,0.050499,0.36016,0.0413421,0.020626,0.314117,-0.0282046,-0.0532321,0.378064,-0.0668522,0.0595109,0.315629,0.0192911,-0.0463874,0.363194,0.0417227,-0.0204674,0.315963,-0.0841224,-0.0725118,0.0186948,-0.0742642,0.0672265,0.0152003,0.000628389,-0.0756972,0.0138686,0.0135501,0.0638293,0.00921032,0.000330605,-0.102417,0.268105,0.01576,-0.115506,0.240103,0.0213873,0.102209,0.261764,0.0411412,0.105178,0.230581,4,-1,4,29.5155,4,4.94356,4,3.33177,4,3.67616,4,4.42309,4,5.31395,4,18.4305,
