time,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,
0.00717798,-0.843689,0.720971,-0.296478,0.294974,0.504843,-0.504414,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000102265,-0.697491,-0.800738,0.705631,-0.302194,0.302194,0.49701,-0.49701,0,-0.00613592,0.0107379,-0.0122718,-0.622796,0.638136,0.992486,-0.998621,0.553767,-0.544563,0.0184078,-0.0199418,0.00306796,-0.401903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0757,-0.00142068,9.63306,-0.00281875,-0.00181616,4.91956e-05,3.56443,2.78546,-16.2853,-0.0372093,0.301727,0.146852,2.87332,0.235981,-12.03,0.0132405,0.0380901,0.102406,-0.463863,-0.328629,0.0207405,-0.0709332,-0.0556067,0.31956,-0.463863,-0.328629,0.0207405,0.0418547,0.0238587,0.313305,-0.0252134,-0.0529407,0.377349,-0.463863,-0.328629,0.0207405,0.0216876,-0.0444754,0.362144,0.0418523,-0.0172794,0.314247,-0.0825806,-0.0752579,0.0208025,-0.0757436,0.0677993,0.0154583,7.74239e-05,-0.0738269,0.0123024,0.0135895,0.0683926,0.0106265,0.00521586,-0.100012,0.266128,0.0181874,-0.111549,0.238136,0.0194527,0.103695,0.26213,0.0362359,0.110042,0.234076,-1,4,-1,4,5.87684,-1,8.81437,4,3.97757,4,23.3731,4,12.0962,4,5.48539,4,
0.0149009,-0.843689,0.720971,-0.296478,0.294974,0.504843,-0.504414,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000102265,-0.697491,-0.800738,0.705631,-0.302194,0.303728,0.49701,-0.49701,0,-0.00613592,0.0107379,-0.0122718,-0.622796,0.638136,0.992486,-0.997088,0.553767,-0.544563,0.0184078,-0.0199418,0.00306796,-0.401903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.05985,-0.0149348,9.64364,-0.00123362,-0.00161117,2.15304e-05,3.57552,2.788,-16.2765,-0.0388054,0.30171,0.147097,2.89099,0.255934,-12.0189,0.0120915,0.0392083,0.102718,-0.463863,-0.328629,0.0207405,-0.0714702,-0.0555172,0.319442,-0.463863,-0.328629,0.0207405,0.0418407,0.023878,0.313301,-0.0251598,-0.0528161,0.377469,-0.463863,-0.328629,0.0207405,0.021698,-0.044466,0.362128,0.0418784,-0.017297,0.314258,-0.0825727,-0.0752839,0.0208407,-0.0757487,0.0677304,0.0154123,7.34995e-05,-0.0738183,0.0123126,0.0135846,0.0683831,0.0105477,0.00523747,-0.100021,0.266142,0.0182117,-0.111553,0.23816,0.0194621,0.103748,0.262084,0.0362011,0.11005,0.234042,-1,4.48279,-1,41.7978,4,-1,4,4.11383,4,10.5085,4,6.28693,4,15.837,4,13.5884,
0.0218904,-0.843689,0.720971,-0.296478,0.294974,0.504843,-0.504414,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000102265,-0.697491,-0.800738,0.705631,-0.302194,0.303728,0.49701,-0.49701,0,-0.00613592,0.0122718,-0.0122718,-0.622796,0.638136,0.992486,-0.998621,0.553767,-0.544563,0.0184078,-0.0199418,0.00306796,-0.401903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.07587,-0.00221907,9.62048,0.00078929,-0.000629834,-1.37755e-05,3.56651,2.79735,-16.3411,-0.0388777,0.30006,0.147772,2.8876,0.24547,-12.1393,0.0124729,0.040298,0.103297,-0.463863,-0.328629,0.0207405,-0.0715473,-0.0555681,0.319406,-0.463863,-0.328629,0.0207405,0.0418428,0.0238988,0.313318,-0.0251102,-0.0528002,0.377522,-0.463863,-0.328629,0.0207405,0.0217271,-0.0444689,0.362136,0.0418567,-0.0172902,0.31426,-0.082571,-0.0752574,0.0208213,-0.0758528,0.0679001,0.0154648,6.02524e-05,-0.0738251,0.0123188,0.0135695,0.0683997,0.0105972,0.00526326,-0.100029,0.26614,0.0182291,-0.111569,0.238174,0.0194452,0.103615,0.262201,0.0361991,0.110031,0.234059,-1,4.48296,-1,41.7972,4,-1,4,4.11381,4,10.5073,4,5.83656,4,15.8366,4,13.5884,
0.0288313,-0.843689,0.720971,-0.296478,0.294974,0.504843,-0.504414,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000102265,-0.697491,-0.800738,0.705631,-0.302194,0.303728,0.49701,-0.49701,0,-0.00613592,0.0107379,-0.0138058,-0.622796,0.636602,0.992486,-0.997088,0.553767,-0.544563,0.0184078,-0.0199418,0.00306796,-0.403437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.07676,0.013115,9.63323,0.00338269,0.000915432,-5.9038e-05,3.58041,2.79016,-16.2102,-0.0385133,0.299477,0.147733,2.89096,0.238021,-12.0136,0.0138077,0.0426061,0.10358,-0.463863,-0.328629,0.0207405,-0.0713474,-0.0554552,0.319511,-0.463863,-0.328629,0.0207405,0.0417839,0.023921,0.3133,-0.0252053,-0.0529356,0.377364,-0.463863,-0.328629,0.0207405,0.0216746,-0.0444581,0.362125,0.0418658,-0.0173124,0.31429,-0.0825711,-0.0752939,0.0208582,-0.0758678,0.0679138,0.0154697,9.25613e-05,-0.0738764,0.0123544,0.0135533,0.0684162,0.0105894,0.00523642,-0.100025,0.266131,0.018192,-0.111543,0.238139,0.0194567,0.103648,0.262174,0.0361834,0.11007,0.234071,-1,4,-1,4,5.30035,-1,8.81408,4,3.97751,4,23.3719,4,12.096,4,5.4856,4,
0.0358794,-0.843689,0.720971,-0.296478,0.294974,0.504843,-0.504414,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000102265,-0.697491,-0.800738,0.705631,-0.30066,0.302194,0.49701,-0.49701,0,-0.00613592,0.0107379,-0.0138058,-0.622796,0.638136,0.992486,-0.998621,0.553767,-0.544563,0.0184078,-0.0199418,0.00306796,-0.401903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.05588,-0.0162508,9.64181,0.00169134,-0.00235457,-2.9519e-05,3.56526,2.80401,-16.3295,-0.0397025,0.296673,0.148416,2.90578,0.236231,-12.1018,0.0138201,0.045354,0.103873,-0.463863,-0.328629,0.0207405,-0.0704356,-0.0556047,0.319804,-0.463863,-0.328629,0.0207405,0.0417952,0.0239315,0.313321,-0.025212,-0.0529605,0.377353,-0.463863,-0.328629,0.0207405,0.0216773,-0.0444518,0.362138,0.0418395,-0.0172789,0.314272,-0.0825629,-0.0752916,0.0208731,-0.0758121,0.0678795,0.0154883,9.00917e-05,-0.0738734,0.012363,0.0135669,0.0684139,0.0106157,0.00518541,-0.0999118,0.266075,0.018222,-0.111567,0.238159,0.0194802,0.103647,0.262197,0.036197,0.110045,0.234083,-1,4,-1,4,5.3003,-1,8.81409,4,3.97754,4,67.5697,4,12.0556,4,5.48566,4,
0.0430793,-0.843689,0.720971,-0.296478,0.294974,0.504843,-0.504414,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000102265,-0.697491,-0.800738,0.705631,-0.30066,0.303728,0.49701,-0.49701,0,-0.00613592,0.0107379,-0.0122718,-0.622796,0.638136,0.992486,-0.998621,0.553767,-0.544563,0.0184078,-0.0199418,0.00306796,-0.401903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.07015,-0.00361278,9.636,-0.00214237,-0.00416533,3.73908e-05,3.55831,2.80629,-16.2627,-0.0393253,0.295917,0.147698,2.89116,0.234629,-12.0669,0.0143016,0.0454949,0.10324,-0.463863,-0.328629,0.0207405,-0.0712459,-0.0554317,0.319531,-0.463863,-0.328629,0.0207405,0.0418453,0.0238764,0.313331,-0.0252286,-0.0529764,0.377346,-0.463863,-0.328629,0.0207405,0.0216887,-0.0444964,0.362157,0.0418494,-0.0173063,0.314301,-0.0825661,-0.0752836,0.0208615,-0.0758143,0.0679474,0.0155431,4.60393e-05,-0.0738348,0.0123085,0.0135849,0.0684092,0.0106462,0.00515203,-0.0998877,0.266038,0.0183831,-0.111606,0.238314,0.0194653,0.103683,0.262188,0.0362316,0.110034,0.234109,-1,4.48237,-1,41.7958,4,-1,4,4.11391,4,10.5065,4,6.73942,4,15.8347,4,13.588,
0.0507656,-0.843689,0.720971,-0.296478,0.294974,0.504843,-0.504414,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000102265,-0.697491,-0.800738,0.704097,-0.302194,0.303728,0.49701,-0.49701,0,-0.00613592,0.0122718,-0.0122718,-0.622796,0.638136,0.992486,-0.997088,0.553767,-0.544563,0.0184078,-0.0199418,0.00306796,-0.403437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.05223,-0.0238789,9.64172,-0.00054393,-0.00384036,9.4932e-06,3.57164,2.78773,-16.277,-0.0391884,0.296096,0.14739,2.89995,0.244519,-12.0661,0.0135537,0.0454496,0.103366,-0.463863,-0.328629,0.0207405,-0.0704237,-0.0556658,0.319827,-0.463863,-0.328629,0.0207405,0.0418818,0.0238487,0.313338,-0.0252201,-0.0529754,0.377374,-0.463863,-0.328629,0.0207405,0.0216809,-0.0444949,0.3622,0.0418516,-0.0173086,0.314304,-0.0825731,-0.075302,0.0208737,-0.0757917,0.0679305,0.0155503,8.42257e-05,-0.0738881,0.0123299,0.013624,0.0683437,0.0106749,0.00514413,-0.0998798,0.266041,0.018192,-0.111588,0.238154,0.0194878,0.103668,0.262181,0.0362546,0.110022,0.234121,-1,4.48182,-1,41.7961,4,-1,4,4.1139,4,10.5065,4,6.73964,4,15.8368,4,13.5882,
0.0577461,-0.843689,0.720971,-0.296478,0.294974,0.504843,-0.504414,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000102265,-0.697491,-0.800738,0.705631,-0.30066,0.302194,0.49701,-0.49701,0,-0.00613592,0.0107379,-0.0122718,-0.622796,0.638136,0.992486,-0.998621,0.553767,-0.544563,0.0184078,-0.0199418,0.00306796,-0.401903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.06269,-0.0126752,9.63262,0.000431129,-0.00367787,-7.5245e-06,3.55839,2.78604,-16.3162,-0.0388193,0.294664,0.14737,2.90022,0.242089,-12.1106,0.0135062,0.0454984,0.102832,-0.463863,-0.328629,0.0207405,-0.0713347,-0.0556149,0.319499,-0.463863,-0.328629,0.0207405,0.0419334,0.0238077,0.313343,-0.0252193,-0.0529669,0.37733,-0.463863,-0.328629,0.0207405,0.0216949,-0.044508,0.362189,0.0418368,-0.0173008,0.314289,-0.0825439,-0.0753158,0.0208716,-0.0758011,0.0679402,0.0155593,4.81789e-05,-0.073813,0.0123006,0.013635,0.0683387,0.0106757,0.00514265,-0.0998107,0.265981,0.0182081,-0.111584,0.238177,0.0195001,0.103648,0.262178,0.0362976,0.109951,0.234121,-1,4,-1,4,5.30034,-1,8.8146,4,3.9776,4,23.3732,4,12.0569,4,5.48561,4,
0.0647683,-0.843689,0.720971,-0.296478,0.294974,0.504843,-0.504414,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000102265,-0.697491,-0.800738,0.705631,-0.302194,0.303728,0.49701,-0.498544,0,-0.00613592,0.0122718,-0.0138058,-0.622796,0.638136,0.992486,-0.997088,0.553767,-0.544563,0.0184078,-0.0199418,0.00306796,-0.403437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.06983,0.000774652,9.63478,0.00179742,-0.00447538,-3.13703e-05,3.56451,2.78376,-16.241,-0.0381112,0.295984,0.146535,2.89336,0.249981,-12.0111,0.0128662,0.0442883,0.102284,-0.463863,-0.328629,0.0207405,-0.0704594,-0.0556909,0.31979,-0.463863,-0.328629,0.0207405,0.0418433,0.023905,0.313313,-0.0252002,-0.052958,0.377352,-0.463863,-0.328629,0.0207405,0.0217069,-0.0445248,0.362178,0.0418677,-0.017301,0.314269,-0.0825195,-0.0753599,0.0209,-0.0757242,0.0676996,0.0154816,8.56493e-05,-0.0738603,0.0123365,0.0136287,0.0683409,0.0106764,0.00519221,-0.0999992,0.266097,0.0182194,-0.111585,0.238145,0.0195274,0.103596,0.262216,0.0362764,0.109937,0.234097,-1,4.48183,-1,41.7986,4,-1,4,4.11383,4,10.508,4,6.28757,4,15.8368,4,13.5891,
0.0718398,-0.843689,0.720971,-0.296478,0.294974,0.504843,-0.504414,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,-0.000102265,-0.697491,-0.800738,0.705631,-0.302194,0.303728,0.49701,-0.49701,0,-0.00613592,0.0122718,-0.0122718,-0.622796,0.638136,0.992486,-0.998621,0.553767,-0.544563,0.0184078,-0.0199418,0.00306796,-0.403437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.05128,-0.0250696,9.62988,-0.00226508,-0.00241344,3.95325e-05,3.55108,2.77913,-16.3769,-0.0380977,0.296908,0.147279,2.90309,0.250159,-12.1183,0.0126157,0.0440253,0.102922,-0.463863,-0.328629,0.0207405,-0.070912,-0.0557635,0.319568,-0.463863,-0.328629,0.0207405,0.0417917,0.0239055,0.313293,-0.0252051,-0.0529771,0.377324,-0.463863,-0.328629,0.0207405,0.0216974,-0.0445279,0.362138,0.0418746,-0.0173086,0.31426,-0.0825476,-0.0753425,0.0208765,-0.0757384,0.0676761,0.0154534,7.0232e-05,-0.0738508,0.0123296,0.0135986,0.068373,0.0106902,0.00523077,-0.100048,0.26614,0.0180523,-0.111561,0.238002,0.0195,0.103605,0.26219,0.0362703,0.109938,0.234082,-1,4.48233,-1,41.7974,4,-1,4,4.11381,4,10.5082,4,6.28755,4,15.8387,4,13.5892,
