time,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,
0.00715283,-0.843689,0.720971,-0.371806,0.358266,0.230711,-0.247666,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000204531,-0.673121,-0.822214,0.708699,-0.30066,0.302194,0.495476,-0.49701,0.00460194,-0.0138058,-0.00306796,0,-0.632,0.635068,0.954136,-0.96334,0.553767,-0.558369,0.0076699,-0.00460194,0.00460194,-0.423379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.57522,-0.0252628,9.50304,-0.00708024,-0.016467,0.000123571,3.59045,2.34632,-15.5164,0.013327,0.328422,0.175027,2.52313,-0.223611,-11.9286,0.124283,-0.109079,0.0555693,-0.0351777,-0.578267,0.0244282,-0.0351777,-0.578267,0.0244282,0.0407687,0.0479061,0.365324,0.0604067,0.0172982,0.319454,-0.00170254,-0.0671237,0.373327,-0.0438501,0.0505326,0.321957,0.0374421,-0.0492075,0.367807,0.0611751,-0.0246968,0.321414,-0.0759649,-0.0752892,0.0299334,-0.0351777,-0.578267,0.0244282,-0.149061,-0.0291402,-0.0266069,0.0275931,0.0597014,0.0209347,0.0151931,-0.105672,0.27617,-0.0351777,-0.578267,0.0244282,0.0378765,0.0986556,0.268053,0.0593036,0.0994918,0.234312,-1,-1,4,6.95013,4,7.73993,4,3.48356,4,-1,4,3.53739,4,-1,4,11.8785,
0.0143188,-0.843689,0.720971,-0.371806,0.358266,0.230711,-0.247666,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000204531,-0.673121,-0.822214,0.710233,-0.30066,0.302194,0.495476,-0.498544,0.00460194,-0.0138058,-0.00306796,0,-0.632,0.635068,0.952602,-0.961806,0.553767,-0.559903,0.00920388,-0.00460194,0.00460194,-0.424913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.56668,-0.0635453,9.52246,-0.00775851,-0.0159672,0.000135409,3.56476,2.38221,-15.5942,0.0118128,0.328873,0.174603,2.5215,-0.259996,-11.9913,0.124216,-0.109766,0.0558052,-0.0351777,-0.578267,0.0244282,-0.0351777,-0.578267,0.0244282,0.0407957,0.0479008,0.365332,0.0604423,0.0172724,0.319446,-0.00171113,-0.0671046,0.373313,-0.0438276,0.0505927,0.321985,0.0372678,-0.049283,0.367614,0.0612092,-0.0247064,0.321435,-0.0759433,-0.0753308,0.0299562,-0.0351777,-0.578267,0.0244282,-0.149543,-0.0292567,-0.0269518,0.027567,0.0598172,0.0208887,0.0152321,-0.105681,0.276183,-0.0351777,-0.578267,0.0244282,0.0378511,0.0986578,0.268093,0.0593469,0.0994893,0.234287,-1,-1,4,6.94996,4,7.73954,4,3.48353,4,-1,4,3.53734,4,-1,4,11.8787,
0.0215457,-0.843689,0.720971,-0.371806,0.358266,0.230711,-0.247666,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000204531,-0.673121,-0.82068,0.710233,-0.302194,0.302194,0.48934,-0.484738,0.00460194,-0.0138058,-0.00306796,0,-0.632,0.635068,0.952602,-0.961806,0.553767,-0.558369,0.0076699,-0.00306796,0.00460194,-0.423379,0,0,0,0,-0.230383,0.368614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.57851,-0.0145561,9.49475,-0.0105583,-0.0153658,0.000184275,3.64612,2.46276,-14.8285,0.0134829,0.328031,0.176491,2.55113,-0.229147,-11.232,0.125341,-0.0975286,0.0555005,-0.0351777,-0.578267,0.0244282,-0.0351777,-0.578267,0.0244282,0.0407411,0.047924,0.365346,0.0603489,0.0173291,0.319429,-0.00176322,-0.0670609,0.373359,-0.0438294,0.0504933,0.321988,0.0372378,-0.0492862,0.367596,0.0612703,-0.0247332,0.321455,-0.07592,-0.0753004,0.0299542,-0.0351777,-0.578267,0.0244282,-0.149078,-0.0291134,-0.0266633,0.0276634,0.0596229,0.0210048,0.0151844,-0.105755,0.276057,-0.0351777,-0.578267,0.0244282,0.0378563,0.0987674,0.26779,0.0593253,0.0995293,0.23422,-134.186,-1,7.34641,4,7.06115,4,26.725,4,3.74217,-1,11.1559,4,15.101,-1,5.34785,4,
0.0290679,-0.843689,0.720971,-0.371806,0.358266,0.230711,-0.247666,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000204531,-0.673121,-0.82068,0.708699,-0.305262,0.305262,0.457126,-0.460194,0.00460194,-0.0138058,-0.00306796,0,-0.632,0.635068,0.954136,-0.961806,0.553767,-0.558369,0.0076699,-0.00460194,0.00460194,-0.423379,0,0,-0.13823,0.0921534,-1.19799,1.10584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54925,-0.0559357,9.48875,-0.00703686,-0.0147135,0.000122814,3.75127,2.10643,-15.5521,0.0238446,0.370391,0.168341,2.0771,-0.187012,-11.7231,0.113529,-0.149633,0.0585987,-0.0351777,-0.578267,0.0244282,-0.0351777,-0.578267,0.0244282,0.0407592,0.0479152,0.365382,0.0604463,0.0172685,0.319472,-0.00169853,-0.0671351,0.373339,-0.0438079,0.0505003,0.321967,0.0371999,-0.0493038,0.36758,0.0613109,-0.0247259,0.321471,-0.0759012,-0.0753184,0.0299851,-0.0351777,-0.578267,0.0244282,-0.149015,-0.0290882,-0.0266107,0.0276106,0.0597129,0.0209565,0.0148768,-0.106105,0.275273,-0.0351777,-0.578267,0.0244282,0.0377686,0.0987796,0.267057,0.0582178,0.10034,0.232619,-1,-1,4,6.9499,4,7.74002,4,3.48351,4,-1,4,3.53739,4,-1,4,11.8821,
0.036054,-0.843689,0.720971,-0.371806,0.358266,0.230711,-0.247666,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000204531,-0.673121,-0.822214,0.708699,-0.312932,0.309864,0.429515,-0.434117,0.00460194,-0.0138058,-0.00306796,0,-0.630466,0.635068,0.952602,-0.961806,0.552233,-0.558369,0.00920388,-0.00460194,0.00460194,-0.423379,0,0,-0.322537,0.27646,-2.02737,1.88914,0,0,0,0,0.0921534,0,0,0,0,0,0,0,0,0,-2.56194,-0.23903,10.0224,0.00105146,-0.0175511,-1.83512e-05,4.10774,2.86148,-16.0599,-0.0221334,0.420366,0.189459,2.13201,-0.430799,-12.0574,0.126029,-0.158791,0.0719049,-0.0351777,-0.578267,0.0244282,-0.0351777,-0.578267,0.0244282,0.0407425,0.047938,0.365364,0.0604218,0.0173249,0.319453,-0.00169982,-0.0671169,0.373266,-0.0437992,0.0505676,0.321979,0.0372774,-0.0492714,0.367617,0.0612971,-0.0246842,0.321466,-0.0759257,-0.0752921,0.0299639,-0.0351777,-0.578267,0.0244282,-0.149115,-0.0291348,-0.0266392,0.0276058,0.0597248,0.020948,0.013456,-0.106814,0.273204,-0.0351777,-0.578267,0.0244282,0.0368393,0.0995043,0.265204,0.0565953,0.101408,0.230661,-1,-1,4,6.95014,4,7.7397,4,3.48353,4,-1,4,3.53739,4,-1,4,33.5195,
0.043103,-0.843689,0.720971,-0.371806,0.358266,0.230711,-0.247666,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000204531,-0.673121,-0.822214,0.710233,-0.322136,0.317534,0.401903,-0.408039,0.00460194,-0.0138058,-0.00306796,0,-0.632,0.635068,0.952602,-0.961806,0.553767,-0.558369,0.0076699,-0.00306796,0.00460194,-0.423379,0,0,-0.645074,0.460767,-2.85675,2.67245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.39539,-0.203734,9.15009,-0.0077353,-0.0379527,0.000135004,3.67861,2.19828,-14.8113,0.0218671,0.36593,0.193412,2.34212,-0.205191,-11.6772,0.117516,-0.13619,0.0645064,-0.0351777,-0.578267,0.0244282,-0.0351777,-0.578267,0.0244282,0.0407882,0.0479517,0.365331,0.0605467,0.0172788,0.319448,-0.00164214,-0.0670279,0.373381,-0.0437763,0.0504918,0.321975,0.0371114,-0.049315,0.367365,0.0613452,-0.0246613,0.321458,-0.0759466,-0.075297,0.0299557,-0.0351777,-0.578267,0.0244282,-0.149043,-0.0291053,-0.0266189,0.027625,0.0597107,0.0209526,0.0126049,-0.106823,0.27217,-0.0351777,-0.578267,0.0244282,0.0360698,0.0998188,0.264082,0.0551853,0.102467,0.229283,-134.359,-1,7.34689,4,7.06071,4,26.7228,4,3.74212,-1,11.1556,4,15.1315,-1,9.52341,4,
0.050261,-0.843689,0.720971,-0.371806,0.358266,0.230711,-0.247666,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000204531,-0.673121,-0.82068,0.708699,-0.334408,0.328272,0.377359,-0.383495,0.00460194,-0.0138058,-0.00306796,0,-0.633534,0.635068,0.954136,-0.961806,0.553767,-0.558369,0.0076699,-0.00460194,0.00460194,-0.423379,0,0,-0.967611,0.82938,-3.59398,3.27145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.61225,-0.119476,9.5496,-0.00246155,-0.0354983,4.29614e-05,3.80557,2.38018,-15.8806,0.00918855,0.371733,0.188619,2.66517,-0.17446,-13.0453,0.116504,-0.134102,0.0704826,-0.0351777,-0.578267,0.0244282,-0.0351777,-0.578267,0.0244282,0.0408374,0.0479461,0.365273,0.0606425,0.0172351,0.319384,-0.00153117,-0.067054,0.373402,-0.0437424,0.0505721,0.322023,0.0373818,-0.049386,0.367448,0.0613802,-0.0246766,0.321397,-0.0759601,-0.0752529,0.0299136,-0.0351777,-0.578267,0.0244282,-0.148619,-0.0289997,-0.0263187,0.0275227,0.0598846,0.0208491,0.0115697,-0.107079,0.270692,-0.0351777,-0.578267,0.0244282,0.0352404,0.100017,0.262657,0.0528194,0.102715,0.22643,-134.342,-1,7.3471,4,7.06065,4,26.7226,4,3.74213,-1,11.1531,4,15.1442,-1,9.52905,4,
0.0574878,-0.843689,0.720971,-0.371806,0.358266,0.230711,-0.247666,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000204531,-0.673121,-0.82068,0.710233,-0.342078,0.335942,0.35435,-0.365087,0.00460194,-0.0138058,-0.00306796,0.00153398,-0.633534,0.635068,0.952602,-0.96334,0.553767,-0.558369,0.00920388,-0.00306796,0.00460194,-0.424913,0,0,-1.15192,1.01369,-3.64006,3.17929,0,0,0,0,-0.0921534,0,0,0,0,0,0,0,0,0,-2.59457,-0.21915,9.1764,-0.0161709,0.0156463,0.000282231,3.53621,2.45116,-15.7218,0.00760939,0.343546,0.188475,2.63241,-0.225845,-12.542,0.120954,-0.123721,0.0620318,-0.0351777,-0.578267,0.0244282,-0.0351777,-0.578267,0.0244282,0.0408785,0.0479515,0.365234,0.0605259,0.0172646,0.319268,-0.00151317,-0.0669863,0.373416,-0.0437147,0.0505076,0.322008,0.0371514,-0.04924,0.367253,0.0613821,-0.024687,0.321359,-0.0759804,-0.0752543,0.0299056,-0.0351777,-0.578267,0.0244282,-0.148876,-0.0290699,-0.0265431,0.027567,0.0597506,0.0209178,0.0102539,-0.10709,0.269252,-0.0351777,-0.578267,0.0244282,0.0344279,0.100309,0.261186,0.0515324,0.10334,0.226621,-1,-1,4,6.94984,4,7.73981,4,3.48353,4,-1,4,3.53737,4,-1,4,33.2859,
0.0650503,-0.843689,0.720971,-0.371806,0.358266,0.230711,-0.247666,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000204531,-0.673121,-0.82068,0.708699,-0.34668,0.340544,0.332874,-0.348214,0.00460194,-0.0138058,-0.00306796,0.00153398,-0.633534,0.635068,0.952602,-0.961806,0.553767,-0.558369,0.0076699,-0.00306796,0.00460194,-0.423379,0,0,-1.15192,0.967611,-3.31752,2.90283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62762,0.00716378,9.5111,-0.0149403,0.0452612,0.000260753,3.48773,2.43546,-15.9985,0.00859737,0.328218,0.174805,2.77331,-0.442879,-12.1284,0.128686,-0.106441,0.0487959,-0.0351777,-0.578267,0.0244282,-0.0351777,-0.578267,0.0244282,0.0409382,0.04793,0.365221,0.0605222,0.0172319,0.319243,-0.00152986,-0.066986,0.373401,-0.0436731,0.0505978,0.322022,0.0368798,-0.049178,0.36706,0.0613666,-0.0247158,0.32135,-0.0760004,-0.0752894,0.0298838,-0.0351777,-0.578267,0.0244282,-0.14913,-0.0291368,-0.0266504,0.0275767,0.0597551,0.0209044,0.00908399,-0.107206,0.268125,-0.0351777,-0.578267,0.0244282,0.033864,0.100409,0.260345,0.0504639,0.103484,0.225456,-1,-1,4,6.94978,4,7.73941,4,3.48351,4,-1,4,3.53734,4,-1,4,11.9015,
0.0721042,-0.843689,0.720971,-0.371806,0.358266,0.230711,-0.247666,0,0,0.00613592,-0.00613592,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0138058,-0.0138058,0.000204531,-0.673121,-0.822214,0.708699,-0.349748,0.340544,0.319068,-0.334408,0.00460194,-0.0138058,-0.00306796,0,-0.633534,0.636602,0.952602,-0.96334,0.553767,-0.558369,0.00920388,-0.00460194,0.00460194,-0.424913,0,0,-0.967611,0.783304,-2.85675,2.53422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.72199,0.0144219,9.65035,-0.0123915,0.0526865,0.00021627,3.55748,2.2747,-15.4117,0.0283928,0.321831,0.162355,2.58073,-0.0878787,-11.9132,0.107178,-0.118146,0.0378252,-0.0351777,-0.578267,0.0244282,-0.0351777,-0.578267,0.0244282,0.0409266,0.0478961,0.36524,0.0604839,0.0172266,0.319216,-0.00205728,-0.0661614,0.374361,-0.043636,0.0506169,0.32202,0.0369751,-0.049225,0.367208,0.0613245,-0.0247482,0.321344,-0.076,-0.0753001,0.0299028,-0.0351777,-0.578267,0.0244282,-0.149131,-0.0291276,-0.0266086,0.0275558,0.0597735,0.0208955,0.00910653,-0.107546,0.268222,-0.0351777,-0.578267,0.0244282,0.0340165,0.100453,0.260361,0.0490313,0.104158,0.22466,-134.292,-1,7.34737,4,12.2482,4,29.1422,4,3.74205,-1,11.156,4,15.1717,-1,9.53817,4,
