time,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,snsr,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,conf,
0.00712793,-0.843689,0.720971,-0.299566,0.297797,0.504373,-0.49927,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00141126,-0.697971,-0.809942,0.704097,-0.302194,0.302194,0.495476,-0.495476,-0.0153398,0.0184078,-0.0076699,0.00306796,-0.630466,0.642738,0.960272,-0.966408,0.550699,-0.543029,-0.00613592,0.00153398,0.00460194,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.55067,0.0183933,9.50202,0.00131554,-0.00313523,-2.29602e-05,4.40271,0.682896,-16.5066,0.212587,0.508603,-0.00307357,2.80677,-1.83339,-11.2299,0.32011,-0.102073,0.230024,-0.0405235,0.0605248,0.367167,-0.0809943,-0.0581001,0.307557,0.00648442,0.0519295,0.351228,0.0237595,0.0223456,0.302336,-0.0421118,-0.0583324,0.367076,0.381979,-0.43159,0.00708581,0.00609237,-0.0453345,0.353162,0.0236861,-0.0171076,0.305119,0.381979,-0.43159,0.00708581,-0.0954413,0.0587784,0.00202465,-0.0125558,-0.078079,0.00292285,-0.0078369,0.0600215,0.00131311,-0.0076197,-0.103715,0.259415,0.257939,-0.0919627,0.365822,-0.00505315,0.102666,0.250689,0.00847871,0.111953,0.223015,4,4.31801,4,7.36647,4,-1051.47,4,19.8255,-1,15.6035,4,6.09673,4,4.89502,4,41.3327,
0.0143218,-0.843689,0.720971,-0.299566,0.297797,0.504373,-0.49927,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00141126,-0.697971,-0.809942,0.705631,-0.302194,0.302194,0.495476,-0.49701,-0.0153398,0.0168738,-0.0076699,0.00306796,-0.630466,0.642738,0.960272,-0.966408,0.549165,-0.544563,-0.00613592,0.00153398,0.00460194,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.53307,0.00360496,9.53991,0.00153662,-0.00156761,-2.68186e-05,4.40962,0.698799,-16.3598,0.211563,0.507065,-0.00356977,2.81706,-1.83639,-11.1043,0.32034,-0.101574,0.228761,-0.0404673,0.0605362,0.367186,-0.0809799,-0.0580766,0.30755,0.00656539,0.0519638,0.351257,0.0237374,0.0223432,0.30233,-0.0421295,-0.0583323,0.367077,0.381979,-0.43159,0.00708581,0.00613277,-0.0453347,0.353157,0.023703,-0.0170898,0.305135,0.381979,-0.43159,0.00708581,-0.095358,0.0587738,0.00197351,-0.0125967,-0.0780583,0.00291894,-0.0078325,0.0600462,0.00132385,-0.00760096,-0.103702,0.259416,0.257916,-0.091959,0.365849,-0.00509695,0.102666,0.250697,0.00848931,0.111992,0.223029,4,4.31805,4,7.36657,4,-1051.35,4,19.8252,-1,15.6044,4,6.09683,4,4.89511,4,21.0571,
0.0215496,-0.843689,0.720971,-0.299566,0.297797,0.504373,-0.49927,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00141126,-0.697971,-0.809942,0.704097,-0.302194,0.302194,0.495476,-0.49701,-0.0138058,0.0184078,-0.0076699,0.00306796,-0.630466,0.642738,0.960272,-0.966408,0.550699,-0.543029,-0.00613592,0.00306796,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.55871,0.0246107,9.53119,-0.00116513,-0.00131106,2.03351e-05,4.37218,0.715016,-16.4729,0.209782,0.505256,-0.00310316,2.83866,-1.8505,-11.2932,0.321431,-0.101113,0.229471,-0.0404754,0.0605205,0.367164,-0.0809704,-0.0580564,0.307569,0.00654802,0.0519881,0.351263,0.023672,0.0223438,0.30233,-0.042137,-0.058335,0.367102,0.381979,-0.43159,0.00708581,0.00613824,-0.0453505,0.353172,0.0236881,-0.0170948,0.305126,0.381979,-0.43159,0.00708581,-0.0953692,0.0587889,0.00194677,-0.0125796,-0.0780633,0.00291235,-0.00781111,0.0600628,0.00132788,-0.00760382,-0.10371,0.259429,0.257909,-0.0919487,0.365866,-0.00505334,0.102679,0.250703,0.00856153,0.112001,0.22304,4,4.31802,4,7.36681,4,-1051.43,4,19.8254,-1,15.6045,4,6.09694,4,4.89515,4,21.0564,
0.0292964,-0.843689,0.720971,-0.299566,0.297797,0.504373,-0.49927,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00141126,-0.697971,-0.809942,0.704097,-0.302194,0.302194,0.49701,-0.49701,-0.0138058,0.0184078,-0.0076699,0.00306796,-0.630466,0.642738,0.958738,-0.966408,0.550699,-0.544563,-0.00460194,0.00153398,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54646,0.035506,9.50809,-0.000582567,-0.00135862,1.01675e-05,4.39583,0.69514,-16.3937,0.208915,0.505544,-0.00359571,2.83155,-1.85661,-11.2221,0.32335,-0.101892,0.228799,-0.0404841,0.0605782,0.367173,-0.0809673,-0.0580685,0.307621,0.00653056,0.0519901,0.351244,0.0236943,0.022337,0.302318,-0.0421731,-0.0583408,0.367105,0.381979,-0.43159,0.00708581,0.00612116,-0.045334,0.353152,0.0237238,-0.0170852,0.305135,0.381979,-0.43159,0.00708581,-0.0953505,0.05878,0.00189673,-0.0125494,-0.0780659,0.00292236,-0.00782268,0.0600603,0.00131591,-0.00752956,-0.103664,0.259459,0.257884,-0.0919482,0.365877,-0.00498283,0.102708,0.250718,0.00851038,0.112007,0.223034,12.4594,4,18.4569,4,4.36957,-1,4.80244,4,-1,4,6.62387,4,6.5075,4,8.0842,4,
0.0362998,-0.843689,0.720971,-0.299566,0.297797,0.504373,-0.49927,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00141126,-0.697971,-0.809942,0.704097,-0.302194,0.302194,0.49701,-0.49701,-0.0153398,0.0184078,-0.00613592,0.00306796,-0.630466,0.641204,0.960272,-0.966408,0.550699,-0.544563,-0.00613592,0.00153398,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.53509,0.0132404,9.52499,-0.000291284,2.37816e-05,5.08377e-06,4.40245,0.729309,-16.422,0.205947,0.505872,-0.00354027,2.81358,-1.8666,-11.3119,0.324571,-0.104094,0.229579,-0.040495,0.0606011,0.367169,-0.0809284,-0.0580264,0.307561,0.00654836,0.0520124,0.351242,0.0236759,0.0223521,0.302319,-0.0421938,-0.0583207,0.367096,0.381979,-0.43159,0.00708581,0.00605035,-0.0453355,0.353156,0.0236807,-0.017081,0.305119,0.381979,-0.43159,0.00708581,-0.0953985,0.0587803,0.00192407,-0.0125644,-0.0780519,0.00291723,-0.00784731,0.0600553,0.00129919,-0.00757004,-0.103666,0.259449,0.257942,-0.0919373,0.365873,-0.00503038,0.102698,0.250695,0.00852558,0.112031,0.223037,4,4.31808,4,7.3668,4,-1050.7,4,19.8255,-1,15.6044,4,6.09675,4,4.8952,4,21.057,
0.0442097,-0.843689,0.720971,-0.299566,0.297797,0.504373,-0.49927,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00141126,-0.697971,-0.809942,0.704097,-0.302194,0.302194,0.495476,-0.49701,-0.0138058,0.0184078,-0.0076699,0.00306796,-0.630466,0.642738,0.960272,-0.966408,0.550699,-0.543029,-0.00613592,0.00306796,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54628,0.027957,9.53943,-0.00120024,1.18908e-05,2.09478e-05,4.40437,0.744916,-16.3002,0.204442,0.50382,-0.00373106,2.81881,-1.87607,-11.4231,0.326699,-0.104853,0.229152,-0.0404845,0.0606104,0.367142,-0.0809757,-0.058026,0.307525,0.0065139,0.0520056,0.351228,0.0237306,0.0223611,0.302319,-0.0421578,-0.0583018,0.367059,0.381979,-0.43159,0.00708581,0.00611369,-0.0452912,0.353133,0.0236785,-0.017079,0.305116,0.381979,-0.43159,0.00708581,-0.0954089,0.0587762,0.00197461,-0.0125757,-0.078059,0.00292163,-0.00782394,0.060032,0.00128198,-0.00756672,-0.103675,0.259442,0.257959,-0.0919522,0.365882,-0.00506899,0.102684,0.250673,0.00860231,0.112044,0.223039,17.7925,4,18.4562,4,4.36947,-1,4.80235,4,-1,4,6.62398,4,6.50764,4,8.08462,4,
0.0522131,-0.843689,0.720971,-0.299566,0.297797,0.504373,-0.49927,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00141126,-0.697971,-0.809942,0.704097,-0.302194,0.302194,0.49701,-0.49701,-0.0138058,0.0184078,-0.0076699,0.00306796,-0.630466,0.641204,0.960272,-0.966408,0.550699,-0.543029,-0.00613592,0.00306796,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.53613,-0.000638423,9.53129,-0.00235781,-0.00157591,4.11509e-05,4.40259,0.744122,-16.2247,0.202858,0.500913,-0.00366906,2.82189,-1.87846,-11.3816,0.328019,-0.104423,0.228365,-0.04052,0.0606158,0.367128,-0.0810177,-0.0580186,0.307513,0.00648893,0.0520066,0.351207,0.0237289,0.0223661,0.302319,-0.0421601,-0.0582821,0.367055,0.381979,-0.43159,0.00708581,0.00609349,-0.04528,0.353122,0.0237056,-0.0170837,0.305124,0.381979,-0.43159,0.00708581,-0.0954316,0.0587696,0.00196179,-0.012561,-0.0780831,0.00292236,-0.00788516,0.0600479,0.00127148,-0.00757868,-0.103666,0.259451,0.257909,-0.0919475,0.365845,-0.00510214,0.102676,0.250656,0.00856931,0.112052,0.223025,17.7918,4,18.4557,4,4.36944,-1,4.80227,4,-1,4,6.62391,4,6.50766,4,8.08477,4,
0.0602319,-0.843689,0.720971,-0.299566,0.297797,0.504373,-0.49927,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00141126,-0.697971,-0.809942,0.704097,-0.302194,0.302194,0.49701,-0.495476,-0.0153398,0.0184078,-0.0076699,0.00306796,-0.630466,0.642738,0.960272,-0.966408,0.550699,-0.543029,-0.00613592,0.00306796,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54341,0.00752879,9.53733,-0.000475812,-0.00149105,8.30434e-06,4.37986,0.782196,-16.1566,0.200667,0.498265,-0.00347652,2.82415,-1.88784,-11.4797,0.329619,-0.105424,0.227887,-0.0405137,0.0606358,0.36715,-0.0810233,-0.0580092,0.307533,0.00656633,0.0520406,0.351233,0.0236328,0.0223581,0.302319,-0.0421681,-0.0582752,0.367053,0.381979,-0.43159,0.00708581,0.00606016,-0.045284,0.353119,0.0236792,-0.0170717,0.305123,0.381979,-0.43159,0.00708581,-0.0954589,0.058749,0.00188256,-0.0126006,-0.078073,0.00290173,-0.00791635,0.0600217,0.00127856,-0.00763858,-0.103666,0.259444,0.25794,-0.0919331,0.365867,-0.00507492,0.102697,0.250676,0.00857523,0.112027,0.223005,17.7917,4,18.4565,4,4.36943,-1,4.80228,4,-1,4,6.62395,4,6.50786,4,8.08463,4,
0.0681846,-0.843689,0.720971,-0.299566,0.297797,0.504373,-0.49927,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00141126,-0.697971,-0.809942,0.705631,-0.302194,0.302194,0.49701,-0.49701,-0.0153398,0.0184078,-0.0076699,0.00306796,-0.630466,0.642738,0.960272,-0.966408,0.550699,-0.544563,-0.00613592,0.00306796,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.52533,-0.0205644,9.52391,-0.00164401,-0.00144862,2.86928e-05,4.40818,0.791676,-16.0133,0.199358,0.498855,-0.00410087,2.8132,-1.89043,-11.5076,0.330819,-0.107753,0.227206,-0.040524,0.0606575,0.367148,-0.0810052,-0.0580067,0.307583,0.00647452,0.0520071,0.3512,0.0236594,0.0223716,0.302309,-0.0422253,-0.0582686,0.367076,0.381979,-0.43159,0.00708581,0.00601386,-0.0452797,0.353125,0.0236823,-0.0170573,0.305138,0.381979,-0.43159,0.00708581,-0.0954333,0.0587262,0.00193994,-0.0125755,-0.0780811,0.00290942,-0.00789546,0.060008,0.00129577,-0.00758568,-0.103633,0.259472,0.257999,-0.0919071,0.365915,-0.005007,0.102724,0.250687,0.00859873,0.11204,0.223025,4,4.31796,4,7.36684,4,-1049.56,4,19.8253,-1,15.6039,4,6.09646,4,4.89538,4,21.0563,
0.0752183,-0.843689,0.720971,-0.299566,0.297797,0.504373,-0.49927,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00141126,-0.697971,-0.809942,0.705631,-0.302194,0.302194,0.49701,-0.49701,-0.0138058,0.0184078,-0.0076699,0.00306796,-0.630466,0.641204,0.960272,-0.966408,0.550699,-0.544563,-0.00613592,0.00306796,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5335,-0.0248991,9.51343,-0.00257969,-0.000724309,4.50234e-05,4.42145,0.803513,-16.1268,0.199015,0.500184,-0.00426943,2.80826,-1.87065,-11.694,0.331227,-0.111088,0.227329,-0.0405327,0.0606234,0.367127,-0.0810018,-0.0579978,0.307604,0.00649605,0.0520099,0.351192,0.0236481,0.0223893,0.302317,-0.0421812,-0.0582471,0.367065,0.381979,-0.43159,0.00708581,0.00600442,-0.0452714,0.353127,0.0236747,-0.0170411,0.305144,0.381979,-0.43159,0.00708581,-0.0954609,0.058725,0.00191137,-0.012561,-0.0780782,0.00291027,-0.00793301,0.0600116,0.00130285,-0.00765413,-0.10366,0.25944,0.257949,-0.0918874,0.365926,-0.00500574,0.102717,0.250672,0.00855299,0.112056,0.223043,17.7917,4,6.26201,4,4.36942,-1,4.8023,4,-1,4,6.6239,4,6.5079,4,8.08432,4,
0.0822092,-0.843689,0.720971,-0.299566,0.297797,0.504373,-0.49927,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00141126,-0.697971,-0.809942,0.704097,-0.302194,0.302194,0.49701,-0.49701,-0.0138058,0.0184078,-0.0076699,0.00306796,-0.630466,0.641204,0.960272,-0.966408,0.550699,-0.543029,-0.00613592,0.00306796,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.52076,-0.0375141,9.51309,-0.00480514,-0.00141675,8.38642e-05,4.40953,0.843154,-15.9255,0.198752,0.499903,-0.0052064,2.81068,-1.875,-11.7276,0.331051,-0.112939,0.226247,-0.0404556,0.0606616,0.367153,-0.0810095,-0.0580133,0.307626,0.00653449,0.0520196,0.351201,0.0236963,0.0223869,0.30231,-0.0421911,-0.0582509,0.367081,0.381979,-0.43159,0.00708581,0.00604837,-0.045268,0.353143,0.0237265,-0.0170391,0.305127,0.381979,-0.43159,0.00708581,-0.0954312,0.0587372,0.0019591,-0.0126068,-0.0780728,0.00288012,-0.00790056,0.0600245,0.00132983,-0.00765347,-0.103663,0.259441,0.257993,-0.0918937,0.36589,-0.00504692,0.102711,0.250655,0.00856537,0.112048,0.223023,17.7927,4,6.26221,4,4.36944,-1,4.80233,4,-1,4,6.62376,4,6.5079,4,8.08454,4,
0.0892266,-0.843689,0.720971,-0.299566,0.297797,0.504373,-0.49927,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00141126,-0.697971,-0.809942,0.704097,-0.302194,0.302194,0.495476,-0.49701,-0.0153398,0.0184078,-0.00920388,0.00306796,-0.630466,0.642738,0.960272,-0.966408,0.550699,-0.544563,-0.00613592,0.00306796,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54883,-0.0531902,9.52602,-0.00205107,-0.00123563,3.57973e-05,4.42231,0.839389,-15.8782,0.199642,0.498821,-0.0038249,2.81968,-1.83935,-11.7076,0.330092,-0.113338,0.225905,-0.0404481,0.0606888,0.367169,-0.0809811,-0.058006,0.307597,0.00651883,0.0520302,0.351206,0.0236841,0.0223928,0.302314,-0.042135,-0.0582283,0.367073,0.381979,-0.43159,0.00708581,0.00613864,-0.04524,0.353154,0.0237416,-0.0170384,0.305137,0.381979,-0.43159,0.00708581,-0.0954026,0.0587624,0.00193469,-0.0125894,-0.0780901,0.00287597,-0.00784791,0.0600195,0.00131006,-0.00756748,-0.103621,0.259474,0.257961,-0.0919197,0.365867,-0.00503882,0.102717,0.250655,0.00853087,0.11203,0.222992,4,4.31796,4,7.36674,4,-1051.23,4,19.8245,-1,15.6037,4,6.09662,4,4.89514,4,21.0573,
0.0971721,-0.843689,0.720971,-0.299566,0.297797,0.504373,-0.49927,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00141126,-0.697971,-0.809942,0.705631,-0.302194,0.302194,0.495476,-0.49701,-0.0153398,0.0184078,-0.0076699,0.00306796,-0.630466,0.642738,0.960272,-0.966408,0.550699,-0.544563,-0.00613592,0.00153398,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.55349,-0.0299795,9.54558,-0.00172863,0.000964037,3.01697e-05,4.41276,0.869666,-15.8156,0.199924,0.498368,-0.00348877,2.81894,-1.85168,-11.7313,0.329706,-0.114065,0.225438,-0.0404131,0.0606932,0.367164,-0.0809628,-0.0579699,0.307609,0.00662443,0.0520748,0.351237,0.023744,0.0223889,0.30231,-0.0421141,-0.0582148,0.367079,0.381979,-0.43159,0.00708581,0.00613815,-0.0452543,0.35317,0.0237373,-0.0170376,0.305147,0.381979,-0.43159,0.00708581,-0.0953679,0.0587782,0.00194677,-0.0126323,-0.0780962,0.00285949,-0.00781059,0.060068,0.00133117,-0.00762459,-0.103639,0.259457,0.257929,-0.0919267,0.365888,-0.00501523,0.102711,0.250664,0.00855,0.112044,0.223005,4,4.31797,4,7.36651,4,-1051.83,4,19.8246,-1,15.6037,4,6.09685,4,4.89523,4,41.3395,
0.104195,-0.843689,0.720971,-0.299566,0.297797,0.504373,-0.49927,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00141126,-0.697971,-0.809942,0.705631,-0.302194,0.303728,0.495476,-0.495476,-0.0138058,0.0184078,-0.00920388,0.00306796,-0.630466,0.642738,0.958738,-0.966408,0.550699,-0.543029,-0.00613592,0.00153398,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5416,-0.0685033,9.50818,-0.00191891,0.00153662,3.34908e-05,4.4129,0.878729,-15.8815,0.200218,0.502034,-0.00357357,2.83125,-1.84693,-11.8206,0.329649,-0.115024,0.226135,-0.0404122,0.0607102,0.367182,-0.0809615,-0.0579611,0.307618,0.00653972,0.0520496,0.351213,0.0236872,0.0223897,0.302308,-0.0421565,-0.0582283,0.367102,0.381979,-0.43159,0.00708581,0.00609307,-0.0452795,0.353179,0.0236824,-0.0170474,0.305124,0.381979,-0.43159,0.00708581,-0.0953066,0.0587869,0.00198864,-0.0126163,-0.0780733,0.00286853,-0.00774652,0.0600719,0.00134436,-0.00764302,-0.103658,0.259457,0.257935,-0.0919202,0.365863,-0.00506295,0.102708,0.250636,0.00863223,0.112048,0.223004,12.4587,4,18.4567,4,4.36961,-1,4.8025,4,-1,4,6.62391,4,6.50786,4,8.08464,4,
0.111204,-0.843689,0.720971,-0.299566,0.297797,0.504373,-0.49927,0,0,0.00306796,-0.00920388,-0.630466,0.630466,0.928058,-0.928058,0.523087,-0.523087,0.0076699,-0.0199418,0.00141126,-0.697971,-0.809942,0.704097,-0.302194,0.302194,0.49701,-0.49701,-0.0138058,0.0184078,-0.0076699,0.00306796,-0.630466,0.641204,0.960272,-0.966408,0.550699,-0.543029,-0.00613592,0.00153398,0.00306796,-0.404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54762,-0.0454841,9.51944,-0.00377174,0.00182291,6.58283e-05,4.43576,0.86472,-16.022,0.201337,0.506391,-0.00316979,2.81744,-1.83171,-11.7975,0.328254,-0.11678,0.22709,-0.0403937,0.0607103,0.367178,-0.0809868,-0.0579816,0.307607,0.00658216,0.0520524,0.351216,0.0237148,0.0223761,0.302309,-0.0421561,-0.0582409,0.367119,0.381979,-0.43159,0.00708581,0.00619329,-0.0452608,0.353171,0.0236828,-0.0170539,0.305124,0.381979,-0.43159,0.00708581,-0.095263,0.0587695,0.00196814,-0.0126217,-0.0780879,0.00288684,-0.00772775,0.060067,0.0013302,-0.00756096,-0.103631,0.259471,0.257897,-0.0919234,0.365876,-0.00506365,0.102695,0.250648,0.00863721,0.112046,0.222992,17.7931,4,18.4573,4,4.36965,-1,4.80249,4,-1,4,6.62396,4,6.50758,4,8.08462,4,
